Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,12388.0268686901,12240.1564554992,-6099.02366941235,0.360446544383743,1.7094571417448,1.23312890822279,0.207302709069494,0.207302709069494,0.292697290930506,0.292697290930506,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+G+I,27,12407.6137110118,12217.5329966334,-6081.67715773526,0.326448965940311,1.28400819726604,1.23958142814669,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.02,0.1,0.15,0.02,0.17,0.03,0.07,0.14,0.09,0.1,0.02,0.08
T92+G,20,12408.5412036536,12267.7075033314,-6113.80415903375,n/a,0.402234915937903,1.33623879335804,0.207302709069494,0.207302709069494,0.292697290930506,0.292697290930506,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,12417.8061131719,12255.8636987167,-6104.86664737395,0.357865327702615,1.69207711775819,1.22274284868973,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.05,0.06,0.17,0.04,0.16,0.07,0.04,0.13,0.07,0.11,0.05,0.06
GTR+G,26,12418.6916122791,12235.6447596347,-6091.73943050859,n/a,0.403629871506951,1.30194226119655,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.02,0.1,0.15,0.02,0.18,0.03,0.07,0.14,0.08,0.1,0.02,0.08
TN93+G+I,24,12425.0428428371,12256.0651403228,-6103.9616900669,0.356910440546186,1.66797033078927,1.23178495164178,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.05,0.06,0.15,0.04,0.17,0.07,0.04,0.14,0.07,0.1,0.05,0.06
T92+I,20,12433.1784821953,12292.3447818731,-6126.1227983046,0.418569892230945,n/a,1.09567608994239,0.207302709069494,0.207302709069494,0.292697290930506,0.292697290930506,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+G,22,12437.844669312,12282.9380180207,-6119.40924758362,n/a,0.407378652455829,1.32080991840123,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.13,0.06,0.11,0.05,0.06
TN93+G,23,12444.8014867859,12282.8590723307,-6118.36433418093,n/a,0.406595666515107,1.33147790058471,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.05,0.06,0.16,0.04,0.18,0.06,0.04,0.14,0.06,0.1,0.05,0.06
HKY+I,22,12463.6536748445,12308.7470235532,-6132.31375034989,0.417782448584692,n/a,1.08658714034786,0.1886925795053,0.225912838633687,0.283038869257951,0.302355712603062,0.05,0.07,0.16,0.04,0.15,0.07,0.04,0.12,0.07,0.1,0.05,0.07
