Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,11542.7468261649,11354.4526524521,-5650.13089577921,0.263426770709455,1.16911518660623,1.75614673356926,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.02,0.06,0.13,0.02,0.22,0.03,0.06,0.2,0.08,0.1,0.02,0.07
T92+G+I,21,11543.9332950384,11397.4503726182,-5677.66691183888,0.268162304955913,1.19342892928913,1.67797265723029,0.231132075471698,0.231132075471698,0.268867924528302,0.268867924528302,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,11544.6982284878,11405.1856245542,-5682.53984216739,n/a,0.484318083518886,1.74362014504262,0.231132075471698,0.231132075471698,0.268867924528302,0.268867924528302,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G+I,24,11553.5621683131,11386.1713348879,-5669.00995766479,0.289950353758259,1.34881301235257,1.75817936765248,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.04,0.04,0.13,0.04,0.21,0.05,0.04,0.2,0.05,0.1,0.04,0.04
TN93+G,23,11558.2433946072,11397.8213572491,-5675.84103441563,n/a,0.473702181322777,1.83268312461535,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.04,0.04,0.13,0.04,0.22,0.05,0.04,0.2,0.05,0.1,0.04,0.04
GTR+G,26,11566.5029075667,11385.1760057718,-5666.49940008391,n/a,0.504446015573361,1.52583201115994,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.04,0.06,0.14,0.04,0.18,0.03,0.06,0.17,0.08,0.11,0.02,0.06
K2+G+I,20,11571.2012799851,11431.6886760516,-5695.79136791606,0.273083351089302,1.30364992759381,1.61019941112996,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,11572.586436828,11440.0446584703,-5700.97440994133,n/a,0.505784069136267,1.67012337546927,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+G,22,11573.7527212954,11420.2999876697,-5688.08616136355,n/a,0.482324936258872,1.75479798862135,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.04,0.04,0.19,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.04
HKY+G+I,23,11573.964400374,11413.542363016,-5683.70153729906,0.260057070519817,1.13304493803707,1.68846737495123,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.04,0.05,0.18,0.04,0.15,0.05,0.04,0.14,0.05,0.15,0.04,0.05
T92+I,20,11598.493592813,11458.9809888795,-5709.43752433002,0.382569857048975,n/a,1.45493630952811,0.231132075471698,0.231132075471698,0.268867924528302,0.268867924528302,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+I,26,11598.5828430883,11417.2559412933,-5682.5393678447,0.377908742307018,n/a,1.52057511767552,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.02,0.06,0.13,0.02,0.2,0.05,0.06,0.18,0.08,0.1,0.04,0.07
TN93+I,23,11603.5744587328,11443.1524213748,-5698.50656647846,0.381309242022215,n/a,1.50365551574301,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.05,0.05,0.13,0.05,0.2,0.06,0.05,0.18,0.06,0.1,0.05,0.05
K2+I,19,11619.9731371912,11487.4313588336,-5724.66776012295,0.380936765592036,n/a,1.42207647500384,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,11631.1677773492,11477.7150437235,-5716.79368939045,0.38204267554041,n/a,1.4431698550352,0.233836477987421,0.228427672955975,0.245786163522013,0.291949685534591,0.05,0.05,0.17,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.05
JC+G+I,19,11794.4437760487,11661.901997691,-5811.90307955169,0.29550236284987,1.79194016846903,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
