Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,6993.02388154924,6864.57502315722,-3412.19558774407,n/a,0.777026243563351,1.27680657252629,0.234749455337691,0.234749455337691,0.265250544662309,0.265250544662309,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93+G,23,6993.9679938925,6846.28216904445,-3400.02019096112,n/a,0.782171673497685,1.30595315639593,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.11,0.06,0.21,0.06,0.06,0.14,0.06,0.12,0.04,0.06
K2+G,19,6995.40584512093,6873.37107633226,-3417.60238718145,n/a,0.798005444432293,1.25458446001419,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
TN93+G+I,24,6998.0562568201,6843.95987920725,-3397.84850477339,0.199891361554114,1.80056455874992,1.2853408796065,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.11,0.06,0.21,0.06,0.06,0.14,0.06,0.12,0.04,0.06
T92+G+I,21,6999.69091451453,6864.82884985791,-3411.31328657519,0.154516287134241,1.347422242253,1.26148436586479,0.234749455337691,0.234749455337691,0.265250544662309,0.265250544662309,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G+I,20,7002.01884456602,6873.56998617401,-3416.69306925247,0.154776298841954,1.39443915401016,1.23962616923472,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY+G,22,7002.40605064635,6861.13166364414,-3408.45503698957,n/a,0.78161013449117,1.29379741313045,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.15,0.06,0.15,0.06,0.06,0.1,0.06,0.17,0.04,0.06
HKY+G+I,23,7008.44728342203,6860.76145857398,-3407.25983572589,0.171777624176467,1.49288844820769,1.27234967465277,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.15,0.06,0.15,0.06,0.06,0.1,0.06,0.16,0.04,0.06
TN93+I,23,7010.92586747549,6863.24004262744,-3408.49912775262,0.296911400526783,n/a,1.19807644420852,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.11,0.07,0.2,0.06,0.07,0.13,0.06,0.12,0.04,0.06
GTR+G,26,7016.66061449078,6849.74578891905,-3398.71904830568,n/a,0.787996881482713,1.30819670155277,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.05,0.11,0.06,0.21,0.05,0.06,0.14,0.07,0.12,0.03,0.07
T92+I,20,7019.45148485111,6891.00262645909,-3425.40938939501,0.299449596329246,n/a,1.17040645204452,0.234749455337691,0.234749455337691,0.265250544662309,0.265250544662309,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+I,19,7020.65724007525,6898.62247128658,-3430.22808465861,0.297696781206121,n/a,1.15652558850401,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
GTR+G+I,27,7020.77083203277,6847.44811243206,-3396.55833942515,0.200402267222065,1.83303244688367,1.28750606033747,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.05,0.11,0.06,0.21,0.05,0.05,0.14,0.07,0.12,0.04,0.07
HKY+I,22,7024.86650331457,6883.59211631235,-3419.68526332368,0.299247883635591,n/a,1.17167826751519,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.14,0.07,0.14,0.06,0.07,0.09,0.06,0.16,0.04,0.06
GTR+I,26,7032.80532981288,6865.89050424115,-3406.79140596673,0.295674667405981,n/a,1.2003558481105,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.05,0.1,0.07,0.2,0.06,0.05,0.13,0.07,0.12,0.04,0.07
JC+G,18,7077.38442049935,6961.76462407303,-3462.80749252218,n/a,0.862899958006356,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,7083.08989726944,6961.05512848077,-3461.4444132557,0.173766385761565,1.70181748798374,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7096.90880930085,6981.28901287452,-3472.56968692293,0.295072982409514,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,7168.95053299369,7053.33073656736,-3508.59054876935,n/a,n/a,1.0733590326436,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
TN93,22,7171.10264319482,7029.8282561926,-3492.80333326381,n/a,n/a,1.08074519042131,0.293899782135076,0.175599128540305,0.266230936819172,0.264270152505447,0.04,0.06,0.11,0.07,0.18,0.06,0.07,0.12,0.06,0.12,0.04,0.06
