Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,8545.61417302419,8377.95146760839,-4164.90087416602,0.377133672314079,0.773147406772938,2.62958661345794,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.04,0.09,0.03,0.32,0.04,0.03,0.24,0.04,0.07,0.03,0.04
TN93+G,23,8547.25989678254,8386.57738100346,-4170.21982822628,n/a,0.298667671086272,2.68288503453793,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.04,0.09,0.03,0.33,0.04,0.03,0.24,0.04,0.07,0.03,0.04
GTR+G+I,27,8571.96137541294,8383.36111455888,-4164.58619881713,0.372657031636797,0.756245764088156,2.64221216384511,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.04,0.09,0.03,0.32,0.03,0.03,0.24,0.04,0.07,0.02,0.04
GTR+G,26,8573.25352917722,8391.6319510359,-4169.72836788036,n/a,0.29895381664005,2.68425445488558,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.04,0.09,0.03,0.33,0.03,0.03,0.25,0.04,0.07,0.02,0.04
T92+G+I,21,8576.49323912982,8429.77260823259,-4193.82868376209,0.447721980029239,1.09924368757191,2.35320836124828,0.220398009950249,0.220398009950249,0.279601990049751,0.279601990049751,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,8577.96682999348,8438.22789396588,-4199.06157137501,n/a,0.297414052686705,2.34770155465732,0.220398009950249,0.220398009950249,0.279601990049751,0.279601990049751,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+I,23,8584.86037059289,8424.17785481381,-4189.02006513146,0.547538778620088,n/a,2.07110641637903,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.05,0.11,0.04,0.27,0.04,0.04,0.2,0.04,0.09,0.03,0.05
HKY+G+I,23,8593.81364895997,8433.13113318088,-4193.49670431499,0.450414458957466,1.1158512870378,2.35830244396484,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.04,0.19,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
HKY+G,22,8595.5689152035,8441.86709099321,-4198.87042961785,n/a,0.297016230007679,2.35261333335317,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.04,0.19,0.03,0.2,0.04,0.03,0.15,0.04,0.16,0.03,0.04
K2+G,19,8596.38165820763,8463.62491841861,-4212.76507766317,n/a,0.306340085479627,2.24758556072599,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,8596.61180040693,8456.87286437934,-4208.38405658174,0.439938631674357,1.10721015357531,2.24910450046406,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,8603.87751535498,8464.13857932738,-4212.01691405576,0.562507428224085,n/a,2.09175882878532,0.220398009950249,0.220398009950249,0.279601990049751,0.279601990049751,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
GTR+I,26,8611.5436636149,8429.92208547357,-4188.8734350992,0.547378511515849,n/a,2.07570810602127,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.05,0.11,0.03,0.27,0.04,0.04,0.2,0.05,0.09,0.03,0.05
HKY+I,22,8620.71081754614,8467.00899333585,-4211.44138078917,0.562844372698911,n/a,2.09915148376037,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.05,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.03,0.05
K2+I,19,8623.51841347658,8490.76167368756,-4226.33345529765,0.56042949917496,n/a,2.0216989081816,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
JC+G+I,19,8870.87718164576,8738.12044185674,-4350.01283938224,0.467916465780071,1.69925556620039,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8871.1627762565,8745.38873388749,-4354.65172886869,n/a,0.340608560207541,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8885.41971227552,8759.64566990652,-4361.78019687821,0.554948870910439,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,9026.37567191876,8872.67384770846,-4414.27380797547,n/a,n/a,1.75153883494306,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.04,0.05,0.1,0.04,0.26,0.05,0.04,0.2,0.05,0.08,0.04,0.05
GTR,25,9047.64310983807,8873.00071690553,-4411.41925039187,n/a,n/a,1.75248190318934,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.03,0.06,0.1,0.03,0.27,0.04,0.04,0.2,0.06,0.08,0.03,0.06
T92,19,9085.66840626775,8952.91166647873,-4457.40845169323,n/a,n/a,1.72099613633007,0.220398009950249,0.220398009950249,0.279601990049751,0.279601990049751,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2,18,9086.61834817976,8960.84430581075,-4462.37951483032,n/a,n/a,1.71500447248921,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY,21,9104.69784754074,8957.97721664351,-4457.93098796755,n/a,n/a,1.72129950559241,0.226119402985075,0.214676616915423,0.284950248756219,0.274253731343284,0.04,0.05,0.17,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
JC,17,9319.80568291861,9201.01483896361,-4583.46927438083,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
