Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8525.85260388785,8381.43344263129,-4169.652447526,0.489910960433594,2.54044752570877,1.65475353568889,0.211997226074896,0.211997226074896,0.288002773925104,0.288002773925104,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G+I,24,8526.59547633314,8361.56510942023,-4156.69904740322,0.472533970251762,2.05504849543988,1.75831176008902,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.04,0.05,0.12,0.04,0.25,0.05,0.04,0.19,0.05,0.08,0.04,0.05
T92+I,20,8533.16773184114,8395.62009241569,-4177.75162361778,0.530201888733242,n/a,1.54167092799724,0.211997226074896,0.211997226074896,0.288002773925104,0.288002773925104,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+I,23,8538.68507264678,8380.52454741271,-4167.18545767518,0.524717031934878,n/a,1.56443062909697,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.04,0.05,0.13,0.04,0.23,0.06,0.04,0.17,0.06,0.09,0.04,0.05
TN93+G,23,8539.4556401588,8381.29511492473,-4167.57074143119,n/a,0.327388624461634,1.85739248278339,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.04,0.05,0.11,0.04,0.26,0.05,0.04,0.2,0.05,0.08,0.04,0.05
T92+G,20,8540.0452029301,8402.49756350465,-4181.19035916226,n/a,0.32973362056678,1.70475968089972,0.211997226074896,0.211997226074896,0.288002773925104,0.288002773925104,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G+I,27,8547.15715149732,8361.52062359558,-4153.65504863989,0.462142328452901,1.8124658987587,1.77317814317144,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.03,0.05,0.12,0.03,0.26,0.04,0.04,0.2,0.07,0.08,0.03,0.06
HKY+G+I,23,8552.76437165593,8394.60384642185,-4174.22510717976,0.487288005593746,2.42161849943418,1.66673206240042,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.14,0.04,0.05
GTR+G,26,8556.40904942068,8377.64068093976,-4162.72260971671,n/a,0.328590148620693,1.83982752757226,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.02,0.06,0.11,0.02,0.27,0.03,0.05,0.2,0.07,0.08,0.02,0.06
HKY+I,22,8561.21466515214,8409.92454188147,-4182.891866043,0.529874208116033,n/a,1.54377817521051,0.214563106796117,0.209431345353675,0.272815533980583,0.303190013869626,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
