Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,5649.49288289616,5513.41920285295,-2735.61410742069,0.454736288789204,1.06363053892821,2.62854859117276,0.22201646090535,0.22201646090535,0.27798353909465,0.27798353909465,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,5650.57877619024,5520.97649143697,-2740.40145092617,n/a,0.272164664236606,2.6369807182741,0.22201646090535,0.22201646090535,0.27798353909465,0.27798353909465,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G+I,24,5652.70005948944,5497.21720056319,-2724.48450514199,0.421786310029289,0.911767547724903,2.81521404752063,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.03,0.03,0.12,0.03,0.29,0.04,0.03,0.25,0.04,0.08,0.03,0.03
TN93+G,23,5653.77664738725,5504.76267973986,-2729.26719594934,n/a,0.277828028640459,2.91600457691014,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.03,0.03,0.11,0.03,0.3,0.04,0.03,0.26,0.04,0.08,0.03,0.03
K2+G+I,20,5661.6053616829,5532.00307692964,-2745.91474367251,0.449748985004426,1.07061595616158,2.51435625919783,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,5661.63929701136,5538.50924118375,-2750.17610819518,n/a,0.278072133773184,2.53125892012861,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G+I,23,5671.22442095181,5522.21045330442,-2737.99108273162,0.452051993907352,1.03673302549314,2.67795007851552,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.03
GTR+G+I,27,5671.2825844119,5496.39806796303,-2721.04257702787,0.411787730156813,0.85495086991384,2.8175288419091,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.01,0.06,0.12,0.01,0.29,0.04,0.05,0.25,0.03,0.09,0.03,0.03
HKY+G,22,5672.06146638896,5529.51722520856,-2742.65400230864,n/a,0.271136947575437,2.68500324886197,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.03,0.03,0.22,0.03,0.19,0.04,0.03,0.17,0.04,0.16,0.03,0.03
GTR+G,26,5672.07073191083,5503.65259806487,-2725.68104763579,n/a,0.279247834611941,2.88626133465279,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.01,0.06,0.11,0.01,0.29,0.04,0.05,0.26,0.03,0.08,0.03,0.03
T92+I,20,5673.31968332423,5543.71739857097,-2751.77190449317,0.545326820380381,n/a,2.20183337960509,0.22201646090535,0.22201646090535,0.27798353909465,0.27798353909465,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,5680.1022003875,5531.08823274012,-2742.42997244946,0.536292406475349,n/a,2.19309891193767,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.03,0.04,0.13,0.03,0.25,0.05,0.03,0.21,0.05,0.1,0.03,0.04
K2+I,19,5684.78821154618,5561.65815571857,-2761.75056546259,0.544473736045588,n/a,2.13175316263251,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,5696.52467515129,5553.98043397088,-2754.8856066898,0.5450805014271,n/a,2.2229966884838,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.03,0.04,0.21,0.03,0.18,0.05,0.03,0.16,0.05,0.15,0.03,0.04
GTR+I,26,5701.87788972838,5533.45975588242,-2740.58462654456,0.535569706863367,n/a,2.19178962449782,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.02,0.06,0.13,0.02,0.25,0.05,0.05,0.21,0.04,0.1,0.04,0.03
JC+G+I,19,5851.27809697997,5728.14804115236,-2844.99550817948,0.459661473522295,1.41292535007878,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,5851.68259817478,5735.02560439194,-2849.44215563534,n/a,0.309770834807212,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5865.01216050098,5748.35516671813,-2856.10693679844,0.540190636914932,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,6037.55024440644,5895.00600322603,-2925.39839131738,n/a,n/a,1.73989158805385,0.218312757201646,0.225720164609054,0.259053497942387,0.296913580246914,0.04,0.05,0.11,0.04,0.24,0.05,0.04,0.21,0.05,0.08,0.04,0.05
