Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12693.8495514303,12517.1979585423,-6234.5474550118,0.426155730156039,0.713889835490013,2.81816638171062,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.03,0.03,0.09,0.03,0.31,0.04,0.03,0.26,0.04,0.08,0.03,0.03
TN93+G,23,12701.8682379491,12532.5731697643,-6243.23918663383,n/a,0.227485992691025,3.31715868118447,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.02,0.03,0.07,0.03,0.35,0.03,0.03,0.29,0.03,0.06,0.02,0.03
GTR+G+I,27,12704.0888715857,12505.3697745951,-6225.61995000158,0.430768813122102,0.770991152620695,2.73959884434487,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.02,0.03,0.09,0.02,0.31,0.03,0.03,0.26,0.06,0.08,0.02,0.06
GTR+G,26,12711.3578938632,12519.9942864834,-6233.93684950297,n/a,0.239986264892646,3.05845538963987,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.01,0.03,0.08,0.01,0.33,0.02,0.03,0.28,0.06,0.07,0.02,0.05
T92+G+I,21,12729.8165738835,12575.2355895756,-6266.57813132628,0.526440725822453,1.53439854167631,2.31995072639985,0.231619537275064,0.231619537275064,0.268380462724936,0.268380462724936,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,12756.1173427561,12608.8939174444,-6284.41090412522,n/a,0.254278501162535,2.34153992168739,0.231619537275064,0.231619537275064,0.268380462724936,0.268380462724936,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+I,23,12757.7062097238,12588.411141539,-6271.15817252118,0.575752463982784,n/a,1.96091832075572,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.04,0.04,0.12,0.04,0.24,0.05,0.04,0.2,0.05,0.11,0.04,0.04
K2+G+I,20,12758.518566484,12611.2951411723,-6285.61151598921,0.525350109480133,1.62325391527724,2.21229253864568,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,12762.3459797347,12615.122554423,-6287.52522261452,0.583448125729192,n/a,1.98983652708536,0.231619537275064,0.231619537275064,0.268380462724936,0.268380462724936,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.15,0.04,0.04
HKY+G+I,23,12762.7614652708,12593.466397086,-6273.68580029466,0.527614898233951,1.54415938331877,2.35683432724125,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.03,0.04,0.19,0.04,0.18,0.04,0.04,0.15,0.04,0.17,0.03,0.04
GTR+I,26,12764.9301213459,12573.5665139661,-6260.72296324431,0.573876234923033,n/a,2.00871544584807,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.03,0.04,0.12,0.03,0.24,0.04,0.03,0.2,0.07,0.11,0.03,0.06
K2+G,19,12782.0317554231,12642.1662336943,-6302.05049882138,n/a,0.260568818410061,2.23808729458905,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,12789.2677542759,12649.4022325471,-6305.66849824781,0.582006987792813,n/a,1.93045346805972,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,12789.9334954848,12627.9952968564,-6291.95420376432,n/a,0.253752471080909,2.37550933046364,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.03,0.04,0.19,0.04,0.18,0.04,0.04,0.15,0.04,0.17,0.03,0.04
HKY+I,22,12794.7547740315,12632.8165754031,-6294.36484303768,0.583634183666667,n/a,2.01924592725371,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.04,0.04,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.16,0.04,0.04
JC+G+I,19,13145.1762887378,13005.3107670089,-6483.62276547871,0.549819349532713,3.58228846766195,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13152.4763751872,13019.9691015392,-6491.95519706607,0.578074172347276,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13173.738967308,13041.23169366,-6502.58649312646,n/a,0.288760253558983,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,13624.3431294367,13440.3353567874,-6695.11185565236,n/a,n/a,1.43721821488133,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.04,0.04,0.1,0.04,0.22,0.04,0.04,0.18,0.08,0.09,0.04,0.08
TN93,22,13632.1127594507,13470.1745608223,-6713.04383574727,n/a,n/a,1.6047893599037,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.04,0.05,0.1,0.05,0.23,0.05,0.05,0.2,0.05,0.09,0.04,0.05
T92,19,13702.1846764284,13562.3191546996,-6762.12695932402,n/a,n/a,1.58272627533073,0.231619537275064,0.231619537275064,0.268380462724936,0.268380462724936,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2,18,13702.7508027192,13570.2435290712,-6767.09241083206,n/a,n/a,1.57852489782352,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,13737.4829734789,13582.9019891711,-6770.41133112402,n/a,n/a,1.58091507300531,0.243444730077121,0.219794344473008,0.26203941730934,0.274721508140531,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.13,0.05,0.15,0.04,0.05
JC,17,14016.3138695594,13891.1651884016,-6928.55633261481,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
