Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,14634.600392735,14456.3895505665,-7204.1464855448,0.429478589942958,1.64724383597552,2.27257269044213,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.03,0.04,0.13,0.03,0.26,0.05,0.03,0.22,0.05,0.09,0.03,0.04
TN93+G,23,14650.6793272177,14479.8902274423,-7216.90069073707,n/a,0.350966790396904,2.39143722500475,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.03,0.04,0.13,0.03,0.27,0.05,0.03,0.22,0.05,0.09,0.03,0.04
T92+G+I,21,14653.7302844923,14497.7856387985,-7227.85564527628,0.442805856452049,1.72624170567878,2.17732727646798,0.213453815261044,0.213453815261044,0.286546184738956,0.286546184738956,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G+I,27,14657.509760857,14457.0356310357,-7201.45695575294,0.430328504962664,1.67934116508367,2.26414223458757,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.02,0.05,0.13,0.02,0.26,0.05,0.04,0.22,0.04,0.09,0.04,0.04
T92+G,20,14668.5291607941,14520.0072266326,-7239.96982137811,n/a,0.345178089925009,2.25172383562461,0.213453815261044,0.213453815261044,0.286546184738956,0.286546184738956,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,14670.8087941644,14500.019694389,-7226.96542421043,0.501177249724263,n/a,1.96482645371622,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.04,0.04,0.14,0.03,0.24,0.05,0.03,0.2,0.05,0.1,0.04,0.04
GTR+G,26,14673.6430108259,14480.5896535564,-7214.23831868836,n/a,0.35400563609806,2.37332321746773,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.02,0.05,0.13,0.02,0.27,0.05,0.04,0.22,0.04,0.09,0.03,0.04
HKY+G+I,23,14682.8465964254,14512.05749665,-7232.98432534092,0.437993571424717,1.64111141014839,2.21823079513258,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.03,0.04,0.22,0.03,0.18,0.05,0.03,0.15,0.05,0.15,0.03,0.04
T92+I,20,14687.2711998082,14538.7492656468,-7249.34084088518,0.509360287257405,n/a,1.94331034865687,0.213453815261044,0.213453815261044,0.286546184738956,0.286546184738956,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,14692.4128914008,14499.3595341312,-7223.62325897578,0.50159654452687,n/a,1.97243563440545,0.211887550200803,0.215020080321285,0.259277108433735,0.313815261044177,0.02,0.05,0.14,0.02,0.24,0.06,0.04,0.2,0.05,0.1,0.04,0.04
