Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,18842.6453124208,18684.7926146369,-9321.36235670115,0.275378758867775,1.08166283161171,1.61096303247916,0.198532648569332,0.198532648569332,0.301467351430668,0.301467351430668,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,18847.068744172,18696.7298975374,-9328.33408683912,n/a,0.450974668949973,1.66247889801248,0.198532648569332,0.198532648569332,0.301467351430668,0.301467351430668,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,18847.9679291373,18667.5754474113,-9309.74362227236,0.290124628380688,1.16871606933138,1.63877578824951,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.06,0.16,0.04,0.23,0.05,0.04,0.14,0.05,0.11,0.03,0.06
HKY+G+I,23,18850.0101676687,18677.1306522741,-9315.52475580042,0.283622955786064,1.12997713089417,1.61764599379395,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.13,0.03,0.06
TN93+G,23,18855.5895860504,18682.7100706557,-9318.31446499125,n/a,0.447619285471197,1.69385415983635,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.05,0.16,0.04,0.23,0.05,0.04,0.14,0.05,0.11,0.03,0.05
HKY+G,22,18855.9367300807,18690.5704760217,-9323.24805126874,n/a,0.449833682921524,1.67277715923051,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.06,0.19,0.04,0.19,0.05,0.04,0.12,0.05,0.14,0.03,0.06
GTR+G+I,27,18870.301491391,18667.3718813478,-9306.63036061216,0.274186725577849,1.0661449784972,1.64251339642924,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.07,0.16,0.03,0.23,0.04,0.05,0.14,0.06,0.11,0.03,0.06
GTR+G,26,18874.5101722864,18679.0926431711,-9313.49471532222,n/a,0.447036818595527,1.68737186621785,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.07,0.16,0.03,0.23,0.04,0.05,0.14,0.06,0.12,0.02,0.06
TN93+I,23,18940.3776924921,18767.4981770974,-9360.70851821209,0.401711775216177,n/a,1.40910474594943,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.04,0.06,0.15,0.04,0.21,0.06,0.04,0.13,0.06,0.11,0.04,0.06
T92+I,20,18942.570644715,18792.2317980804,-9376.08503711059,0.40145223533231,n/a,1.38281109917957,0.198532648569332,0.198532648569332,0.301467351430668,0.301467351430668,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+I,22,18945.0723364632,18779.7060824043,-9367.81585446002,0.402035348668514,n/a,1.39265493846079,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.11,0.06,0.13,0.04,0.06
GTR+I,26,18965.0815949286,18769.6640658133,-9358.78042664332,0.401780839063319,n/a,1.41515809875029,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.06,0.15,0.03,0.21,0.06,0.04,0.13,0.06,0.11,0.04,0.07
K2+G+I,20,19011.5226725555,18861.1838259209,-9410.56105103083,0.288136680767406,1.3466037697424,1.41671728709048,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,19018.6216561907,18875.7969555148,-9418.8705571108,n/a,0.50362199361492,1.45505651656148,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,19085.9871680296,18943.1624673537,-9452.55331303026,0.398697471801536,n/a,1.28512230011252,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,19302.1600152629,19159.335314587,-9560.63973664689,0.304024462150295,1.69281207381845,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,19313.7645413204,19178.4542813474,-9571.20201393798,n/a,0.548604041256732,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,19359.6512013793,19224.3409414064,-9594.14534396745,0.396307219128516,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,19778.1370671032,19635.3123664272,-9798.62826256703,n/a,n/a,1.16230835224198,0.198532648569332,0.198532648569332,0.301467351430668,0.301467351430668,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
GTR,25,19788.9835188279,19601.07836584,-9775.49140285531,n/a,n/a,1.16440368147941,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.03,0.08,0.15,0.03,0.19,0.05,0.05,0.11,0.08,0.11,0.03,0.08
HKY,21,19789.9054353915,19632.0527376076,-9794.9924181865,n/a,n/a,1.16222231556031,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.04,0.07,0.16,0.05,0.17,0.07,0.05,0.1,0.07,0.12,0.04,0.07
TN93,22,19792.7340124307,19627.3677583718,-9791.64669244376,n/a,n/a,1.16277060563247,0.213206162876009,0.183859134262656,0.30564930300807,0.297285399853265,0.04,0.07,0.15,0.05,0.18,0.07,0.05,0.11,0.07,0.11,0.04,0.07
K2,18,19848.952819398,19713.642559425,-9838.79615297677,n/a,n/a,1.1427073124536,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,20095.372002131,19967.5764775404,-9966.76575860563,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
