Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,6417.44465771857,6235.61153366511,-3090.68465180532,0.469645945981529,0.636120175979527,2.93833938055397,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0,0.02,0.1,0,0.32,0.04,0.02,0.26,0.07,0.08,0.02,0.06
GTR+G,26,6425.15313413841,6250.04620354301,-3098.91065583205,n/a,0.209084414205527,3.00292986226499,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0,0.02,0.1,0,0.33,0.03,0.02,0.27,0.07,0.08,0.02,0.06
T92+G+I,21,6427.52891185412,6286.0626348719,-3121.95737377398,0.512134873896932,0.726403483522656,2.71570234431751,0.223205741626794,0.223205741626794,0.276794258373206,0.276794258373206,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G+I,24,6428.24535723036,6266.5927517463,-3109.20029901166,0.470316675961243,0.575733019858786,3.16582758324105,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0.02,0.03,0.11,0.03,0.32,0.04,0.03,0.26,0.04,0.09,0.02,0.03
T92+G,20,6438.78212969272,6304.04591852762,-3131.95574851009,n/a,0.208964453188461,2.46920478573176,0.223205741626794,0.223205741626794,0.276794258373206,0.276794258373206,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G,23,6439.29494570895,6284.37047125753,-3119.09685906777,n/a,0.191188172939828,3.6599748929124,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0.02,0.02,0.09,0.03,0.35,0.03,0.03,0.29,0.03,0.07,0.02,0.02
GTR+I,26,6453.39315929402,6278.28622869862,-3113.03066840986,0.616217685922332,n/a,2.16151630697627,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0,0.03,0.14,0,0.25,0.07,0.03,0.2,0.07,0.11,0.04,0.06
K2+G+I,20,6455.35297964148,6320.61676847638,-3140.24117348447,0.522521793114773,0.865149622858073,2.44911157714319,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G+I,23,6455.79162515877,6300.86715070735,-3127.34519879268,0.513928813719337,0.723683406332442,2.88411195961882,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0.03,0.03,0.23,0.03,0.18,0.04,0.03,0.15,0.04,0.18,0.03,0.03
T92+I,20,6457.27786777386,6322.54165660876,-3141.20361755066,0.626140742394428,n/a,2.08630401003001,0.223205741626794,0.223205741626794,0.276794258373206,0.276794258373206,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
K2+G,19,6463.67176133692,6335.66626029801,-3148.77233014901,n/a,0.216168300048899,2.29201764052386,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,6465.13280276565,6310.20832831423,-3132.01578759611,0.619468040927793,n/a,2.10029805911846,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0.03,0.04,0.14,0.04,0.24,0.05,0.04,0.2,0.05,0.11,0.03,0.04
HKY+G,22,6466.77789383572,6318.58219565485,-3137.21009894796,n/a,0.206544662137587,2.61996274730594,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0.03,0.03,0.22,0.03,0.18,0.04,0.03,0.14,0.04,0.18,0.03,0.03
K2+I,19,6481.57583686167,6353.57033582276,-3157.72436791138,0.624502405246305,n/a,1.9975872872373,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,6486.55362793572,6338.35792975485,-3147.09796599797,0.626459811291632,n/a,2.1744281652979,0.248165869218501,0.198245614035088,0.244019138755981,0.309569377990431,0.03,0.04,0.21,0.04,0.17,0.05,0.04,0.14,0.05,0.17,0.03,0.04
JC+G+I,19,6651.33944185664,6523.33394081772,-3242.60617040886,0.569357875689439,1.88760166784583,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,6655.42037747534,6534.14623056246,-3249.01840403503,n/a,0.234953104596074,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
