Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,20416.0438555009,20256.8586603737,-10107.3974637225,0.333176820430371,1.74837596351223,1.54897458551631,0.210399449035813,0.210399449035813,0.289600550964187,0.289600550964187,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,20417.8380167913,20235.9220290382,-10093.9196209351,0.337976205919417,1.83459472375596,1.58955116155738,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.04,0.06,0.14,0.04,0.23,0.05,0.04,0.15,0.05,0.11,0.04,0.06
HKY+G+I,23,20436.2473068644,20261.9079731721,-10107.9159071159,0.336120226229295,1.79963361298179,1.55057787016237,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.14,0.04,0.06
T92+G,20,20442.5838885218,20290.9761777843,-10125.4591213771,n/a,0.473946422806751,1.63258947778435,0.210399449035813,0.210399449035813,0.289600550964187,0.289600550964187,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G+I,27,20443.8278096268,20239.1835212659,-10092.5395939203,0.339171088722753,1.89580347769875,1.58221298948667,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.03,0.06,0.14,0.04,0.23,0.05,0.04,0.15,0.06,0.11,0.04,0.06
TN93+G,23,20447.5730059226,20273.2336722303,-10113.578756645,n/a,0.468705823992586,1.68402792975155,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.04,0.05,0.14,0.04,0.23,0.05,0.04,0.16,0.05,0.11,0.04,0.05
HKY+G,22,20464.3470266689,20297.584623871,-10126.7574081623,n/a,0.4738282533308,1.63660435159478,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.12,0.05,0.14,0.04,0.05
GTR+G,26,20473.5875465716,20276.5190814269,-10112.2111035369,n/a,0.473864079049681,1.6717310085527,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.03,0.06,0.14,0.03,0.23,0.05,0.04,0.16,0.06,0.11,0.03,0.06
TN93+I,23,20482.5642218581,20308.2248881657,-10131.0743646127,0.40212980325637,n/a,1.41323610327474,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.04,0.06,0.14,0.05,0.21,0.06,0.05,0.14,0.06,0.11,0.04,0.06
T92+I,20,20483.9301508892,20332.3224401517,-10146.1322525608,0.402909391487801,n/a,1.38726443166626,0.210399449035813,0.210399449035813,0.289600550964187,0.289600550964187,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+I,22,20501.1848636019,20334.422460804,-10145.1763266288,0.403139763101426,n/a,1.39134827263885,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.12,0.06,0.13,0.04,0.06
GTR+I,26,20502.6000775754,20305.5316124307,-10126.7173690388,0.402054588540238,n/a,1.41915963681394,0.223002754820937,0.197796143250689,0.29263085399449,0.286570247933884,0.03,0.06,0.14,0.04,0.21,0.06,0.04,0.14,0.07,0.11,0.04,0.07
