Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,7694.2647760482,7536.33015411448,-3745.08750538776,n/a,0.269187943534493,3.05181148888307,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.03,0.03,0.08,0.03,0.31,0.03,0.03,0.3,0.03,0.07,0.03,0.03
TN93+G+I,24,7694.41041896784,7529.61584340512,-3740.72359281992,0.428447817597246,0.926645940303454,2.89899269764071,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.03,0.03,0.08,0.03,0.3,0.04,0.03,0.3,0.04,0.07,0.03,0.03
GTR+G,26,7704.85296492599,7526.34018055691,-3737.07139774366,n/a,0.267999600492234,3.18599331985757,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0,0.04,0.08,0.01,0.31,0.03,0.05,0.31,0.04,0.07,0.02,0.03
GTR+G+I,27,7707.41267751778,7522.04163844897,-3733.91452001189,0.382367790758637,0.720575708906595,3.09057713499671,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.01,0.04,0.08,0.01,0.31,0.03,0.05,0.31,0.04,0.07,0.02,0.03
K2+G+I,20,7721.13559738146,7583.78423037508,-3771.83311813739,0.503608037779084,1.68789283646953,2.35467592268118,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,7721.17314334862,7590.68399187031,-3776.28862514864,n/a,0.278608554730516,2.40142780299013,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G+I,21,7723.23895751945,7579.02594010231,-3768.44806417872,0.504844280618643,1.66127444127522,2.39701012228419,0.240616246498599,0.240616246498599,0.259383753501401,0.259383753501401,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,7723.58241098188,7586.2310439755,-3773.0565249376,n/a,0.275142130625242,2.44469541995066,0.240616246498599,0.240616246498599,0.259383753501401,0.259383753501401,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.17,0.04,0.17,0.03,0.04
TN93+I,23,7725.09132308705,7567.15670115333,-3760.50077890719,0.555289609910996,n/a,2.22107860314315,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.03,0.03,0.11,0.04,0.25,0.04,0.04,0.24,0.04,0.1,0.03,0.03
K2+I,19,7735.01129520606,7604.52214372775,-3783.20770107736,0.569297564899351,n/a,2.15564541784314,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,7737.5655289613,7600.21416195492,-3780.04808392731,0.570221147993288,n/a,2.18520662706843,0.240616246498599,0.240616246498599,0.259383753501401,0.259383753501401,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,7754.47555168522,7575.96276731614,-3761.88269112327,0.556755035323735,n/a,1.97990553117582,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.04,0.03,0.11,0.04,0.23,0.05,0.04,0.23,0.05,0.1,0.04,0.04
HKY+G,22,7769.89537792611,7618.82127545374,-3787.33954035438,n/a,0.271696955456877,2.55491550440642,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.03,0.03,0.21,0.04,0.16,0.04,0.04,0.16,0.04,0.19,0.03,0.03
HKY+G+I,23,7770.75380729743,7612.81918536371,-3783.33202101238,0.498488395628588,1.51964003977802,2.50075525793649,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.03,0.03,0.21,0.04,0.16,0.04,0.04,0.16,0.04,0.18,0.03,0.03
HKY+I,22,7787.59275483942,7636.51865236706,-3796.18822881104,0.570144963760863,n/a,2.23544056734425,0.259943977591036,0.221288515406162,0.223109243697479,0.295658263305322,0.03,0.04,0.2,0.04,0.15,0.05,0.04,0.15,0.05,0.18,0.03,0.04
