Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,16430.3653305835,16248.5990833493,-8100.25788947055,0.446321877569644,0.979167018297584,1.96409044114444,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.04,0.04,0.15,0.03,0.21,0.05,0.03,0.22,0.05,0.09,0.04,0.04
HKY+G+I,23,16439.5480601155,16265.3522078603,-8109.6377865624,0.444261993556023,0.953514537593763,1.91839695671074,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.04,0.04,0.2,0.03,0.17,0.05,0.03,0.17,0.05,0.12,0.04,0.04
GTR+G+I,27,16441.6183229087,16237.1425627297,-8091.51878865548,0.419880535699433,0.840578306979872,2.04573950121122,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.03,0.05,0.15,0.02,0.22,0.03,0.04,0.22,0.07,0.09,0.03,0.06
TN93+G,23,16442.1439416371,16267.948089382,-8110.93572732322,n/a,0.272450576645062,1.95115788995867,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.04,0.04,0.16,0.03,0.21,0.05,0.03,0.21,0.05,0.09,0.04,0.04
HKY+G,22,16446.5580049093,16279.932826202,-8117.93129128522,n/a,0.269226211588596,1.91121570785301,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.04,0.04,0.2,0.03,0.17,0.05,0.03,0.17,0.05,0.12,0.04,0.04
GTR+G,26,16449.5525344562,16252.646333202,-8100.27442675512,n/a,0.272763106420133,2.03769543330533,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.03,0.05,0.15,0.02,0.21,0.03,0.04,0.22,0.07,0.09,0.03,0.06
T92+G+I,21,16476.8544914111,16317.8002647623,-8137.86806686198,0.471679447181398,1.14609627380511,1.93861416864418,0.21981981981982,0.21981981981982,0.28018018018018,0.28018018018018,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G,20,16488.7322817115,16337.2492855739,-8148.59549433807,n/a,0.267600157756656,1.94061076473857,0.21981981981982,0.21981981981982,0.28018018018018,0.28018018018018,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,16515.5532229686,16341.3573707135,-8147.64036798898,0.555492819371145,n/a,1.61719869597236,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.05,0.05,0.15,0.03,0.19,0.06,0.03,0.2,0.06,0.09,0.05,0.05
HKY+I,22,16529.6488613945,16363.0236826872,-8159.47671952782,0.557866354398814,n/a,1.60733797895097,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.05,0.05,0.19,0.03,0.16,0.06,0.03,0.16,0.06,0.11,0.05,0.05
GTR+I,26,16533.2292433832,16336.323042129,-8142.11278121862,0.55502387295011,n/a,1.64212925986332,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.04,0.05,0.15,0.02,0.19,0.05,0.03,0.2,0.07,0.09,0.05,0.06
K2+G+I,20,16543.2304479785,16391.7474518409,-8175.84457747155,0.473583374205912,1.25026335159217,1.81029516310693,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,16549.6823332218,16398.1993370842,-8179.07052009322,0.560940769591498,n/a,1.6643030118569,0.21981981981982,0.21981981981982,0.28018018018018,0.28018018018018,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G,19,16553.910187256,16409.9987000244,-8185.97297943621,n/a,0.277485432115677,1.81703594684405,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,16609.0132720478,16465.1017848162,-8213.52452183209,0.55954649544551,n/a,1.59678886378471,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,16918.0424028415,16774.1309156099,-8368.03908722894,0.496290227603781,1.86854275068211,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,16929.3258659047,16792.9861659158,-8378.46935108642,n/a,0.297172379599911,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,16959.7482153382,16823.4085153494,-8393.68052580319,0.557266708257722,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,17625.1457061317,17435.8093425451,-8692.85954491875,n/a,n/a,1.37281349943118,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.03,0.06,0.14,0.02,0.18,0.05,0.04,0.19,0.09,0.08,0.04,0.08
TN93,22,17647.8627575264,17481.237578819,-8718.58366759373,n/a,n/a,1.36847326433415,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.05,0.05,0.14,0.04,0.18,0.06,0.04,0.18,0.06,0.08,0.05,0.05
HKY,21,17674.137884384,17515.0836577352,-8736.50976334843,n/a,n/a,1.36612677360005,0.176992376992377,0.262647262647263,0.255509355509356,0.304851004851005,0.05,0.05,0.18,0.04,0.15,0.06,0.04,0.15,0.06,0.1,0.05,0.05
T92,19,17733.3228538839,17589.4113666523,-8775.67931275018,n/a,n/a,1.36262358245512,0.21981981981982,0.21981981981982,0.28018018018018,0.28018018018018,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,17750.3400626094,17614.0003626206,-8788.9764494388,n/a,n/a,1.35527579953619,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC,17,18062.2803477352,17933.512713268,-8949.73512432758,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
