Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,13607.6224641342,13461.8986703512,-6710.91047866716,n/a,0.363693064054189,1.82040987067665,0.203416435826408,0.203416435826408,0.296583564173592,0.296583564173592,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G+I,21,13609.020607868,13456.014517956,-6706.96451286403,0.292361329823848,0.778381679199894,1.81185960892824,0.203416435826408,0.203416435826408,0.296583564173592,0.296583564173592,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G+I,24,13621.7897908122,13446.9390423469,-6699.41399132614,0.29442083181321,0.783148946107724,1.84693342890392,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.04,0.05,0.16,0.03,0.23,0.05,0.03,0.17,0.05,0.1,0.04,0.05
TN93+G,23,13621.9953609696,13454.4257936134,-6704.16181407488,n/a,0.363209910355158,1.85194358189709,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.04,0.05,0.16,0.03,0.22,0.05,0.03,0.17,0.05,0.1,0.04,0.05
HKY+G,22,13624.9200837078,13464.6320692371,-6710.26921311394,n/a,0.362686873847266,1.82869979056779,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.04,0.05,0.21,0.03,0.18,0.05,0.03,0.14,0.05,0.13,0.04,0.05
HKY+G+I,23,13627.117662888,13459.5480955317,-6706.72296503405,0.279955203166874,0.737710095055195,1.8207556976838,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.04,0.05,0.21,0.03,0.18,0.05,0.03,0.14,0.05,0.13,0.04,0.05
GTR+G,26,13634.5113615212,13445.0993665802,-6696.48470134067,n/a,0.358389769945131,1.87771876494142,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.02,0.06,0.16,0.02,0.23,0.04,0.04,0.17,0.07,0.1,0.02,0.06
GTR+G+I,27,13637.297605919,13440.6055458181,-6693.23278586959,0.254245673145536,0.661570477070518,1.87801321348323,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.02,0.06,0.16,0.02,0.23,0.04,0.04,0.18,0.07,0.1,0.03,0.06
T92+I,20,13700.5851285845,13554.8613348015,-6757.39181089228,0.467453710719186,n/a,1.55816932651742,0.203416435826408,0.203416435826408,0.296583564173592,0.296583564173592,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+I,23,13713.8352611139,13546.2656937577,-6750.08176414702,0.465130178352878,n/a,1.57229325472288,0.194367497691597,0.212465373961219,0.276546629732225,0.316620498614958,0.04,0.05,0.16,0.04,0.21,0.06,0.04,0.16,0.06,0.1,0.04,0.05
K2+G,19,13715.1067756854,13576.6656494984,-6769.29767211274,n/a,0.387943192878523,1.65431359423708,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,13719.1647593411,13573.4409655581,-6766.68162627058,0.272278859617735,0.783328717247535,1.64752137839501,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
