Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,18609.9550189502,18423.849242993,-9187.88984896682,0.343179268548641,0.61968072140051,2.59089963227244,0.263831018518519,0.222395833333333,0.242071759259259,0.271701388888889,0.03,0.03,0.09,0.04,0.29,0.04,0.04,0.26,0.04,0.09,0.03,0.03
TN93+G,23,18616.4561979539,18438.1021597265,-9196.01909098982,n/a,0.276552294682565,2.62192131011269,0.263831018518519,0.222395833333333,0.242071759259259,0.271701388888889,0.03,0.03,0.09,0.04,0.29,0.04,0.04,0.27,0.04,0.09,0.03,0.03
GTR+G+I,27,18629.5351381849,18420.1755440538,-9183.04395102062,0.339201798415408,0.615212827520065,2.58835494778038,0.263831018518519,0.222395833333333,0.242071759259259,0.271701388888889,0.02,0.04,0.09,0.02,0.29,0.04,0.04,0.26,0.04,0.09,0.03,0.04
GTR+G,26,18635.0785676838,18433.4700137342,-9190.69431829122,n/a,0.277513270188569,2.62119220138107,0.263831018518519,0.222395833333333,0.242071759259259,0.271701388888889,0.02,0.04,0.09,0.02,0.29,0.04,0.04,0.27,0.04,0.09,0.03,0.04
K2+G+I,20,18668.5113077491,18513.4138771609,-9236.68260345096,0.345865011555547,0.614826074856567,2.30551226312679,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,18670.7891638781,18507.9392983757,-9232.9428789943,0.345499239871764,0.61001837962864,2.3204842015348,0.243113425925926,0.243113425925926,0.256886574074074,0.256886574074074,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,18671.376563153,18524.0317997932,-9242.99388367411,n/a,0.27906380122986,2.28441956948876,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,18673.754988875,18518.6575582868,-9239.30444401391,n/a,0.27769199393769,2.29987121536591,0.243113425925926,0.243113425925926,0.256886574074074,0.256886574074074,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,18727.3210072616,18548.9669690343,-9251.4514956437,0.349608949585584,0.617551975601937,2.38977475720283,0.263831018518519,0.222395833333333,0.242071759259259,0.271701388888889,0.03,0.04,0.19,0.04,0.17,0.04,0.04,0.16,0.04,0.19,0.03,0.04
HKY+G,22,18730.0763572488,18559.4742891865,-9257.70782315848,n/a,0.276597836925339,2.37047365056289,0.263831018518519,0.222395833333333,0.242071759259259,0.271701388888889,0.03,0.04,0.19,0.04,0.17,0.04,0.04,0.16,0.04,0.19,0.03,0.04
