Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+I,19,2586.06790318768,2475.10942930728,-1218.40627715364,0.645082430862015,n/a,2.24955922817515,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,2589.73560404548,2478.77713016509,-1220.24012758254,n/a,0.181341603839384,2.57346817474185,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,2590.39047918534,2473.60783885095,-1216.63979281352,0.620999911569289,2.5577963160497,2.51780530609437,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+I,20,2594.29968272231,2477.51704238791,-1218.594394582,0.645266551852543,n/a,2.26288985667526,0.244186046511628,0.244186046511628,0.255813953488372,0.255813953488372,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,2597.8550786499,2481.07243831551,-1220.37209254579,n/a,0.180199341122726,2.59570202369967,0.244186046511628,0.244186046511628,0.255813953488372,0.255813953488372,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.04
T92+G+I,21,2598.59738467359,2475.99216614025,-1216.81547321868,0.621217244673954,2.540737446344,2.53779615398072,0.244186046511628,0.244186046511628,0.255813953488372,0.255813953488372,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.04
HKY+I,22,2609.58097057979,2481.15476396599,-1218.37949383282,0.645687651312195,n/a,2.36373849610852,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.03,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.19,0.03,0.04
TN93+I,23,2610.18407558328,2475.93847287385,-1214.75327399561,0.638638657236268,n/a,2.2337407488194,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.03,0.04,0.12,0.04,0.24,0.04,0.04,0.2,0.04,0.13,0.03,0.04
HKY+G,22,2613.60217909008,2485.17597247629,-1220.39009808797,n/a,0.176792365591048,2.72403131255877,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.03,0.03,0.18,0.04,0.19,0.03,0.04,0.16,0.03,0.2,0.03,0.03
HKY+G+I,23,2614.10665883208,2479.86105612265,-1216.71456562001,0.623871345352523,2.69616481238212,2.65139621878223,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.03,0.04,0.18,0.04,0.19,0.03,0.04,0.16,0.03,0.2,0.03,0.04
TN93+G+I,24,2614.96627109541,2474.90286614441,-1213.21659941272,0.612625375842179,2.67212690258387,2.51958447694487,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.03,0.04,0.11,0.04,0.26,0.04,0.04,0.22,0.04,0.13,0.03,0.04
TN93+G,23,2615.31334823827,2481.06774552884,-1217.3179103231,n/a,0.195371758202154,2.64396799479854,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.03,0.04,0.11,0.04,0.27,0.03,0.04,0.22,0.03,0.12,0.03,0.04
GTR+I,26,2627.53703615348,2475.84281577327,-1211.64643726384,0.638840723383147,n/a,2.21406054644222,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.06,0.03,0.12,0.07,0.24,0.04,0.03,0.2,0.02,0.13,0.04,0.02
GTR+G+I,27,2631.57166782209,2474.06443800739,-1209.73598075918,0.611928576737482,2.43769067323422,2.52777272805353,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.06,0.02,0.11,0.07,0.26,0.04,0.02,0.22,0.02,0.12,0.04,0.02
GTR+G,26,2632.69586991351,2481.0016495333,-1214.22585414385,n/a,0.191538134006309,2.63127200182728,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.06,0.02,0.11,0.07,0.27,0.04,0.02,0.22,0.02,0.13,0.03,0.02
JC+I,18,2657.27157653315,2552.1388555013,-1257.93588616533,0.641314955403986,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,2664.43473296684,2553.47625908644,-1257.58969204322,0.631691074398147,7.59472144697084,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,2665.26931748335,2560.13659645151,-1261.93475664044,n/a,0.195978382944929,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,2787.63527212465,2682.50255109281,-1323.11773396109,n/a,n/a,1.69739335858637,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93,22,2795.37895944649,2666.95275283269,-1311.27848826617,n/a,n/a,1.71644902732743,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.04,0.05,0.09,0.05,0.25,0.05,0.05,0.2,0.05,0.1,0.04,0.05
T92,19,2796.49586440928,2685.53739052888,-1323.62025776444,n/a,n/a,1.69839707281773,0.244186046511628,0.244186046511628,0.255813953488372,0.255813953488372,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,2814.67547852525,2692.07025999191,-1324.85452014451,n/a,n/a,1.69754999247612,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.04,0.05,0.16,0.05,0.16,0.05,0.05,0.13,0.05,0.17,0.04,0.05
GTR,25,2815.67935059981,2669.79973913352,-1309.64536682596,n/a,n/a,1.71518804863181,0.274806201550388,0.213565891472868,0.26046511627907,0.251162790697674,0.05,0.04,0.09,0.07,0.25,0.05,0.04,0.2,0.04,0.1,0.04,0.04
JC,17,2846.32130006647,2747.01591642013,-1356.38852027095,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
