Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,14207.3933507563,14057.8508405743,-7007.87502761697,0.288034851270599,1.48791300397141,1.60984519315151,0.211207834602829,0.211207834602829,0.288792165397171,0.288792165397171,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G+I,24,14216.572209462,14045.6822331905,-6998.77565014682,0.294803356315635,1.55319779430178,1.67504123785919,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.18,0.06,0.1,0.04,0.05
T92+G,20,14219.5187682217,14077.0929569586,-7018.50067195733,n/a,0.473075545285741,1.7184626915042,0.211207834602829,0.211207834602829,0.288792165397171,0.288792165397171,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+G+I,23,14229.6918028643,14065.9172100345,-7009.89838245563,0.283593605216098,1.43039246861138,1.61110878215658,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.13,0.06,0.13,0.04,0.05
TN93+G,23,14231.7950654227,14068.020472593,-7010.95001373484,n/a,0.464310880742066,1.78177271337946,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.04,0.05,0.15,0.04,0.22,0.06,0.04,0.18,0.06,0.1,0.04,0.05
GTR+G+I,27,14232.6903158796,14040.4568225347,-6993.14589653256,0.285282486856736,1.41295787716032,1.68963859957381,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.03,0.07,0.15,0.03,0.22,0.04,0.05,0.18,0.06,0.1,0.03,0.05
HKY+G,22,14240.4218096269,14083.7630388748,-7019.82632144459,n/a,0.472068348531864,1.71928328347255,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.14,0.06,0.13,0.04,0.05
GTR+G,26,14243.5832721539,14058.4638454811,-7003.1553102774,n/a,0.456957741855718,1.78885599786036,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.03,0.07,0.15,0.03,0.22,0.04,0.06,0.18,0.06,0.1,0.03,0.05
T92+I,20,14269.4653524841,14127.0395412211,-7043.47396408857,0.358143892499762,n/a,1.37226914458847,0.211207834602829,0.211207834602829,0.288792165397171,0.288792165397171,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+I,23,14277.5202986529,14113.7457058231,-7033.81263034992,0.357223810950617,n/a,1.40598815929276,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.04,0.05,0.14,0.04,0.2,0.06,0.04,0.16,0.06,0.09,0.04,0.05
K2+G+I,20,14278.2922170841,14135.866405821,-7047.88739638855,0.2913959644457,1.7178657265593,1.46889758501087,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,14292.80063474,14157.4919606014,-7059.70454082415,n/a,0.512947491040924,1.55905333793651,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,14294.9293388022,14138.2705680501,-7047.08008603226,0.357679173495478,n/a,1.3601683752067,0.207725788900979,0.214689880304679,0.264526659412405,0.313057671381937,0.04,0.06,0.18,0.04,0.15,0.07,0.04,0.12,0.07,0.12,0.04,0.06
