Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,7471.00996395023,7322.23623239459,-3638.00277979947,n/a,0.67281645702352,1.35651254413581,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.05,0.1,0.06,0.24,0.06,0.06,0.15,0.06,0.1,0.03,0.05
TN93+G+I,24,7476.99499795796,7321.76292494262,-3636.75607062178,0.15290618536297,1.14408823848613,1.34373745401294,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.05,0.1,0.06,0.24,0.06,0.06,0.15,0.06,0.1,0.03,0.05
GTR+G,26,7493.81692054329,7325.67069872218,-3636.68857955135,n/a,0.666251616288508,1.35189902254784,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.06,0.1,0.06,0.24,0.04,0.07,0.15,0.07,0.1,0.02,0.05
T92+G,20,7495.54358705664,7366.14994175748,-3662.98726989732,n/a,0.640430143684112,1.32453648490359,0.225883575883576,0.225883575883576,0.274116424116424,0.274116424116424,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G,19,7498.809234397,7375.8773033812,-3668.85931974905,n/a,0.646431836259423,1.30888103132186,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G+I,27,7500.45555041124,7325.85352230391,-3635.76866830377,0.137563085341442,1.05222785881462,1.34369655644491,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.06,0.1,0.06,0.24,0.05,0.07,0.15,0.07,0.1,0.02,0.05
T92+G+I,21,7503.71560065443,7367.86108348548,-3662.83405051467,0.0720375302771555,0.78187738243406,1.32050185517679,0.225883575883576,0.225883575883576,0.274116424116424,0.274116424116424,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+G+I,20,7506.95551343712,7377.56186813795,-3668.69323308756,0.0756858975933156,0.798900714632187,1.30454754566188,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+G,22,7509.00186621388,7366.68732011664,-3661.23795711284,n/a,0.640879673761643,1.37894029426348,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.05,0.17,0.06,0.14,0.07,0.06,0.09,0.07,0.17,0.03,0.05
TN93+I,23,7513.37562450197,7364.60189294633,-3659.18561007534,0.293308161943702,n/a,1.21816364531288,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.05,0.1,0.07,0.22,0.07,0.07,0.14,0.07,0.1,0.03,0.05
HKY+G+I,23,7516.51059465221,7367.73686309657,-3660.75309515046,0.114420887561808,0.902668542784052,1.37018267069163,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.05,0.17,0.07,0.14,0.07,0.07,0.09,0.07,0.17,0.03,0.05
GTR+I,26,7538.73923988052,7370.59301805941,-3659.14973921996,0.293309208402781,n/a,1.21853456984677,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.03,0.05,0.1,0.07,0.22,0.06,0.07,0.14,0.07,0.1,0.03,0.06
T92+I,20,7557.17275783609,7427.77911253692,-3693.80185528705,0.30298927330432,n/a,1.18216961636259,0.225883575883576,0.225883575883576,0.274116424116424,0.274116424116424,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2+I,19,7558.41214911052,7435.48021809471,-3698.66077710581,0.303430057540758,n/a,1.17538272444334,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY+I,22,7562.28078648387,7419.96624038662,-3687.87741724783,0.304179293344764,n/a,1.20728495397427,0.297920997920998,0.153846153846154,0.246985446985447,0.301247401247401,0.04,0.06,0.16,0.07,0.13,0.07,0.07,0.08,0.07,0.16,0.04,0.06
JC+G,18,7588.4409113992,7471.97153655282,-3717.9143844317,n/a,0.686572261492297,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,7596.61030963412,7473.67837861831,-3717.75985736761,0.0754593652475306,0.852694626174755,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7643.23226720446,7526.76289235808,-3745.31006233433,0.301031838538909,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
