Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,20216.7119171984,20013.5643883005,-9979.7270599612,0.337697989660693,1.97794427769546,1.58927123374258,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.03,0.07,0.13,0.02,0.21,0.03,0.06,0.18,0.07,0.1,0.03,0.07
TN93+G+I,24,20232.0860258644,20051.4999237287,-10001.7062141429,0.351604444975733,2.27318139323948,1.5839394016633,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.04,0.05,0.13,0.04,0.21,0.05,0.04,0.18,0.05,0.1,0.04,0.05
T92+G+I,21,20233.6653863985,20075.6433452748,-10016.7879942586,0.354562526263359,2.38607518100081,1.5194416497854,0.227183406113537,0.227183406113537,0.272816593886463,0.272816593886463,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,20258.1966932112,20085.1316521371,-10019.5255810992,0.353767999251519,2.35901449376595,1.52100209070998,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.05,0.17,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.05,0.05
GTR+I,26,20277.5898324467,20081.9624863351,-10014.9300508683,0.393940360990313,n/a,1.42184997918764,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.03,0.07,0.13,0.03,0.19,0.04,0.06,0.17,0.08,0.1,0.04,0.07
TN93+G,23,20280.6584849295,20107.5934438554,-10030.7564769583,n/a,0.465406426679217,1.72223593907848,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.04,0.05,0.12,0.04,0.22,0.05,0.04,0.19,0.05,0.1,0.04,0.05
GTR+G,26,20281.4770044018,20085.8496582902,-10016.8736368458,n/a,0.491094730356306,1.45981367697536,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.07,0.14,0.05,0.19,0.03,0.06,0.17,0.07,0.11,0.02,0.07
T92+I,20,20282.5266736603,20132.0265712973,-10045.9826711724,0.397663952009479,n/a,1.38172915575814,0.227183406113537,0.227183406113537,0.272816593886463,0.272816593886463,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
T92+G,20,20283.1288819049,20132.6287795419,-10046.2837752947,n/a,0.476611211620151,1.63237700268586,0.227183406113537,0.227183406113537,0.272816593886463,0.272816593886463,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,20284.9181795131,20111.853138439,-10032.8863242501,0.3962164612343,n/a,1.40430854195201,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.05,0.13,0.05,0.19,0.06,0.05,0.17,0.06,0.1,0.05,0.05
HKY+G,22,20306.8594896374,20141.3158022553,-10048.6210125952,n/a,0.476422645372059,1.63411373149999,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.14,0.04,0.05
HKY+I,22,20307.9717525964,20142.4280652143,-10049.1771440747,0.397511423769176,n/a,1.38098425676586,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.14,0.06,0.13,0.05,0.06
K2+G+I,20,20308.2875300159,20157.7874276529,-10058.8630993502,0.352499972976731,2.5522051357379,1.44373711851651,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,20351.4259537736,20208.4480826098,-10085.1963445119,0.395553754734177,n/a,1.32935946353496,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,20358.1920984104,20215.2142272466,-10088.5794168303,n/a,0.503762588044219,1.54043309257943,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,20644.2442879551,20501.2664167914,-10231.6055116027,0.357952032621798,3.39142997836688,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,20670.9482547743,20535.4929071843,-10249.7215282951,0.393078302684358,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,20705.270032813,20569.814685223,-10266.8824173145,n/a,0.558868150580515,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,21254.4108634605,21066.3039929576,-10508.104599658,n/a,n/a,1.01295064228311,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.07,0.13,0.05,0.15,0.04,0.06,0.13,0.1,0.1,0.04,0.09
T92,19,21290.8708602133,21147.8929890496,-10554.9187977318,n/a,n/a,1.16143731547631,0.227183406113537,0.227183406113537,0.272816593886463,0.272816593886463,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93,22,21294.9770045544,21129.4333171723,-10542.6797700537,n/a,n/a,1.16596037250311,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.06,0.13,0.05,0.17,0.06,0.05,0.15,0.06,0.1,0.05,0.06
K2,18,21309.0730838062,21173.6177362162,-10568.7839428111,n/a,n/a,1.15536502622838,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY,21,21313.9157099962,21155.8936688724,-10556.9131560574,n/a,n/a,1.16219718136975,0.221251819505095,0.23311499272198,0.265356622998544,0.280276564774381,0.05,0.06,0.15,0.05,0.14,0.06,0.05,0.13,0.06,0.12,0.05,0.06
JC,17,21588.8487093248,21460.9161776192,-10713.4357888533,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
