Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,10328.4059708829,10156.4628561947,-5054.16876491198,0.429613874925058,0.730149589510847,2.49797222011241,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.04,0.04,0.15,0.03,0.24,0.04,0.03,0.23,0.04,0.09,0.04,0.04
HKY+G+I,23,10331.4060874561,10166.6224529951,-5060.25358238729,0.431832713933633,0.741055241369374,2.3682274160869,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.04,0.04,0.21,0.03,0.19,0.04,0.03,0.19,0.04,0.12,0.04,0.04
TN93+G,23,10333.5328694087,10168.7492349477,-5061.31697336359,n/a,0.248585878299965,2.44779735494079,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.04,0.04,0.15,0.03,0.24,0.04,0.03,0.23,0.04,0.09,0.04,0.04
HKY+G,22,10335.6046093816,10177.9808749115,-5066.93760253878,n/a,0.248812357539638,2.33665187332233,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.04,0.04,0.2,0.03,0.19,0.04,0.03,0.19,0.04,0.12,0.04,0.04
GTR+G+I,27,10338.4959297998,10145.0768943273,-5045.45946680425,0.410694256290087,0.700108002676274,2.50444638980124,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.02,0.05,0.15,0.01,0.24,0.02,0.03,0.23,0.06,0.09,0.02,0.06
GTR+G,26,10340.321895111,10154.0610797854,-5050.95720864857,n/a,0.255595580831331,2.45187927433507,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.02,0.05,0.15,0.01,0.24,0.02,0.03,0.23,0.06,0.09,0.02,0.06
T92+G+I,21,10349.75791926,10199.294504413,-5078.59901666673,0.457783025643653,0.8486178617484,2.41043586009689,0.21984375,0.21984375,0.28015625,0.28015625,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,10355.4388607042,10212.136184981,-5086.02424657754,n/a,0.246508307493102,2.38416830803907,0.21984375,0.21984375,0.28015625,0.28015625,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+I,23,10383.5700764184,10218.7864419575,-5086.33557686848,0.570482328996648,n/a,1.90042372959886,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.05,0.05,0.16,0.03,0.21,0.05,0.03,0.2,0.05,0.09,0.05,0.05
HKY+I,22,10383.7260703836,10226.1023359135,-5090.99833303978,0.572289547728388,n/a,1.87981235009727,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.05,0.05,0.19,0.03,0.18,0.05,0.03,0.17,0.05,0.12,0.05,0.05
T92+I,20,10394.5569202946,10251.2542445713,-5105.58327637274,0.575187180324238,n/a,1.94900951555697,0.21984375,0.21984375,0.28015625,0.28015625,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+I,26,10394.8495203629,10208.5887050373,-5078.22102127454,0.56799325598884,n/a,1.95595771758207,0.176041666666667,0.263645833333333,0.270208333333333,0.290104166666667,0.03,0.05,0.16,0.02,0.21,0.04,0.03,0.2,0.07,0.1,0.03,0.07
K2+G+I,20,10405.8521606465,10262.5494849233,-5111.23089654871,0.467619512223479,1.02175709556611,2.16518472612108,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,10409.1587890884,10273.0172718583,-5117.46896995837,n/a,0.262160240382252,2.15778649569705,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,10441.5744174844,10305.4329002542,-5133.67678415635,0.572390952247645,n/a,1.83896007921381,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,10692.0662793776,10555.9247621475,-5258.92271510296,0.509528097248478,1.99651331766466,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
