Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,10219.6463392462,10049.8303676273,-5000.84672973493,0.44453915098411,1.12036144433141,1.95083880082568,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.04,0.05,0.14,0.03,0.24,0.05,0.03,0.2,0.05,0.08,0.04,0.05
GTR+G+I,27,10225.1309537725,10034.1065273659,-4989.9669820121,0.448463711622239,1.22930765196919,1.93031123233834,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.02,0.05,0.14,0.01,0.24,0.04,0.03,0.21,0.08,0.08,0.03,0.07
TN93+G,23,10226.3314692341,10063.5859005847,-5008.72997972426,n/a,0.284700100998962,1.97239429296854,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.04,0.05,0.14,0.03,0.24,0.05,0.03,0.2,0.05,0.09,0.04,0.05
HKY+G+I,23,10226.8393031963,10064.0937345469,-5008.98389670533,0.439286656777668,1.0990565961263,1.82579889043785,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.04,0.05,0.19,0.03,0.18,0.05,0.03,0.16,0.05,0.12,0.04,0.05
HKY+G,22,10231.6123837109,10075.9376767892,-5015.91112195797,n/a,0.29045004890704,1.83948543624397,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.04,0.05,0.19,0.03,0.18,0.05,0.03,0.16,0.05,0.12,0.04,0.05
T92+G+I,21,10236.5981191431,10087.9947325505,-5022.9446746694,0.450367450893164,1.21358322537523,1.80532489912123,0.211945392491468,0.211945392491468,0.288054607508532,0.288054607508532,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,10242.3209504033,10100.7893425842,-5030.34677529484,n/a,0.292070441638804,1.82463185476676,0.211945392491468,0.211945392491468,0.288054607508532,0.288054607508532,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,10246.0085432403,10062.0531425857,-5004.94646174131,n/a,0.301134086706423,1.67230404125869,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.05,0.05,0.15,0.04,0.21,0.03,0.03,0.18,0.08,0.09,0.03,0.07
TN93+I,23,10261.940472253,10099.1949036035,-5026.53448123367,0.534460035800913,n/a,1.61017473772143,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.05,0.05,0.14,0.03,0.21,0.06,0.03,0.18,0.06,0.09,0.05,0.05
GTR+I,26,10262.4102807221,10078.4548800675,-5013.14733048224,0.533788787522424,n/a,1.65311453255495,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.02,0.05,0.14,0.02,0.22,0.05,0.03,0.19,0.08,0.09,0.04,0.08
HKY+I,22,10269.5586863509,10113.8839794292,-5034.88427327795,0.535497577095406,n/a,1.55605054234062,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.05,0.05,0.18,0.03,0.17,0.06,0.03,0.15,0.06,0.11,0.05,0.05
T92+I,20,10274.1909064943,10132.6592986752,-5046.28175334034,0.536209096774766,n/a,1.55871322809066,0.211945392491468,0.211945392491468,0.288054607508532,0.288054607508532,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
K2+G+I,20,10308.1562887699,10166.6246809509,-5063.26444447817,0.462695882488663,1.58355484477635,1.60465394111756,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,10314.7668483036,10180.3074775457,-5071.11040924037,n/a,0.314835760413533,1.63360815884148,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,10333.4940500354,10199.0346792775,-5080.47401010627,0.53350249114264,n/a,1.46321678103275,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,10494.6440437687,10360.1846730108,-5161.04900697289,0.475443419562377,2.15823680992987,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10503.0321610635,10375.6454854976,-5169.78375061565,n/a,0.337483174017777,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10510.2371582645,10382.8504826986,-5173.38624921613,0.531023260788869,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,10915.5073728231,10738.6214571501,-5344.23656152804,n/a,n/a,1.11195485841156,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.05,0.06,0.15,0.04,0.16,0.05,0.04,0.14,0.1,0.09,0.04,0.09
HKY,21,10920.5336572412,10771.9302706486,-5364.91244371845,n/a,n/a,1.25953531258085,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.14,0.06,0.1,0.05,0.06
TN93,22,10921.9759235966,10766.3012166749,-5361.09289190082,n/a,n/a,1.26429678117163,0.181569965870307,0.242320819112628,0.280204778156997,0.295904436860068,0.05,0.06,0.14,0.04,0.18,0.06,0.04,0.15,0.06,0.09,0.05,0.06
T92,19,10929.2350048133,10794.7756340554,-5378.34448749519,n/a,n/a,1.25724712248887,0.211945392491468,0.211945392491468,0.288054607508532,0.288054607508532,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2,18,10948.305210526,10820.9185349601,-5392.42027534687,n/a,n/a,1.24963197064211,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,11103.4709563083,10983.1574339086,-5474.54383323336,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
