Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,8266.60740201989,8100.05116647988,-4025.94720309624,0.485013029997289,1.23113378514704,2.38672506751247,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.03,0.04,0.1,0.04,0.27,0.04,0.04,0.24,0.04,0.09,0.03,0.04
TN93+G,23,8271.50733490385,8111.88491452955,-4032.87035695129,n/a,0.261367500053214,2.58618467255413,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.03,0.04,0.09,0.03,0.29,0.04,0.03,0.25,0.04,0.08,0.03,0.04
T92+G+I,21,8271.62122346365,8125.86801024996,-4041.87367605734,0.534260091711294,1.92609390127193,2.22798088730121,0.2353515625,0.2353515625,0.2646484375,0.2646484375,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G+I,27,8274.32399894696,8086.96947404103,-4016.38593932057,0.493336494085508,1.45104984488644,2.36473182654651,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.02,0.02,0.1,0.02,0.27,0.04,0.02,0.24,0.06,0.09,0.03,0.06
K2+G+I,20,8276.58089323445,8137.7630716039,-4048.82669835581,0.534217667536416,2.04415578286187,2.15394054450839,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G,26,8279.41151826045,8098.98923024842,-4023.40288639038,n/a,0.272275830643666,2.540686450666,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.02,0.02,0.1,0.02,0.29,0.04,0.02,0.25,0.06,0.09,0.03,0.06
T92+G,20,8281.8294957909,8143.01167416035,-4051.45099963403,n/a,0.260329709244388,2.27137761696311,0.2353515625,0.2353515625,0.2646484375,0.2646484375,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,8282.61662994804,8143.79880831749,-4051.8445667126,0.582695687637056,n/a,2.01221375135049,0.2353515625,0.2353515625,0.2646484375,0.2646484375,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,8286.37761864055,8154.49571365404,-4058.19824847193,n/a,0.265959133395901,2.19857732132882,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,8286.38437797877,8126.76195760447,-4040.30887848875,0.574080092487835,n/a,1.96984376239871,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.04,0.04,0.12,0.04,0.23,0.04,0.04,0.2,0.04,0.11,0.04,0.04
K2+I,19,8286.38891628874,8154.50701130223,-4058.20389729603,0.581453219040504,n/a,1.96856087275072,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,8290.32040829005,8109.89812027802,-4028.85733140518,0.570590754731709,n/a,2.01600925380294,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.03,0.03,0.12,0.03,0.24,0.05,0.02,0.21,0.07,0.11,0.04,0.07
HKY+G+I,23,8294.02926911358,8134.40684873928,-4044.13132405616,0.535074508530139,1.94736014243813,2.24233818392033,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.17,0.04,0.04
HKY+G,22,8304.3604488541,8151.67236932388,-4053.77010133949,n/a,0.26001865224943,2.28639476701474,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.03,0.04,0.19,0.04,0.18,0.04,0.04,0.16,0.04,0.17,0.03,0.04
HKY+I,22,8304.79456840199,8152.10648887177,-4053.98716111344,0.582787858771039,n/a,2.02565360674952,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.16,0.04,0.04
JC+G+I,19,8520.4517004743,8388.56979548779,-4175.23528938881,0.549914948890753,3.60024989096207,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8521.27252962557,8396.32706613839,-4180.11889137751,0.578169438100718,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8533.14202902637,8408.19656553919,-4186.05364107791,n/a,0.289196726121826,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,8799.64157698981,8626.15205216852,-4287.99110316814,n/a,n/a,1.44653150243627,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.04,0.03,0.1,0.04,0.22,0.05,0.03,0.19,0.08,0.09,0.04,0.08
TN93,22,8801.72905733132,8649.0409778011,-4302.4544055781,n/a,n/a,1.65164733071369,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.04,0.05,0.1,0.05,0.23,0.05,0.05,0.2,0.05,0.09,0.04,0.05
K2,18,8831.33856120269,8706.39309771551,-4335.15190716607,n/a,n/a,1.62837029797324,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,8839.41463072071,8707.5327257342,-4334.71675451201,n/a,n/a,1.62987086903657,0.2353515625,0.2353515625,0.2646484375,0.2646484375,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY,21,8862.35840693224,8716.60519371855,-4337.24226779163,n/a,n/a,1.62950396283449,0.241276041666667,0.229427083333333,0.262760416666667,0.266536458333333,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.14,0.05,0.15,0.04,0.05
JC,17,9040.26539836722,8922.25690102915,-4444.08851316141,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
