Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2943.80283927329,2836.54936093139,-1399.09458567896,n/a,0.404705490182193,1.55665697225874,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,2946.09452370976,2833.21527156556,-1396.40848926784,n/a,0.392524201639647,1.62518799030876,0.225821596244131,0.225821596244131,0.274178403755869,0.274178403755869,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G+I,20,2948.21663502847,2835.33738288427,-1397.4695449272,0.365212232785911,1.39356138190493,1.51585734464427,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,2950.25193315155,2831.74884088956,-1394.65525535939,0.36970984265849,1.37378280641633,1.58103751823172,0.225821596244131,0.225821596244131,0.274178403755869,0.274178403755869,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+I,19,2953.19005348112,2845.93657513921,-1403.78819278288,0.457326909831007,n/a,1.35266079338205,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+I,20,2955.43247885486,2842.55322671066,-1401.0774668404,0.458874618879646,n/a,1.39978429192414,0.225821596244131,0.225821596244131,0.274178403755869,0.274178403755869,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93+G,23,2965.14018777579,2835.39522734983,-1394.43550541281,n/a,0.430251192869514,1.61433779209446,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.04,0.04,0.12,0.04,0.21,0.06,0.04,0.2,0.06,0.09,0.04,0.04
HKY+G,22,2967.26635827649,2843.14136233442,-1399.33052929251,n/a,0.398704726353627,1.68966971229224,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.04,0.04,0.2,0.04,0.14,0.06,0.04,0.14,0.06,0.15,0.04,0.04
TN93+G+I,24,2969.58937426506,2834.22639131508,-1392.82816002809,0.342539857989391,1.3384569388729,1.56315991267067,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.04,0.04,0.13,0.04,0.2,0.06,0.04,0.19,0.06,0.09,0.04,0.04
HKY+G+I,23,2971.45346108406,2841.7085006581,-1397.59214206694,0.367218488812824,1.38146570317398,1.64489510388141,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.04,0.04,0.2,0.04,0.14,0.06,0.04,0.14,0.06,0.14,0.04,0.04
TN93+I,23,2975.08897853781,2845.34401811185,-1399.40990079382,0.447564173690157,n/a,1.38670871641233,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.05,0.05,0.13,0.05,0.18,0.07,0.05,0.17,0.07,0.1,0.05,0.05
HKY+I,22,2977.0927438955,2852.96774795343,-1404.24372210201,0.457264600798949,n/a,1.44287154787483,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.04,0.05,0.19,0.05,0.14,0.07,0.05,0.13,0.07,0.14,0.04,0.05
GTR+G,26,2979.79134427845,2833.19815324118,-1390.26526777608,n/a,0.438472796385582,1.60792139254415,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.06,0.05,0.13,0.06,0.21,0.02,0.05,0.2,0.08,0.09,0.01,0.05
GTR+G+I,27,2984.90407756858,2832.69870652175,-1388.9896957918,0.317359686016826,1.17152162143506,1.56965432133647,0.233802816901408,0.217840375586854,0.229577464788732,0.318779342723005,0.06,0.05,0.13,0.07,0.2,0.02,0.05,0.19,0.07,0.09,0.01,0.05
