Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,5256.42864475881,5127.58787318147,-2543.70378849029,n/a,0.272088776462405,1.89526121728653,0.186431623931624,0.186431623931624,0.313568376068376,0.313568376068376,0.03,0.05,0.21,0.03,0.21,0.05,0.03,0.12,0.05,0.12,0.03,0.05
T92+G+I,21,5260.32782821521,5125.05407544652,-2541.42785352403,0.436110196872354,0.945699033967811,1.89664669936032,0.186431623931624,0.186431623931624,0.313568376068376,0.313568376068376,0.03,0.05,0.21,0.03,0.21,0.05,0.03,0.12,0.05,0.12,0.03,0.05
TN93+G,23,5264.19527232398,5116.05815778107,-2534.91052218951,n/a,0.269413813446388,2.12379418358392,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.03,0.05,0.12,0.03,0.32,0.05,0.03,0.19,0.05,0.07,0.03,0.05
TN93+G+I,24,5265.93174682911,5111.36425282068,-2531.55323274761,0.41421276192377,0.811560609145582,2.13343938923868,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.03,0.05,0.12,0.03,0.32,0.05,0.03,0.19,0.05,0.07,0.03,0.05
HKY+G,22,5278.7117392061,5137.00587192941,-2546.39428232502,n/a,0.271652714871205,1.91536199162179,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.03,0.05,0.22,0.03,0.2,0.05,0.03,0.12,0.05,0.13,0.03,0.05
T92+I,20,5280.5224676734,5151.68169609607,-2555.75069994758,0.552186169785004,n/a,1.61420738710284,0.186431623931624,0.186431623931624,0.313568376068376,0.313568376068376,0.03,0.06,0.2,0.03,0.2,0.06,0.03,0.12,0.06,0.12,0.03,0.06
GTR+G,26,5282.00683020209,5114.58118290276,-2531.13972104519,n/a,0.273709485144615,2.02669102809996,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.02,0.07,0.12,0.02,0.31,0.03,0.05,0.19,0.05,0.07,0.02,0.05
HKY+G+I,23,5282.65186098069,5134.51474643778,-2544.13881651786,0.435733825031946,0.941405817563139,1.91500648518097,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.03,0.05,0.22,0.03,0.2,0.05,0.03,0.12,0.05,0.13,0.03,0.05
GTR+G+I,27,5283.63152227837,5109.77810227389,-2527.72654038888,0.420499296901155,0.858910528882996,2.0416359343157,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.02,0.07,0.12,0.02,0.31,0.03,0.05,0.19,0.05,0.07,0.02,0.05
TN93+I,23,5291.08186304685,5142.94474850394,-2548.35381755094,0.547318546850824,n/a,1.64829886258236,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.03,0.05,0.14,0.03,0.26,0.06,0.03,0.16,0.06,0.08,0.03,0.05
HKY+I,22,5303.06251087716,5161.35664360047,-2558.56966816055,0.552148438097032,n/a,1.62202837850316,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.03,0.05,0.21,0.04,0.19,0.06,0.04,0.11,0.06,0.12,0.03,0.05
K2+G,19,5310.78117727173,5188.37425301116,-2575.1055814412,n/a,0.291768925024,1.65483770234549,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
GTR+I,26,5313.54025099127,5146.11460369195,-2546.90643143979,0.548585512788915,n/a,1.41859188327093,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.02,0.08,0.14,0.02,0.24,0.06,0.05,0.14,0.07,0.08,0.04,0.06
K2+G+I,20,5314.03799468188,5185.19722310455,-2572.50846345182,0.472324640251352,1.41735928895811,1.64402288965336,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,5323.78742218082,5201.38049792025,-2581.60870389575,0.552712655388489,n/a,1.50710513875556,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G,18,5403.9489921716,5287.97678079574,-2625.9150155856,n/a,0.306472083664493,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5407.67054796238,5285.26362370181,-2623.55026678653,0.482084261738247,1.78050158492613,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5412.99885733475,5297.02664595888,-2630.43994816717,0.549877593216017,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,5615.60249713044,5493.19557286987,-2727.51624137056,n/a,n/a,1.28806941046288,0.186431623931624,0.186431623931624,0.313568376068376,0.313568376068376,0.04,0.07,0.18,0.04,0.18,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93,22,5623.21093156469,5481.505064288,-2718.64387850432,n/a,n/a,1.29291342438716,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.04,0.06,0.13,0.04,0.23,0.07,0.04,0.14,0.07,0.08,0.04,0.06
GTR,25,5633.48519740214,5472.48819228828,-2711.10443133967,n/a,n/a,1.29113891867974,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.02,0.08,0.13,0.02,0.24,0.04,0.05,0.14,0.08,0.08,0.02,0.08
HKY,21,5637.85625129119,5502.5824985225,-2730.19206506202,n/a,n/a,1.2858601867417,0.191880341880342,0.180982905982906,0.3,0.327136752136752,0.04,0.06,0.19,0.04,0.17,0.07,0.04,0.1,0.07,0.11,0.04,0.06
K2,18,5641.94712729442,5525.97491591855,-2744.914083147,n/a,n/a,1.26486498191244,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,5718.20876522893,5608.6721317487,-2787.27042880871,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
