Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,11358.0046011341,11209.8624514237,-5583.87736700351,0.391654394611444,1.96768506745482,1.57798131733806,0.195697674418605,0.195697674418605,0.304302325581395,0.304302325581395,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,11374.7597431352,11233.6673070001,-5596.78469674517,n/a,0.422113631142415,1.64698348683535,0.195697674418605,0.195697674418605,0.304302325581395,0.304302325581395,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G+I,24,11376.3974387929,11207.1089609101,-5579.48450960957,0.383087746866358,1.78669136405368,1.62890390119265,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.05,0.15,0.04,0.23,0.06,0.04,0.16,0.06,0.09,0.04,0.05
HKY+G+I,23,11383.732992419,11221.4928216707,-5587.68204516371,0.388551471059095,1.89896408119731,1.58144782887747,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.05
T92+I,20,11383.938497925,11242.8460617899,-5601.37407414006,0.450317049562566,n/a,1.42791594473695,0.195697674418605,0.195697674418605,0.304302325581395,0.304302325581395,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G+I,27,11389.376990323,11198.9464065433,-5572.38500915124,0.369656376099779,1.61252931773246,1.63462836317095,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.02,0.07,0.15,0.02,0.23,0.04,0.05,0.16,0.07,0.09,0.03,0.06
TN93+G,23,11390.3114069657,11228.0712362174,-5590.97125243705,n/a,0.412307039573824,1.72406163716754,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.03,0.05,0.15,0.03,0.24,0.06,0.03,0.17,0.06,0.09,0.03,0.05
GTR+G,26,11399.1844893484,11215.8008047856,-5581.81851740504,n/a,0.421568121183638,1.69121965158293,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.02,0.07,0.15,0.02,0.24,0.04,0.05,0.16,0.07,0.09,0.02,0.06
HKY+G,22,11399.4801716033,11244.2887769671,-5600.08539349697,n/a,0.421649388603379,1.65035720940411,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.05
TN93+I,23,11406.2704425153,11244.030271767,-5598.95077021187,0.448422938749359,n/a,1.43946546515491,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.06,0.15,0.04,0.21,0.06,0.04,0.14,0.06,0.1,0.04,0.06
HKY+I,22,11411.113309879,11255.9219152429,-5605.90196263487,0.449890066022471,n/a,1.42441719630776,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.06,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+I,26,11421.8544277547,11238.470743192,-5593.15348660823,0.447478498839203,n/a,1.46171496916171,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.02,0.07,0.16,0.02,0.21,0.05,0.05,0.14,0.07,0.1,0.03,0.07
K2+G+I,20,11480.8875762555,11339.7951401204,-5649.84861330535,0.391348807739236,2.40494676418037,1.38113728874695,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,11496.9526888518,11362.9104347778,-5662.41092834462,n/a,0.470409150530138,1.42325981671564,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,11497.9837295033,11363.9414754293,-5662.92644867037,0.446419984805336,n/a,1.30224012078732,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G+I,19,11655.062269408,11521.020015334,-5741.46571862271,0.398906836489679,3.05871250155119,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,11665.1591796819,11538.167575991,-5751.04393250079,0.44437297467,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,11674.1313178939,11547.139714203,-5755.53000160679,n/a,0.499462335383025,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,11965.9247155523,11831.8824614782,-5896.89694169483,n/a,n/a,1.18210485202477,0.195697674418605,0.195697674418605,0.304302325581395,0.304302325581395,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
GTR,25,11986.0966710643,11809.7603551886,-5879.80436700413,n/a,n/a,1.05826204306262,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.08,0.15,0.04,0.17,0.05,0.05,0.12,0.09,0.09,0.03,0.09
TN93,22,11986.4486493652,11831.2572547291,-5893.56963237796,n/a,n/a,1.18436313170312,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.06,0.15,0.04,0.19,0.07,0.04,0.13,0.07,0.09,0.04,0.06
HKY,21,11989.4619592593,11841.3198095489,-5899.60604606613,n/a,n/a,1.18142301721796,0.194767441860465,0.196627906976744,0.291395348837209,0.317209302325581,0.04,0.07,0.18,0.04,0.16,0.07,0.04,0.11,0.07,0.11,0.04,0.07
K2,18,12020.1611220965,11893.1695184055,-5928.54490370806,n/a,n/a,1.16242526800542,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,12171.7755563046,12051.835071155,-6008.88187955324,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
