Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,6724.10027635122,6588.28986757053,-3273.0482406082,0.366073191490703,1.34036133777251,1.67048819286283,0.219375,0.219375,0.280625,0.280625,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,6726.26014356848,6596.90848861989,-3278.36635981528,n/a,0.374212942126723,1.76372386594479,0.219375,0.219375,0.280625,0.280625,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,6740.77327316763,6592.04789141791,-3272.90836781951,0.36907762596113,1.37143389631506,1.69790383800453,0.245625,0.193125,0.269583333333333,0.291666666666667,0.04,0.05,0.18,0.05,0.17,0.05,0.05,0.12,0.05,0.15,0.04,0.05
TN93+G+I,24,6741.05604023635,6585.87444041137,-3268.81156575542,0.366329441523177,1.36043669727207,1.70238732172156,0.245625,0.193125,0.269583333333333,0.291666666666667,0.04,0.05,0.14,0.04,0.22,0.05,0.04,0.16,0.05,0.12,0.04,0.05
GTR+G+I,27,6741.95530441799,6567.41013038344,-3256.5466410509,0.373457364881527,1.64451174972965,1.6065354023676,0.245625,0.193125,0.269583333333333,0.291666666666667,0.01,0.05,0.15,0.01,0.21,0.05,0.05,0.15,0.09,0.12,0.03,0.08
HKY+G,22,6743.44077477137,6601.17245688011,-3278.48030421983,n/a,0.374329339127181,1.79555655132611,0.245625,0.193125,0.269583333333333,0.291666666666667,0.03,0.05,0.19,0.04,0.17,0.05,0.04,0.12,0.05,0.16,0.03,0.05
TN93+G,23,6743.725463138,6595.00008138829,-3274.3844628047,n/a,0.372765538823365,1.81841391059056,0.245625,0.193125,0.269583333333333,0.291666666666667,0.03,0.05,0.14,0.04,0.23,0.05,0.04,0.16,0.05,0.12,0.03,0.05
GTR+G,26,6745.74305658859,6577.65156008903,-3262.67870273465,n/a,0.408348331893074,1.66274602221282,0.245625,0.193125,0.269583333333333,0.291666666666667,0.01,0.05,0.15,0.01,0.22,0.05,0.05,0.16,0.08,0.12,0.03,0.08
T92+I,20,6749.5794063974,6620.22775144881,-3290.02599122974,0.445201930275541,n/a,1.42765279266593,0.219375,0.219375,0.280625,0.280625,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+I,26,6760.8491934017,6592.75769690214,-3270.2317711412,0.441535950062114,n/a,1.45547245776232,0.245625,0.193125,0.269583333333333,0.291666666666667,0.01,0.06,0.15,0.01,0.2,0.06,0.05,0.14,0.09,0.12,0.04,0.08
