Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,6318.63654760763,6178.96503149851,-3068.40199989007,0.515441142682584,1.35594115766602,2.25610596557163,0.199131944444444,0.199131944444444,0.300868055555556,0.300868055555556,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.14,0.04,0.14,0.03,0.04
TN93+G+I,24,6319.9289915715,6160.3296069825,-3056.06018274147,0.459765243603222,0.867225468041889,2.55744224097775,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.04,0.12,0.03,0.31,0.04,0.03,0.22,0.04,0.08,0.03,0.04
TN93+G,23,6319.95428096449,6166.99681624887,-3060.40217381481,n/a,0.22695154720637,2.89753232409162,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.02,0.03,0.11,0.02,0.34,0.04,0.02,0.24,0.04,0.07,0.02,0.03
T92+G,20,6325.17198597477,6192.14449786386,-3075.99906545049,n/a,0.242505894102925,2.32461500444995,0.199131944444444,0.199131944444444,0.300868055555556,0.300868055555556,0.03,0.04,0.21,0.03,0.21,0.04,0.03,0.14,0.04,0.14,0.03,0.04
T92+I,20,6335.08772836339,6202.06024025247,-3080.95693664479,0.576714393380688,n/a,1.88872478373794,0.199131944444444,0.199131944444444,0.300868055555556,0.300868055555556,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
HKY+G+I,23,6337.3588271761,6184.40136246048,-3069.10444692062,0.510200740464142,1.25705969688766,2.31627594251125,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.04,0.23,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.04
HKY+G,22,6343.47875721343,6197.16391544696,-3076.49375831612,n/a,0.240415657026778,2.37775029621329,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.04,0.23,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.04
GTR+G+I,27,6345.19264642851,6165.67172435383,-3055.70397103944,0.467430581482527,0.919491619304547,2.535839102366,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.04,0.12,0.03,0.31,0.05,0.03,0.22,0.04,0.08,0.03,0.03
GTR+G,26,6345.36943042913,6172.48831679238,-3060.1217094166,n/a,0.227382939433709,2.89337447643289,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.02,0.03,0.11,0.02,0.34,0.05,0.02,0.24,0.04,0.07,0.03,0.03
TN93+I,23,6345.94106044743,6192.98359573181,-3073.39556355628,0.571331501860861,n/a,1.89667015641522,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.05,0.15,0.03,0.25,0.05,0.03,0.18,0.05,0.09,0.03,0.05
HKY+I,22,6355.89056937866,6209.5757276122,-3082.69966439874,0.57655783201975,n/a,1.90856835266083,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.05,0.21,0.03,0.19,0.05,0.03,0.13,0.05,0.13,0.03,0.05
K2+G+I,20,6365.85522404479,6232.82773593387,-3096.34068448549,0.507725493025582,1.44753847938479,1.96293949100584,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+I,26,6368.90581002918,6196.02469639243,-3071.88989921662,0.571672290293926,n/a,1.88331226068902,0.198090277777778,0.200173611111111,0.279861111111111,0.321875,0.03,0.04,0.15,0.03,0.25,0.07,0.03,0.18,0.05,0.09,0.04,0.04
K2+G,19,6370.70558494289,6244.32282680397,-3103.09521131139,n/a,0.263190675780851,2.01017931586088,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,6380.27080059962,6253.8880424607,-3107.87781913976,0.574288931807975,n/a,1.71383467348118,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
