Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,25354.7022898092,25166.6444361602,-12559.2901582351,0.364394631585765,1.88625854762641,1.84678048972304,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.05,0.14,0.04,0.25,0.05,0.04,0.17,0.05,0.1,0.03,0.05
T92+G+I,21,25371.0244967191,25206.4671342958,-12582.2088850237,0.366841013457532,1.92924113274102,1.76993012962476,0.202961579509072,0.202961579509072,0.297038420490928,0.297038420490928,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G+I,27,25378.1279591106,25166.5715428664,-12556.2453695521,0.360621257558219,1.8226979075014,1.84083298725803,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.06,0.14,0.03,0.25,0.04,0.04,0.17,0.06,0.1,0.03,0.05
TN93+G,23,25401.0830971672,25220.858526347,-12587.399769692,n/a,0.432126587380307,1.9609067274152,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.05,0.14,0.04,0.26,0.05,0.04,0.17,0.05,0.1,0.03,0.05
HKY+G+I,23,25402.7709132076,25222.5463423874,-12588.2436777122,0.367750295377228,1.94852582839196,1.77666716017979,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.05,0.2,0.04,0.19,0.05,0.04,0.12,0.05,0.14,0.03,0.05
T92+G,20,25416.0934175107,25259.3699805868,-12609.6625531974,n/a,0.436567370724388,1.87167810465846,0.202961579509072,0.202961579509072,0.297038420490928,0.297038420490928,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
GTR+G,26,25420.3118421496,25216.5880657544,-12582.2565188495,n/a,0.435277273472626,1.93771738073106,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.06,0.14,0.03,0.26,0.04,0.04,0.17,0.06,0.1,0.02,0.05
T92+I,20,25447.5290703488,25290.805633425,-12625.3803796165,0.424326755110217,n/a,1.58673303687307,0.202961579509072,0.202961579509072,0.297038420490928,0.297038420490928,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G,22,25448.5648966383,25276.1738229047,-12616.0598772054,n/a,0.436317723698773,1.88168293371871,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.05,0.2,0.04,0.19,0.05,0.04,0.13,0.05,0.14,0.03,0.05
TN93+I,23,25449.6182303269,25269.3936595067,-12611.6673362718,0.422315019586026,n/a,1.38457279992592,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.04,0.06,0.15,0.04,0.2,0.06,0.04,0.13,0.06,0.11,0.04,0.06
GTR+I,26,25459.6743101642,25255.950533769,-12601.9377528568,0.422428089110067,n/a,1.62365928500861,0.215528281750267,0.190394877267876,0.289381003201708,0.304695837780149,0.03,0.06,0.15,0.03,0.23,0.05,0.04,0.15,0.06,0.1,0.03,0.06
