Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,3508.5460384579,3386.22366659645,-1672.9871672252,0.589759307365024,1.18753038686399,4.5613540997656,0.25,0.25,0.25,0.25,0.02,0.02,0.21,0.02,0.21,0.02,0.02,0.21,0.02,0.21,0.02,0.02
K2+G,19,3513.23292071105,3397.01532119177,-1679.39490095197,n/a,0.182978661253764,4.4001491045199,0.25,0.25,0.25,0.25,0.02,0.02,0.2,0.02,0.2,0.02,0.02,0.2,0.02,0.2,0.02,0.02
K2+I,19,3515.59397713141,3399.37637761213,-1680.57542916215,0.639429796749178,n/a,3.49031918299237,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G+I,21,3516.3954051277,3387.96946271318,-1672.84755795992,0.589737368340422,1.18565771674944,4.56675336589628,0.248967551622419,0.248967551622419,0.251032448377581,0.251032448377581,0.02,0.02,0.21,0.02,0.21,0.02,0.02,0.2,0.02,0.2,0.02,0.02
T92+G,20,3521.11997848213,3398.79760662067,-1679.27413723732,n/a,0.182975250837309,4.40838433610679,0.248967551622419,0.248967551622419,0.251032448377581,0.251032448377581,0.02,0.02,0.2,0.02,0.2,0.02,0.02,0.2,0.02,0.2,0.02,0.02
T92+I,20,3523.48559061434,3401.16321875289,-1680.45694330343,0.639460628684064,n/a,3.49337598913052,0.248967551622419,0.248967551622419,0.251032448377581,0.251032448377581,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.19,0.03,0.19,0.03,0.03
TN93+G+I,24,3527.88517725549,3381.15574463075,-1666.39956622325,0.555089297822499,0.940216621232823,4.92319371878219,0.261946902654867,0.235988200589971,0.22094395280236,0.281120943952802,0.02,0.02,0.12,0.02,0.3,0.02,0.02,0.32,0.02,0.11,0.02,0.02
TN93+G,23,3529.70075052998,3389.07127666112,-1671.37164546068,n/a,0.18053377163907,5.50280183512166,0.261946902654867,0.235988200589971,0.22094395280236,0.281120943952802,0.02,0.02,0.09,0.02,0.33,0.02,0.02,0.35,0.02,0.09,0.02,0.02
HKY+G+I,23,3535.81521956917,3395.18574570031,-1674.42887998028,0.589745440898605,1.16935289574381,4.82520869114754,0.261946902654867,0.235988200589971,0.22094395280236,0.281120943952802,0.02,0.02,0.23,0.02,0.18,0.02,0.02,0.2,0.02,0.22,0.02,0.02
TN93+I,23,3536.63438991025,3396.00491604139,-1674.83846515082,0.632720380539007,n/a,3.42082067879211,0.261946902654867,0.235988200589971,0.22094395280236,0.281120943952802,0.03,0.02,0.14,0.03,0.24,0.03,0.03,0.26,0.03,0.13,0.03,0.02
HKY+G,22,3540.21517748504,3405.68686737737,-1680.6931515384,n/a,0.180709971962542,4.70686923558432,0.261946902654867,0.235988200589971,0.22094395280236,0.281120943952802,0.02,0.02,0.23,0.02,0.18,0.02,0.02,0.19,0.02,0.22,0.02,0.02
GTR+G,26,3541.68992482123,3382.76419400044,-1665.17335480575,n/a,0.178988618100656,5.19624156205825,0.261946902654867,0.235988200589971,0.22094395280236,0.281120943952802,0.01,0.01,0.09,0.01,0.33,0.04,0.01,0.35,0.02,0.08,0.03,0.02
