Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,6339.74657756233,6217.71180877366,-3089.77275340215,n/a,0.483936962796088,1.4476535943275,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,6339.79800868658,6211.34915029456,-3085.58265131274,n/a,0.472507759522649,1.48018544194321,0.241721132897604,0.241721132897604,0.258278867102397,0.258278867102397,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,6346.97395876172,6218.5251003697,-3089.17062635031,0.196195894750558,0.817691285600602,1.43526012098163,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,6347.11138786167,6212.24932320505,-3085.02352324876,0.188085662999975,0.771572552924522,1.46850925160542,0.241721132897604,0.241721132897604,0.258278867102397,0.258278867102397,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G,23,6355.36203999011,6207.67621514207,-3080.71721400993,n/a,0.470885503845207,1.55983349156863,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.05,0.05,0.11,0.05,0.2,0.05,0.05,0.2,0.05,0.1,0.05,0.05
GTR+G+I,27,6359.56648081072,6186.24376121001,-3065.95616381412,0.268398932290151,1.25468387408334,1.46840778110256,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.02,0.07,0.11,0.02,0.2,0.03,0.07,0.2,0.09,0.09,0.03,0.07
TN93+G+I,24,6359.97301498835,6205.8766373755,-3078.80688385752,0.258805184564355,1.03300613439745,1.53408982970992,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.05,0.05,0.11,0.05,0.2,0.05,0.05,0.2,0.05,0.09,0.05,0.05
GTR+G,26,6363.60237854316,6196.68755297143,-3072.18993033187,n/a,0.523627114265879,1.30898711560577,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.04,0.07,0.12,0.04,0.17,0.03,0.07,0.17,0.08,0.1,0.02,0.07
HKY+G,22,6363.96922602366,6222.69483902145,-3089.23662467823,n/a,0.476489814314234,1.48260895541234,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.05,0.05,0.17,0.05,0.14,0.06,0.05,0.14,0.06,0.15,0.05,0.05
HKY+G+I,23,6371.16050367596,6223.47467882791,-3088.61644585285,0.19542302264808,0.79945737014308,1.46837962127288,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.05,0.05,0.16,0.05,0.14,0.06,0.05,0.14,0.06,0.15,0.05,0.05
K2+I,19,6378.15759309557,6256.1228243069,-3108.97826116877,0.404793608709574,n/a,1.2473663377313,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
GTR+I,26,6379.23012310758,6212.31529753585,-3080.00380261408,0.393844998922822,n/a,1.33377586779635,0.245315904139434,0.238126361655773,0.23921568627451,0.277342047930283,0.02,0.07,0.11,0.02,0.19,0.04,0.07,0.19,0.09,0.09,0.03,0.08
