Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,13191.1281020938,13019.3587403373,-6486.63679728574,n/a,0.269370281361585,2.08852205203167,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.1,0.04,0.27,0.05,0.04,0.23,0.05,0.09,0.03,0.04
TN93+G+I,24,13193.8350050853,13014.6011193372,-6483.25428122666,0.382766805679427,0.679717587846602,2.12517098448536,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.1,0.04,0.27,0.05,0.04,0.23,0.05,0.09,0.03,0.04
GTR+G,26,13199.4539836956,13005.2919791063,-6476.59183542215,n/a,0.270377730319342,2.04495595960424,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.1,0.04,0.26,0.07,0.05,0.22,0.02,0.09,0.04,0.02
GTR+G+I,27,13201.3029848562,12999.6773855606,-6472.78036844763,0.409043623478582,0.770507823161295,2.07362887501295,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.1,0.04,0.27,0.07,0.05,0.23,0.02,0.09,0.04,0.02
K2+G,19,13216.2818837134,13074.3737133915,-6518.15755831488,n/a,0.257534974555779,1.94224238713786,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,13221.9572613384,13072.5833289809,-6516.25927957256,0.379707017066444,0.629673613617986,1.97306377609606,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,13226.0814130498,13076.7074806923,-6518.32135542826,n/a,0.256071314719378,1.95969294909053,0.23729792147806,0.23729792147806,0.26270207852194,0.26270207852194,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,13231.8068805294,13074.9674955399,-6516.44812161324,0.384975348948532,0.638842406821713,1.99045319098111,0.23729792147806,0.23729792147806,0.26270207852194,0.26270207852194,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,13265.2421564578,13093.4727947014,-6523.69382446775,0.579843862732636,n/a,1.78025727115467,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.11,0.05,0.23,0.05,0.05,0.2,0.05,0.1,0.03,0.04
HKY+G,22,13277.7498963513,13113.4453682049,-6534.68366196936,n/a,0.253456826977236,2.10186711239231,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.2,0.05,0.15,0.05,0.05,0.13,0.05,0.18,0.03,0.04
HKY+G+I,23,13284.5833871702,13112.8140254137,-6533.36443982393,0.394519394681884,0.662855228995184,2.12967444107234,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.03,0.04,0.2,0.05,0.15,0.05,0.05,0.13,0.05,0.19,0.03,0.04
GTR+I,26,13286.9003108636,13092.7383062743,-6520.31499900616,0.581906692543483,n/a,1.49764162173848,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.04,0.04,0.12,0.05,0.2,0.07,0.05,0.18,0.05,0.11,0.05,0.04
K2+I,19,13291.692702962,13149.7845326402,-6555.8629679392,0.592727242163493,n/a,1.7467706155308,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+I,20,13300.9647405453,13151.5908081878,-6555.76301917602,0.59314675218222,n/a,1.76082389280509,0.23729792147806,0.23729792147806,0.26270207852194,0.26270207852194,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+I,22,13350.4249522781,13186.1204241317,-6571.02118993276,0.593905173485793,n/a,1.85589295005204,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.04,0.04,0.19,0.05,0.15,0.05,0.05,0.13,0.05,0.18,0.04,0.04
JC+G,18,13539.6980797543,13405.2559808001,-6684.60162389016,n/a,0.277050088713662,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,13546.9423341729,13405.034163851,-6683.48778354464,0.412056214695793,0.818507445366147,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13598.4686625446,13464.0265635904,-6713.98691528529,0.588932641929913,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,14010.3165756362,13846.0120474898,-6900.9670016118,n/a,n/a,1.49704578579572,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.04,0.05,0.1,0.05,0.22,0.06,0.05,0.19,0.06,0.09,0.04,0.05
GTR,25,14021.1465425163,13834.4484424667,-6892.17408238733,n/a,n/a,1.49967363019413,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.04,0.05,0.1,0.05,0.22,0.07,0.06,0.19,0.04,0.09,0.05,0.03
K2,18,14087.692927468,13953.2508285139,-6958.59904774703,n/a,n/a,1.47642649935761,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,14103.2475752844,13961.3394049626,-6961.64040410041,n/a,n/a,1.47785839392296,0.23729792147806,0.23729792147806,0.26270207852194,0.26270207852194,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,14161.1125806693,14004.2731956797,-6981.10097168317,n/a,n/a,1.46944996973618,0.276289453425712,0.198306389530408,0.230561970746728,0.294842186297152,0.04,0.05,0.17,0.06,0.14,0.06,0.06,0.12,0.06,0.16,0.04,0.05
JC,17,14356.8723135459,14229.89659522,-7097.92470834079,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
