Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,9367.487327335,9204.50618135393,-4579.19076005366,n/a,0.272896522723386,2.05377201322106,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.05,0.04,0.11,0.03,0.22,0.04,0.03,0.26,0.04,0.08,0.05,0.04
TN93+G+I,24,9375.41025565437,9205.34840824795,-4578.60644579535,0.266500953093315,0.478690999511626,2.06987576193487,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.05,0.04,0.11,0.03,0.22,0.04,0.03,0.26,0.04,0.08,0.05,0.04
HKY+G,22,9382.78304607527,9226.88305559099,-4591.38439784179,n/a,0.277149574934895,1.91092559459994,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.05,0.04,0.18,0.03,0.16,0.05,0.03,0.19,0.05,0.13,0.05,0.04
GTR+G,26,9384.37676936588,9200.1548819386,-4573.99814581512,n/a,0.282394907480813,2.03271343638741,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.03,0.05,0.11,0.02,0.21,0.03,0.04,0.25,0.07,0.08,0.03,0.06
HKY+G+I,23,9390.5555512459,9227.57440526483,-4590.72487200911,0.280260156380612,0.504708683392619,1.9274081672655,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.05,0.04,0.18,0.03,0.16,0.05,0.03,0.19,0.05,0.13,0.05,0.04
GTR+G+I,27,9392.3072771435,9201.00605142863,-4573.41762128594,0.258140547315933,0.486528985602463,2.05193136380375,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.03,0.05,0.11,0.02,0.22,0.03,0.04,0.26,0.07,0.08,0.03,0.06
K2+G,19,9396.06785099761,9261.41404989491,-4611.66413555694,n/a,0.279041394813359,1.90072919550852,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,9397.29895302182,9255.56263513041,-4607.73390815105,n/a,0.276141478510459,1.92446029456335,0.243637387387387,0.243637387387387,0.256362612612613,0.256362612612613,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,9404.03329297098,9262.29697507957,-4611.10107812563,0.263754592054216,0.485835886801824,1.91541571460328,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,9405.17517417138,9256.35679310156,-4607.12624030784,0.267998509819941,0.485363865041461,1.9395788476892,0.243637387387387,0.243637387387387,0.256362612612613,0.256362612612613,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,9433.75901719425,9270.77787121318,-4612.32660498328,0.552679418442112,n/a,1.67426525651621,0.202927927927928,0.284346846846847,0.239864864864865,0.27286036036036,0.05,0.04,0.13,0.04,0.19,0.05,0.04,0.22,0.05,0.09,0.05,0.04
