Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,14002.6762590643,13823.2760268691,-6887.592054032,0.532107284752971,2.05751082754414,2.63516628437721,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.22,0.04,0.11,0.03,0.04
GTR+G+I,27,14002.8790291197,13801.0662035594,-6873.4751796222,0.53087990101727,2.1392543816257,2.64421644747752,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.02,0.03,0.12,0.02,0.28,0.03,0.03,0.22,0.06,0.11,0.02,0.06
T92+G+I,21,14020.0456523955,13863.0607814894,-6910.49501013512,0.547871866223111,2.56727292375483,2.45199860232418,0.228478593272171,0.228478593272171,0.271521406727829,0.271521406727829,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
GTR+I,26,14021.1121795441,13826.7699107739,-6887.33117464691,0.576640461377658,n/a,2.32478953618137,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.02,0.03,0.13,0.02,0.25,0.04,0.03,0.2,0.06,0.12,0.03,0.06
TN93+I,23,14022.1267611316,13850.1980085799,-6902.05672487816,0.577955625502685,n/a,2.28086958301909,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.03,0.04,0.13,0.04,0.25,0.04,0.04,0.2,0.04,0.12,0.03,0.04
TN93+G,23,14034.0708816806,13862.1421291288,-6908.02878515265,n/a,0.263313327523815,2.83326808420143,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.03,0.04,0.11,0.03,0.3,0.03,0.03,0.23,0.03,0.1,0.03,0.04
T92+I,20,14034.5280049897,13885.0155359445,-6922.47560624473,0.582632501940351,n/a,2.2429586866286,0.228478593272171,0.228478593272171,0.271521406727829,0.271521406727829,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G+I,23,14043.0450670844,13871.1163145326,-6912.51587785455,0.550818152795361,2.71981614545417,2.47186316978991,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.03,0.04,0.19,0.03,0.2,0.04,0.03,0.15,0.04,0.17,0.03,0.04
GTR+G,26,14047.0213048087,13852.6790360385,-6900.28573727918,n/a,0.274793416361479,2.38877763487385,0.243042813455657,0.213914373088685,0.275688073394495,0.267354740061162,0.03,0.03,0.13,0.04,0.27,0.03,0.02,0.21,0.06,0.11,0.02,0.06
T92+G,20,14051.8374643064,13902.3249952612,-6931.13033590307,n/a,0.26455833943718,2.52844069300581,0.228478593272171,0.228478593272171,0.271521406727829,0.271521406727829,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
