Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1283.59924526372,1176.07497893775,-568.859919375418,n/a,0.05,2.18496212659708,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,1288.29647458496,1175.13191144376,-567.369602285697,0.483495298019496,0.152390853835947,2.47109552598236,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G,20,1291.84609936546,1178.68153622426,-569.144414675946,n/a,0.05,2.18253039517717,0.245138888888889,0.245138888888889,0.254861111111111,0.254861111111111,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,1296.41936776036,1177.61641385322,-567.592117123056,0.479904417935606,0.150798129550046,2.47070757374005,0.245138888888889,0.245138888888889,0.254861111111111,0.254861111111111,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
JC+G,18,1298.59902893095,1196.71696279871,-580.198742959373,n/a,0.05,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,1303.38591569415,1195.86164936818,-578.75325459063,0.340275790883138,0.0953910904928507,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
HKY+G,22,1307.04606267803,1182.60662673003,-569.066532831557,n/a,0.05,2.31166283289106,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.03,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.19,0.03,0.04
HKY+G+I,23,1311.36146488362,1181.28745830061,-567.38530218401,0.453584089285126,0.136649287444919,2.5313676264117,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.03,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.2,0.03,0.04
TN93+G,23,1314.32561006362,1184.25160348061,-568.867374774011,n/a,0.05,2.24014408571569,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.03,0.04,0.15,0.04,0.2,0.04,0.04,0.17,0.04,0.17,0.03,0.04
TN93+G+I,24,1316.17853866273,1180.47187553638,-565.954907323226,0.579724783186206,0.224046993363584,2.61648634049141,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.03,0.03,0.11,0.04,0.27,0.03,0.04,0.23,0.03,0.12,0.03,0.03
GTR+G+I,27,1330.057437081,1177.46431580846,-561.377561281342,0.551400706058222,0.200103098876517,2.61154868469348,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.07,0,0.11,0.1,0.27,0.06,0,0.23,0,0.11,0.05,0
K2+I,19,1330.68381257615,1223.15954625018,-592.402203031633,0.435185185185185,n/a,1.82309874219458,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G,26,1330.76134768535,1183.79512451582,-565.56844833386,n/a,0.05,2.19785594311465,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.08,0.01,0.15,0.1,0.2,0.05,0.01,0.17,0.01,0.16,0.04,0.01
T92+I,20,1338.89636840402,1225.73180526282,-592.669549195226,0.435185185185185,n/a,1.81903062770077,0.245138888888889,0.245138888888889,0.254861111111111,0.254861111111111,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.16,0.05,0.16,0.04,0.05
JC+I,18,1343.46379358396,1241.58172745172,-602.631125285877,0.435185185185185,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,1353.80805057699,1251.92598444475,-607.803253782393,n/a,n/a,1.78232323399358,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,1354.55500232918,1230.11556638117,-592.821002657129,0.435185185185185,n/a,1.87779378965703,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.04,0.04,0.17,0.05,0.16,0.04,0.05,0.14,0.04,0.18,0.04,0.04
TN93+I,23,1358.55685639439,1228.48284981138,-590.982997939396,0.435185185185185,n/a,1.90756104527916,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.04,0.04,0.11,0.05,0.23,0.04,0.05,0.19,0.04,0.12,0.04,0.04
T92,19,1362.01948465356,1254.49521832759,-608.070039070335,n/a,n/a,1.77982167957766,0.245138888888889,0.245138888888889,0.254861111111111,0.254861111111111,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.16,0.05,0.16,0.04,0.05
JC,17,1366.23305381851,1269.99508859269,-617.85468715349,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,26,1375.11919625828,1228.15297308875,-587.747372620322,0.435185185185185,n/a,1.60888453144762,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.07,0.02,0.11,0.1,0.21,0.06,0.02,0.17,0.03,0.12,0.05,0.03
HKY,21,1377.75872578433,1258.9557718772,-608.261796135044,n/a,n/a,1.81501581414868,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.04,0.04,0.17,0.05,0.16,0.05,0.05,0.14,0.05,0.18,0.04,0.04
TN93,22,1381.28044532049,1256.84100937249,-606.183724152786,n/a,n/a,1.85095219345916,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.04,0.04,0.11,0.05,0.23,0.04,0.05,0.19,0.04,0.12,0.04,0.04
GTR,25,1397.82027948089,1256.48287659374,-602.936845981966,n/a,n/a,1.5719797830126,0.278703703703704,0.211574074074074,0.251851851851852,0.25787037037037,0.07,0.02,0.11,0.09,0.2,0.06,0.02,0.17,0.04,0.12,0.05,0.03
