Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,4894.8599617294,4771.37717214458,-2365.57090604988,n/a,0.374241835506676,1.8215067503162,0.227576601671309,0.227576601671309,0.272423398328691,0.272423398328691,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G+I,21,4896.79725092508,4767.15216242382,-2362.44659690698,0.335738520296603,1.01671731549906,1.75839308709793,0.227576601671309,0.227576601671309,0.272423398328691,0.272423398328691,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G,19,4901.73717932585,4784.41782233174,-2373.10246858884,n/a,0.394957038057899,1.71705327060956,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,4903.41880939559,4779.93601981078,-2369.85032988297,0.344251016168033,1.14930303034553,1.66384560780211,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+G,22,4913.97090088262,4778.16464809265,-2366.94046814501,n/a,0.37908255289342,1.80657050347775,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.04,0.04,0.2,0.04,0.15,0.06,0.04,0.14,0.06,0.15,0.04,0.04
TN93+G,23,4914.22649442348,4772.26021292707,-2362.97531117469,n/a,0.377781882256267,1.82708656161157,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.04,0.04,0.15,0.04,0.2,0.06,0.04,0.2,0.06,0.11,0.04,0.04
TN93+G+I,24,4916.09426305764,4767.96908939267,-2359.81624175103,0.333789870378724,1.02942953009631,1.75852519961677,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.04,0.04,0.15,0.04,0.19,0.06,0.04,0.19,0.06,0.11,0.04,0.04
HKY+G+I,23,4916.25225898469,4774.28597748828,-2363.9881934553,0.33109051380292,1.00552483256402,1.74797068878127,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.04,0.04,0.2,0.04,0.14,0.06,0.04,0.14,0.06,0.15,0.04,0.04
T92+I,20,4918.5407780853,4795.05798850048,-2377.41131422783,0.456199884521137,n/a,1.48783321811735,0.227576601671309,0.227576601671309,0.272423398328691,0.272423398328691,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,4921.90415748056,4804.58480048645,-2383.1859576662,0.454520033387537,n/a,1.44193625173773,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G,26,4933.63038604237,4773.19084148172,-2360.39839576191,n/a,0.3857662323129,1.83352098207326,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.02,0.05,0.15,0.02,0.2,0.05,0.06,0.2,0.07,0.11,0.03,0.05
GTR+G+I,27,4936.14694266125,4769.55192129009,-2357.56372033062,0.321285575373592,0.985845425474892,1.77843909712894,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.02,0.05,0.15,0.02,0.2,0.05,0.05,0.19,0.07,0.11,0.03,0.05
TN93+I,23,4938.32204004384,4796.35575854742,-2375.02308398487,0.452618104997074,n/a,1.46820760203569,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.05,0.05,0.15,0.05,0.17,0.06,0.05,0.17,0.06,0.11,0.05,0.05
HKY+I,22,4938.81021079923,4803.00395800925,-2379.36012310331,0.454698222495319,n/a,1.46665920426574,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.05,0.05,0.19,0.05,0.14,0.06,0.05,0.13,0.06,0.14,0.05,0.05
GTR+I,26,4958.76069932703,4798.32115476639,-2372.96355240425,0.450835398411915,n/a,1.49318730570609,0.230362116991643,0.224791086350975,0.228133704735376,0.316713091922006,0.03,0.05,0.15,0.03,0.17,0.06,0.05,0.17,0.08,0.11,0.04,0.06
