Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,5384.83941026172,5254.78380901385,-2606.26491165371,0.34818422814777,1.40282821690163,1.64702926053638,0.21707650273224,0.21707650273224,0.28292349726776,0.28292349726776,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,5385.9497796998,5262.07624381822,-2610.92270558594,n/a,0.380865207826946,1.81360514136915,0.21707650273224,0.21707650273224,0.28292349726776,0.28292349726776,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,5390.11693814143,5253.88038406676,-2604.80106638037,n/a,0.384785241544716,1.7931284794307,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.04,0.04,0.21,0.03,0.16,0.06,0.03,0.16,0.06,0.12,0.04,0.04
HKY+G+I,23,5391.13548610634,5248.71909266228,-2601.20773114962,0.329860281037851,1.2296164998855,1.64636322772586,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.05,0.05,0.2,0.03,0.16,0.06,0.03,0.16,0.06,0.12,0.05,0.05
TN93+G,23,5395.25999595129,5252.84360250723,-2603.2699860721,n/a,0.39109342507129,1.78982634916136,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.04,0.04,0.17,0.03,0.19,0.06,0.03,0.19,0.06,0.1,0.04,0.04
TN93+G+I,24,5396.85928381847,5248.26416538141,-2599.96702079249,0.322883907131215,1.19121940797754,1.65025565033812,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.05,0.05,0.17,0.03,0.18,0.06,0.03,0.18,0.06,0.1,0.05,0.05
T92+I,20,5403.18426160935,5279.31072572778,-2619.53994654072,0.418525008052374,n/a,1.36390199089481,0.21707650273224,0.21707650273224,0.28292349726776,0.28292349726776,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+G,26,5405.11998168089,5244.17076006777,-2595.8921512973,n/a,0.396885758669348,1.78540960970011,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.01,0.08,0.17,0.01,0.19,0.05,0.06,0.2,0.07,0.09,0.04,0.05
GTR+G+I,27,5407.43793602128,5240.31333806807,-2592.9485192543,0.316909313714616,1.16069316004143,1.65877753439877,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.01,0.07,0.17,0.01,0.18,0.05,0.05,0.19,0.07,0.1,0.04,0.05
K2+G+I,20,5411.37299676163,5287.49946088005,-2623.63431411686,0.366934961080614,1.90873007695374,1.51874711934579,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,5413.55149116654,5277.31493709186,-2616.51834289292,0.415345710764978,n/a,1.33365647348004,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.05,0.05,0.19,0.04,0.14,0.07,0.04,0.15,0.07,0.11,0.05,0.05
K2+G,19,5416.02885465675,5298.33849576403,-2630.06485227762,n/a,0.410526250809141,1.672503486379,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+I,23,5420.09690987649,5277.68051643243,-2615.6884430347,0.414341538271665,n/a,1.33173646280624,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.05,0.05,0.17,0.04,0.16,0.07,0.04,0.16,0.07,0.1,0.05,0.05
K2+I,19,5421.47826223679,5303.78790334406,-2632.78955606764,0.418490692283075,n/a,1.33618082403269,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+I,26,5429.97369643185,5269.02447481873,-2608.31900867279,0.414611691407175,n/a,1.33483962771211,0.182513661202186,0.251639344262295,0.246174863387978,0.319672131147541,0.02,0.06,0.17,0.01,0.16,0.07,0.05,0.16,0.09,0.1,0.05,0.07
JC+G+I,19,5493.09206123469,5375.40170234197,-2668.59645556659,0.380644384028733,2.96223715152471,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
