Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,13987.8541981037,13836.9342908077,-6897.41994474998,0.338773895868265,1.65866944516206,1.43669814272656,0.206523955147808,0.206523955147808,0.293476044852192,0.293476044852192,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G+I,27,14001.5192904689,13807.5126061675,-6876.67901827491,0.328575092330928,1.57571322712226,1.46894995679298,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.03,0.06,0.14,0.03,0.22,0.04,0.04,0.16,0.09,0.1,0.02,0.08
T92+G,20,14002.9320384167,13859.1946979692,-6909.55444368275,n/a,0.458361543539683,1.50429670936848,0.206523955147808,0.206523955147808,0.293476044852192,0.293476044852192,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G+I,24,14004.135291693,13831.6701471203,-6891.77375521577,0.338996558837626,1.67844513620086,1.47000004358346,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.04,0.05,0.14,0.04,0.21,0.06,0.04,0.15,0.06,0.1,0.04,0.05
GTR+G,26,14014.3929794312,13827.5663973241,-6887.71144153231,n/a,0.465364963013848,1.52047933890142,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.02,0.06,0.14,0.03,0.22,0.03,0.05,0.16,0.09,0.1,0.02,0.08
HKY+G+I,23,14018.0470313328,13852.7632218483,-6903.32520381197,0.337265259922745,1.64223300095639,1.43896205866731,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.04,0.06,0.19,0.04,0.16,0.06,0.04,0.12,0.06,0.13,0.04,0.06
TN93+G,23,14021.1105858814,13855.8267763969,-6904.85698108625,n/a,0.455008468615575,1.54892089780976,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.16,0.06,0.1,0.04,0.05
HKY+G,22,14032.6268662876,13874.524802604,-6915.21070006567,n/a,0.459199483463833,1.50794095831262,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.05
T92+I,20,14039.5763290144,13895.8389885669,-6927.8765889816,0.41088693997999,n/a,1.2860556847939,0.206523955147808,0.206523955147808,0.293476044852192,0.293476044852192,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+I,26,14052.4453967335,13865.6188146264,-6906.73765018349,0.408629441765164,n/a,1.31989374863203,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.03,0.05,0.14,0.03,0.2,0.05,0.04,0.14,0.09,0.1,0.03,0.08
TN93+I,23,14054.7841842344,13889.50037475,-6921.69378026279,0.408871749034984,n/a,1.30174161115586,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.04,0.06,0.14,0.05,0.2,0.07,0.05,0.14,0.07,0.1,0.04,0.06
HKY+I,22,14070.4134417238,13912.3113780402,-6934.10398778376,0.41055340218874,n/a,1.28290209355458,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.04,0.06,0.18,0.05,0.16,0.07,0.05,0.11,0.07,0.12,0.04,0.06
K2+G+I,20,14100.860499689,13957.1231592416,-6958.51867431892,0.346749862925134,2.05620884115588,1.3040932075528,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,14120.1876544349,13983.6332911712,-6972.77783046811,n/a,0.501414946152782,1.35242404831127,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,14137.6595054368,14001.1051421731,-6981.5137559691,0.408909207351295,n/a,1.21402164971732,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,14285.3241474936,14148.7697842299,-7055.34607699749,0.352070062643836,2.43928004642507,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,14308.0451287091,14178.6741528386,-7071.30214638149,n/a,0.534303331039164,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14314.1071156644,14184.7361397939,-7074.33313985914,0.407098283023161,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,14697.7523603693,14518.1062915472,-7233.98671077767,n/a,n/a,1.10631976840975,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.03,0.07,0.14,0.03,0.18,0.05,0.05,0.13,0.11,0.1,0.03,0.09
T92,19,14719.9696861316,14583.4153228679,-7272.66884631647,n/a,n/a,1.09959393598133,0.206523955147808,0.206523955147808,0.293476044852192,0.293476044852192,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93,22,14735.4310330083,14577.3289693246,-7266.61278342598,n/a,n/a,1.10170637455389,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.05,0.06,0.14,0.05,0.17,0.07,0.05,0.13,0.07,0.09,0.05,0.06
HKY,21,14746.8360984887,14595.9161911926,-7276.91089494246,n/a,n/a,1.09731428308215,0.214576962283384,0.198470948012232,0.275535168195719,0.311416921508665,0.05,0.06,0.16,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.06
K2,18,14774.6879171074,14645.3169412369,-7304.62354058065,n/a,n/a,1.0837907293833,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,14933.3178542128,14811.1306758193,-7388.53408790965,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
