Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11680.5385951996,11510.2333654365,-5731.04960613915,0.362950492623386,1.64115781502547,1.92720132938983,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.04,0.05,0.11,0.04,0.27,0.05,0.04,0.2,0.05,0.09,0.04,0.05
TN93+G,23,11690.5919275921,11527.3775927353,-5740.62709281297,n/a,0.418996962606257,2.00728852930656,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.04,0.05,0.11,0.04,0.27,0.05,0.04,0.2,0.05,0.09,0.04,0.05
GTR+G+I,27,11702.9542159313,11511.378999834,-5728.60495507246,0.357285026438766,1.57289760419061,1.93434536494974,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.03,0.05,0.11,0.03,0.27,0.04,0.04,0.2,0.06,0.09,0.03,0.06
T92+G+I,21,11703.7568089692,11554.7256122121,-5756.31117445653,0.363266848628303,1.57782850009917,1.80656061404402,0.218004459308807,0.218004459308807,0.281995540691193,0.281995540691193,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,11711.2431378476,11526.7574673135,-5737.30023650813,n/a,0.422324382467751,2.00164947244674,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.03,0.05,0.11,0.03,0.27,0.04,0.04,0.21,0.06,0.09,0.03,0.06
T92+G,20,11711.9192204432,11569.9802665784,-5764.94320067105,n/a,0.418124465659023,1.87608228363227,0.218004459308807,0.218004459308807,0.281995540691193,0.281995540691193,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,11715.2166591549,11552.002324298,-5752.93945859432,0.435496153197716,n/a,1.67310667441349,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.04,0.05,0.11,0.04,0.24,0.05,0.04,0.18,0.05,0.09,0.04,0.05
HKY+G+I,23,11718.4026145105,11555.1882796536,-5754.53243627214,0.36450069427575,1.58881746427595,1.80903872665151,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.04,0.05,0.18,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G,22,11726.794749267,11570.6717587957,-5763.27932412791,n/a,0.417226723277339,1.87845807650172,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.04,0.05,0.18,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+I,20,11737.1699408207,11595.230986956,-5777.56856085983,0.440673678557576,n/a,1.61310276026115,0.218004459308807,0.218004459308807,0.281995540691193,0.281995540691193,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,11738.5239852315,11554.0383146974,-5750.94066020007,0.435183688922623,n/a,1.68393294443144,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.03,0.05,0.12,0.03,0.24,0.04,0.04,0.18,0.06,0.09,0.03,0.06
K2+G+I,20,11740.9957302915,11599.0567764268,-5779.48145559523,0.361837598302131,1.68374906862108,1.71081774672816,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,11749.0615497502,11614.2152878053,-5788.0651858021,n/a,0.438882805675503,1.77281546995708,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+I,22,11751.5979941408,11595.4750036695,-5775.68094656483,0.440944860633697,n/a,1.61694672387211,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.04,0.05,0.17,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
K2+I,19,11770.0190430265,11635.1727810816,-5798.54393244024,0.438632658919936,n/a,1.55094719275312,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,11993.6700085054,11858.8237465605,-5910.36941517969,0.372191850189907,2.28723425686893,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,12005.1260753342,11877.3729541861,-5920.64826907161,n/a,0.488664997587842,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,12010.0651082274,11882.3119870793,-5923.11778551821,0.433991767789381,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,12261.6461771598,12105.5231866885,-6030.70503807434,n/a,n/a,1.34044174252089,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.05,0.06,0.11,0.05,0.21,0.06,0.05,0.16,0.06,0.09,0.05,0.06
GTR,25,12269.2671026562,12091.8714276171,-6020.86303938993,n/a,n/a,1.34233253831637,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.03,0.07,0.11,0.03,0.22,0.04,0.05,0.16,0.07,0.09,0.03,0.08
T92,19,12284.4103157236,12149.5640537787,-6055.7395687888,n/a,n/a,1.32355629211935,0.218004459308807,0.218004459308807,0.281995540691193,0.281995540691193,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,12290.773765972,12163.020644824,-6063.47211439053,n/a,n/a,1.3151854096642,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,12301.3163782728,12152.2851815157,-6055.09095910834,n/a,n/a,1.32426866930895,0.220289855072464,0.215719063545151,0.286733556298774,0.277257525083612,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.05,0.06
JC,17,12498.2825574499,12377.6230258253,-6171.77733060701,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
