Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12944.6967901566,12771.0092146573,-6361.44632660986,0.430751855469051,1.63158499617117,2.31461230943106,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.21,0.04,0.1,0.03,0.04
GTR+G+I,27,12949.7794713437,12754.3967275113,-6350.12490864487,0.418639664544823,1.48886880474334,2.31918854727104,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.01,0.05,0.12,0.01,0.28,0.03,0.04,0.22,0.06,0.1,0.03,0.06
T92+G+I,21,12960.1118665704,12808.1229729111,-6383.01662337533,0.438678010178558,1.64431029200216,2.19252152952189,0.220881782945736,0.220881782945736,0.279118217054264,0.279118217054264,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+G,23,12962.8769143617,12796.4218425711,-6375.15730823194,n/a,0.330262145099641,2.51643985374546,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.03,0.04,0.11,0.03,0.29,0.04,0.03,0.22,0.04,0.09,0.03,0.04
GTR+G,26,12962.9597674683,12774.8083558343,-6361.33597622667,n/a,0.337935410017759,2.45113714964568,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.01,0.05,0.12,0.01,0.29,0.03,0.04,0.22,0.06,0.09,0.02,0.06
T92+G,20,12976.9031183469,12832.1478988829,-6396.03316878312,n/a,0.329702030793938,2.3091109770595,0.220881782945736,0.220881782945736,0.279118217054264,0.279118217054264,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
TN93+I,23,12984.5142117776,12818.059139987,-6385.97595693989,0.493293479423336,n/a,1.95235307629883,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.04,0.05,0.13,0.04,0.25,0.05,0.04,0.19,0.05,0.1,0.04,0.05
HKY+G+I,23,12986.163382225,12819.7083104344,-6386.80054216358,0.43993626294573,1.66194258671143,2.21670809509294,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.03,0.04,0.2,0.04,0.19,0.04,0.04,0.15,0.04,0.16,0.03,0.04
GTR+I,26,12993.0893015051,12804.9378898711,-6376.40074324507,0.492262181490395,n/a,1.97998473815184,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.02,0.05,0.13,0.02,0.25,0.04,0.04,0.19,0.06,0.1,0.03,0.06
T92+I,20,13001.2099151934,12856.4546957293,-6408.18656720633,0.499205379928149,n/a,1.91966574067783,0.220881782945736,0.220881782945736,0.279118217054264,0.279118217054264,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G,22,13003.3244359681,12844.1022581621,-6400.00198855467,n/a,0.329111177471867,2.33716749688563,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.03,0.04,0.2,0.03,0.19,0.04,0.03,0.15,0.04,0.16,0.03,0.04
K2+G+I,20,13022.7120403264,12877.9568208623,-6418.93762977284,0.433871384555647,1.6977746623978,2.05737349657472,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,13026.8036907706,12867.5815129646,-6411.74161595592,0.499405366851654,n/a,1.9369950287432,0.22906976744186,0.212693798449612,0.274515503875969,0.283720930232558,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.15,0.04,0.05
K2+G,19,13037.5341805879,12900.013025254,-6430.96961942313,n/a,0.344988788364121,2.15492950464265,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,13061.0875177652,12923.5663624312,-6442.74628801174,0.497229379176484,n/a,1.83231673641403,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
