Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,6362.23220876268,6223.80948407936,-3090.8193130456,0.47811746946004,1.52763807239361,1.70840112560286,0.226611418047882,0.226611418047882,0.273388581952118,0.273388581952118,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,6365.72093671166,6233.88234518078,-3096.86352422655,n/a,0.294545117067319,1.74487195331224,0.226611418047882,0.226611418047882,0.273388581952118,0.273388581952118,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,6369.5429018593,6198.21070275893,-3072.97542356158,n/a,0.284318618111223,1.97493440180917,0.23646408839779,0.216758747697974,0.251749539594843,0.295027624309392,0,0.05,0.1,0,0.27,0.04,0.05,0.23,0.08,0.08,0.03,0.07
GTR+G+I,27,6370.61423876514,6192.70238595078,-3069.21124480804,0.42156484074504,0.987890149242551,1.87197367264203,0.23646408839779,0.216758747697974,0.251749539594843,0.295027624309392,0,0.05,0.11,0,0.25,0.05,0.05,0.22,0.08,0.09,0.03,0.07
TN93+G+I,24,6371.68620495495,6213.51555569593,-3082.64676952234,0.430698844824776,1.01052188805097,1.85882263995026,0.23646408839779,0.216758747697974,0.251749539594843,0.295027624309392,0.04,0.04,0.11,0.04,0.24,0.05,0.04,0.21,0.05,0.09,0.04,0.04
TN93+G,23,6371.99066152425,6220.40190756298,-3087.09884501346,n/a,0.279230281794562,1.99136663932872,0.23646408839779,0.216758747697974,0.251749539594843,0.295027624309392,0.04,0.04,0.1,0.04,0.26,0.05,0.04,0.22,0.05,0.08,0.04,0.04
T92+I,20,6374.26288442521,6242.42429289433,-3101.13449808333,0.5452045852309,n/a,1.53782199937505,0.226611418047882,0.226611418047882,0.273388581952118,0.273388581952118,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G+I,20,6379.31229368649,6247.47370215561,-3103.65920271397,0.48309650491965,1.74379069337815,1.6285672476221,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,6382.91623862109,6257.66252536695,-3109.76102238773,n/a,0.304658835365391,1.66212416249938,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+G+I,23,6386.61534696381,6235.02659300254,-3094.41118773323,0.473705227221704,1.43186418808755,1.74638907268295,0.23646408839779,0.216758747697974,0.251749539594843,0.295027624309392,0.04,0.05,0.19,0.04,0.16,0.05,0.04,0.14,0.05,0.15,0.04,0.05
