Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12963.6049171294,12784.3710313814,-6368.13923724872,0.46607217626386,0.888701862321584,2.77740034486494,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.03,0.09,0.03,0.31,0.04,0.03,0.27,0.04,0.07,0.03,0.03
TN93+G,23,12974.5684062605,12802.799044504,-6378.3569493691,n/a,0.247724950006163,2.81929122793561,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.03,0.09,0.03,0.32,0.04,0.03,0.27,0.04,0.07,0.03,0.03
GTR+G+I,27,12983.493326462,12781.8677271663,-6363.8755392505,0.459445737884039,0.849575820324198,2.7838871076702,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.05,0.09,0.03,0.31,0.03,0.04,0.27,0.03,0.07,0.02,0.03
GTR+G,26,12994.4027817544,12800.2407771651,-6374.06623445158,n/a,0.247746747244469,2.81453589895026,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.05,0.09,0.03,0.32,0.03,0.04,0.27,0.03,0.07,0.02,0.03
TN93+I,23,13013.2837946347,12841.5144328783,-6397.71464355621,0.594511435281665,n/a,2.16196146844322,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.04,0.12,0.04,0.26,0.05,0.04,0.22,0.05,0.09,0.03,0.04
T92+G+I,21,13018.1656639824,12861.3262789928,-6409.62751333971,0.554929236582272,1.77543615339422,2.4153732806589,0.224403387220939,0.224403387220939,0.275596612779061,0.275596612779061,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,13026.0303098068,12876.6563774492,-6418.29580380673,0.551082407495973,1.73713756574835,2.35644889270889,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G,20,13031.4303512554,12882.0564188979,-6420.99582453105,n/a,0.238046519218991,2.41427369078715,0.224403387220939,0.224403387220939,0.275596612779061,0.275596612779061,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.16,0.04,0.16,0.03,0.04
GTR+I,26,13035.3805329578,12841.2185283685,-6394.55511005324,0.593788015416522,n/a,2.15607852205536,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.04,0.05,0.12,0.04,0.26,0.04,0.04,0.22,0.04,0.09,0.03,0.03
K2+G,19,13036.9922829256,12895.0841126037,-6428.51275792096,n/a,0.240760684017239,2.35979008290818,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+I,20,13040.7293882845,12891.3554559269,-6425.64534304559,0.609121846492869,n/a,2.19339587792339,0.224403387220939,0.224403387220939,0.275596612779061,0.275596612779061,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.15,0.04,0.15,0.03,0.04
K2+I,19,13049.7149417168,12907.8067713949,-6434.87408731658,0.608611306484395,n/a,2.1502695265972,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,13055.3302545268,12883.5608927704,-6418.73787350226,0.552834176746644,1.70741496528444,2.47070936775346,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.04,0.21,0.03,0.18,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+G,22,13068.1673602497,12903.8628321033,-6429.89239391855,n/a,0.237159431456329,2.46763899298114,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.04,0.21,0.03,0.18,0.04,0.03,0.16,0.04,0.16,0.03,0.04
HKY+I,22,13079.7182413299,12915.4137131835,-6435.66783445864,0.60912686923685,n/a,2.22937200830108,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.03,0.04,0.2,0.04,0.18,0.05,0.04,0.15,0.05,0.16,0.03,0.04
JC+G+I,19,13462.8636060602,13320.9554357383,-6641.44841948827,0.562790967035912,2.74511872892217,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13472.76960636,13338.3275074059,-6651.13738719304,0.603947458133492,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13474.3172426007,13339.8751436465,-6651.91120531337,n/a,0.262202217886205,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,13827.0302749506,13662.7257468041,-6809.32385126896,n/a,n/a,1.79888277881861,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.04,0.05,0.1,0.04,0.25,0.05,0.04,0.22,0.05,0.08,0.04,0.05
GTR,25,13847.7926479788,13661.0945479292,-6805.49713511858,n/a,n/a,1.79818842654202,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.04,0.06,0.1,0.04,0.25,0.05,0.05,0.22,0.05,0.08,0.03,0.04
K2,18,13932.1064662168,13797.6643672626,-6880.80581712142,n/a,n/a,1.7567480116644,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92,19,13938.3107779092,13796.4026075873,-6879.17200541276,n/a,n/a,1.76208946542946,0.224403387220939,0.224403387220939,0.275596612779061,0.275596612779061,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY,21,13978.6514856486,13821.812100659,-6889.87042417281,n/a,n/a,1.75992071068713,0.227328714395689,0.221478060046189,0.258352578906851,0.29284064665127,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.05
JC,17,14303.3537830163,14176.3780646904,-7071.16544307601,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
