Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2478.42955845105,2359.22646507134,-1160.51678583516,n/a,0.152265872294211,1.5921079785671,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,2485.41958311437,2359.95284912384,-1159.8697985147,0.265996696907771,0.27719220962421,1.60699478042757,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,2487.54414258732,2362.07740859679,-1160.93207825118,n/a,0.153073581944264,1.58738750122256,0.242171717171717,0.242171717171717,0.257828282828283,0.257828282828283,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G,23,2493.6177331115,2349.36623691866,-1151.54287455689,n/a,0.177534577853511,1.67947009973901,0.266919191919192,0.217424242424242,0.249494949494949,0.266161616161616,0.04,0.05,0.06,0.05,0.27,0.05,0.05,0.24,0.05,0.06,0.04,0.05
T92+G+I,21,2494.83276875204,2363.10342023433,-1160.43439168141,0.248696523103,0.267117670774383,1.60093579662199,0.242171717171717,0.242171717171717,0.257828282828283,0.257828282828283,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G+I,24,2500.73085971326,2350.21983193861,-1150.95743820565,0.143998335836479,0.236257658827761,1.69155083130957,0.266919191919192,0.217424242424242,0.249494949494949,0.266161616161616,0.04,0.05,0.06,0.05,0.27,0.05,0.05,0.24,0.05,0.06,0.04,0.05
JC+G,18,2501.12291571689,2388.18448825057,-1176.00546412021,n/a,0.157626948178977,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+G,26,2503.96077550464,2340.93377299922,-1144.28839679709,n/a,0.181704229143512,1.67645445048008,0.266919191919192,0.217424242424242,0.249494949494949,0.266161616161616,0.06,0.03,0.06,0.08,0.27,0.09,0.03,0.24,0.01,0.06,0.07,0.01
HKY+G,22,2508.20163464638,2370.21069846701,-1162.97682497646,n/a,0.153116949876716,1.61418910842092,0.266919191919192,0.217424242424242,0.249494949494949,0.266161616161616,0.04,0.05,0.16,0.05,0.15,0.05,0.05,0.13,0.05,0.16,0.04,0.05
JC+G+I,19,2509.40427355377,2390.20118017407,-1176.00414338653,0.0727770512621476,0.184894829179274,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
