Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,7193.2764275282,7058.73382870245,-3509.29905201482,n/a,0.294360441313733,1.9850929849554,0.205072463768116,0.205072463768116,0.294927536231884,0.294927536231884,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+G,23,7200.56728309674,7045.86567858068,-3499.8436055367,n/a,0.298775197244958,2.07741752040829,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.03,0.04,0.14,0.03,0.26,0.05,0.03,0.2,0.05,0.09,0.03,0.04
T92+G+I,21,7201.25504251315,7059.99212410664,-3508.92140141983,0.417975915145136,1.02541664274725,1.98164569100893,0.205072463768116,0.205072463768116,0.294927536231884,0.294927536231884,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
TN93+G+I,24,7207.78761461222,7046.36764419892,-3499.08681320698,0.400010587687878,0.956802695668642,2.07138556656224,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.03,0.04,0.13,0.03,0.26,0.05,0.03,0.2,0.05,0.09,0.03,0.04
K2+G,19,7212.33247337116,7084.51084472282,-3523.19403302377,n/a,0.302754051993682,1.87429006587862,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G,26,7212.80258576775,7037.94783945545,-3492.86038260982,n/a,0.299680324174215,2.05008938397409,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.06,0.04,0.14,0.06,0.26,0.02,0.03,0.19,0.05,0.09,0.01,0.04
HKY+G,22,7214.05729068073,7066.07470360555,-3510.95556741616,n/a,0.293811632169842,2.01605163240274,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.03,0.04,0.22,0.03,0.18,0.05,0.03,0.14,0.05,0.14,0.03,0.04
GTR+G+I,27,7219.19534606613,7037.62419038482,-3491.68980467154,0.407049486337267,0.993274391899205,2.04702775202833,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.06,0.04,0.14,0.06,0.26,0.02,0.03,0.19,0.05,0.09,0.01,0.04
K2+G+I,20,7221.19586808971,7086.65326926396,-3523.25877229558,0.370795509835866,0.824184948863651,1.87512199029399,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G+I,23,7222.64327943692,7067.94167492086,-3510.88160370679,0.40833264271971,0.96899895575734,2.01212305967337,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.03,0.04,0.22,0.03,0.18,0.05,0.03,0.14,0.05,0.14,0.03,0.04
T92+I,20,7227.19925165308,7092.65665282733,-3526.26046407726,0.540237624218981,n/a,1.75587908425484,0.205072463768116,0.205072463768116,0.294927536231884,0.294927536231884,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+I,23,7235.78314629214,7081.08154177608,-3517.4515371344,0.533672229718284,n/a,1.76110748909909,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.04,0.05,0.14,0.04,0.23,0.06,0.04,0.18,0.06,0.09,0.04,0.05
GTR+I,26,7246.49046093167,7071.63571461936,-3509.70432019178,0.532201987342984,n/a,1.7506013867698,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.07,0.04,0.14,0.07,0.23,0.04,0.03,0.18,0.05,0.09,0.02,0.05
HKY+I,22,7250.81752598165,7102.83493890647,-3529.33568506662,0.539655279928016,n/a,1.76435986077364,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.04,0.05,0.21,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
K2+I,19,7252.34051116432,7124.51888251598,-3543.19805192035,0.53934170705005,n/a,1.6689632800243,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G,18,7380.16421650735,7259.06420831779,-3611.47686267933,n/a,0.327049076918007,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,7388.53807815525,7260.71644950691,-3611.29683541582,0.399690598714209,1.07626732680347,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,7412.68609677726,7291.5860885877,-3627.73780281428,0.535611971245757,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,7661.01387258043,7513.03128550526,-3734.43385836601,n/a,n/a,1.43510475579397,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.04,0.05,0.13,0.04,0.22,0.06,0.04,0.17,0.06,0.08,0.04,0.05
T92,19,7668.07701039491,7540.25538174657,-3751.06630153564,n/a,n/a,1.42327080468974,0.205072463768116,0.205072463768116,0.294927536231884,0.294927536231884,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2,18,7675.46619061232,7554.36618242276,-3759.12784973181,n/a,n/a,1.40943032832691,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR,25,7677.27121443539,7509.13352998458,-3729.4616550311,n/a,n/a,1.43879773402672,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.06,0.05,0.13,0.06,0.22,0.04,0.04,0.17,0.07,0.08,0.03,0.06
HKY,21,7689.34957497841,7548.0866565719,-3752.96866765247,n/a,n/a,1.42371611775338,0.20402576489533,0.206119162640902,0.271014492753623,0.318840579710145,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.12,0.06,0.12,0.04,0.05
