Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,5213.48183879039,5088.80067350598,-2525.32795580061,n/a,0.26166444491236,1.85278601108902,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,5215.98687676152,5091.30571147711,-2526.58047478617,0.602836803745353,n/a,1.72910663897315,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,5217.19015029782,5085.95446794911,-2522.89721873356,0.550885500068975,2.26906655944403,1.82630762878182,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,5222.40740245322,5091.17172010451,-2525.50584481126,n/a,0.259907635415571,1.86542605891586,0.241555977229602,0.241555977229602,0.258444022770398,0.258444022770398,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
T92+I,20,5224.78442951768,5093.54874716897,-2526.69435834349,0.603357142290136,n/a,1.7397319088925,0.241555977229602,0.241555977229602,0.258444022770398,0.258444022770398,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G+I,21,5226.13489447843,5088.34546307935,-2523.08469800309,0.552565044058829,2.29652284061096,1.83782853755527,0.241555977229602,0.241555977229602,0.258444022770398,0.258444022770398,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93+G,23,5236.64295351702,5085.74832981585,-2519.76894188086,n/a,0.279418359677634,1.86824435983015,0.26280834914611,0.220303605313093,0.257115749525617,0.25977229601518,0.04,0.04,0.11,0.05,0.24,0.04,0.05,0.2,0.04,0.11,0.04,0.04
TN93+G+I,24,5240.28458218043,5082.83851610675,-2517.30486339179,0.517531985878425,1.74273800715937,1.84382877227565,0.26280834914611,0.220303605313093,0.257115749525617,0.25977229601518,0.04,0.04,0.11,0.05,0.24,0.05,0.05,0.2,0.05,0.11,0.04,0.04
TN93+I,23,5241.23202469942,5090.33740099824,-2522.06347747205,0.593365526088759,n/a,1.70207948819495,0.26280834914611,0.220303605313093,0.257115749525617,0.25977229601518,0.04,0.05,0.12,0.05,0.22,0.05,0.05,0.18,0.05,0.12,0.04,0.05
HKY+G,22,5245.4100727385,5101.06766074212,-2528.43739431236,n/a,0.258812095432842,1.90284287391423,0.26280834914611,0.220303605313093,0.257115749525617,0.25977229601518,0.04,0.04,0.17,0.05,0.17,0.04,0.05,0.14,0.04,0.17,0.04,0.04
