Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,15571.0435965351,15391.7356366553,-7671.82168222613,0.406887808199574,2.16118831563548,2.02252269192826,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.03,0.05,0.12,0.04,0.28,0.05,0.04,0.19,0.05,0.09,0.03,0.05
GTR+G+I,27,15582.5887275929,15380.8797563013,-7663.38173324985,0.405335964917944,2.23233393824539,2.01003646520994,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.02,0.05,0.12,0.02,0.28,0.04,0.04,0.19,0.06,0.09,0.03,0.06
TN93+G,23,15587.615579536,15415.775241023,-7684.84517856163,n/a,0.40703993912544,2.17569555597075,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.03,0.05,0.11,0.03,0.29,0.04,0.03,0.2,0.04,0.09,0.03,0.05
TN93+I,23,15590.6395157147,15418.7991772017,-7686.35714665099,0.466348891063617,n/a,1.80164596761266,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.04,0.05,0.13,0.04,0.26,0.05,0.04,0.17,0.05,0.1,0.04,0.05
T92+G+I,21,15603.6881181116,15446.7839482494,-7702.35645751953,0.414984510443064,2.28953502214535,1.90251508182839,0.209631619339985,0.209631619339985,0.290368380660015,0.290368380660015,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,15610.8453991294,15416.603122789,-7682.24757385315,n/a,0.428801997915823,1.91385133054245,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.03,0.05,0.12,0.04,0.27,0.03,0.04,0.18,0.06,0.09,0.02,0.06
GTR+I,26,15616.1449174258,15421.9026410854,-7684.89733300136,0.466841994271496,n/a,1.64349446094669,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.04,0.05,0.13,0.04,0.24,0.04,0.04,0.16,0.06,0.1,0.03,0.07
T92+G,20,15618.8143374718,15469.3787147512,-7714.6570720347,n/a,0.417120261087247,1.98745748478019,0.209631619339985,0.209631619339985,0.290368380660015,0.290368380660015,0.03,0.05,0.19,0.03,0.19,0.05,0.03,0.14,0.05,0.14,0.03,0.05
HKY+G+I,23,15618.8166708748,15446.9763323618,-7700.44572423104,0.41929694340283,2.41419877275006,1.90504659380669,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.03,0.05,0.19,0.04,0.2,0.05,0.04,0.13,0.05,0.14,0.03,0.05
T92+I,20,15622.2032048078,15472.7675820873,-7716.35150570273,0.472410868448853,n/a,1.76021772913937,0.209631619339985,0.209631619339985,0.290368380660015,0.290368380660015,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+I,22,15635.3573152124,15470.984906729,-7713.45355123487,0.472974371144265,n/a,1.76873352921846,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.04,0.05,0.18,0.04,0.19,0.05,0.04,0.13,0.05,0.14,0.04,0.05
HKY+G,22,15635.761742732,15471.3893342486,-7713.65576499469,n/a,0.416686738722908,1.99216730766697,0.217191097467383,0.202072141212586,0.297774366845741,0.28296239447429,0.03,0.05,0.19,0.04,0.2,0.05,0.04,0.14,0.05,0.15,0.03,0.05
K2+G+I,20,15699.3537294344,15549.9181067138,-7754.92676801599,0.419940253933993,2.89334614397728,1.75997238577866,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,15709.6831715813,15567.7164044517,-7764.82899392452,0.469075570379657,n/a,1.67454513926839,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,15716.9934494655,15575.0266823359,-7768.48413286663,n/a,0.449688579478456,1.82841493133302,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G+I,19,16085.6466935486,15943.679926419,-7952.81075490818,0.431630110331212,4.49999231317061,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
