Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,8003.39529620726,7869.53144719532,-3915.72101771531,n/a,0.263282041257928,1.86700694685686,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,8008.0570349469,7867.15243770751,-3913.52680127522,0.403275933679802,0.696229796681031,1.88720957019362,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,8014.98511107356,7874.08051383417,-3916.99083933855,n/a,0.262362337240344,1.87527468070962,0.238908450704225,0.238908450704225,0.261091549295775,0.261091549295775,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93+G,23,8015.95737586103,7853.93337210791,-3903.90171430254,n/a,0.282323213188838,1.89905560693128,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.04,0.04,0.11,0.05,0.24,0.05,0.05,0.21,0.05,0.1,0.04,0.04
T92+G+I,21,8019.92085366806,7871.975981118,-3914.93362482589,0.401730595926432,0.690944865552611,1.89414785624224,0.238908450704225,0.238908450704225,0.261091549295775,0.261091549295775,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.16,0.05,0.16,0.04,0.05
TN93+G+I,24,8020.56381391302,7851.50095460171,-3901.67984751863,0.366733807630601,0.661721650796575,1.91976272745435,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.04,0.04,0.11,0.04,0.24,0.05,0.04,0.22,0.05,0.1,0.04,0.04
GTR+G,26,8028.42560808145,7845.28645857643,-3896.56057298302,n/a,0.28069997767158,1.87695250228453,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.05,0.04,0.11,0.07,0.23,0.05,0.05,0.21,0.03,0.1,0.04,0.02
GTR+G+I,27,8033.46151052023,7843.28492671434,-3894.5534383925,0.370848420661407,0.674266748300116,1.89519555626018,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.05,0.04,0.11,0.07,0.24,0.05,0.05,0.21,0.03,0.1,0.04,0.02
K2+I,19,8036.3987551621,7902.53490615016,-3932.22274719273,0.603883379558658,n/a,1.71926093826627,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+G,22,8045.88969703143,7890.90502225444,-3923.39296069766,n/a,0.261635110216306,1.97363687987898,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.04,0.04,0.19,0.05,0.15,0.05,0.05,0.14,0.05,0.18,0.04,0.04
T92+I,20,8048.00233783048,7907.09774059109,-3933.499452717,0.603934876176783,n/a,1.72414256329355,0.238908450704225,0.238908450704225,0.261091549295775,0.261091549295775,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G+I,23,8051.04550640435,7889.02150265124,-3921.44577957421,0.413741057945044,0.729636400818336,1.99178530952944,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.04,0.04,0.19,0.05,0.15,0.05,0.05,0.14,0.05,0.18,0.04,0.04
TN93+I,23,8052.59897152583,7890.57496777272,-3922.22251213495,0.588964201360428,n/a,1.7023776277358,0.267370892018779,0.210446009389671,0.231807511737089,0.29037558685446,0.04,0.04,0.12,0.05,0.21,0.05,0.05,0.19,0.05,0.11,0.04,0.04
