Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,8715.96315315414,8579.12551299462,-4269.50222904378,0.419615915175314,1.93428198689032,1.82228678113434,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,8724.65389073276,8580.98044050353,-4269.42363045643,0.419714458949935,1.9328526182464,1.82447978936199,0.247557471264368,0.247557471264368,0.252442528735632,0.252442528735632,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,8726.59883533512,8596.59758510833,-4279.24403751094,n/a,0.359948748908789,1.93046880832796,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G+I,24,8729.10836874077,8564.93096998894,-4258.37896733045,0.399347427733575,1.65516920204913,1.9336703729243,0.254166666666667,0.240948275862069,0.226149425287356,0.278735632183908,0.04,0.04,0.11,0.04,0.22,0.05,0.04,0.24,0.05,0.1,0.04,0.04
K2+I,19,8730.53677205117,8600.53552182438,-4281.21300586896,0.47056309886113,n/a,1.63865488170552,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G,20,8735.31762020793,8598.47998004841,-4279.17946257068,n/a,0.359628484038985,1.93284020557187,0.247557471264368,0.247557471264368,0.252442528735632,0.252442528735632,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G,23,8737.75640455288,8580.4130747765,-4267.12695261316,n/a,0.364420594433035,2.07512372387734,0.254166666666667,0.240948275862069,0.226149425287356,0.278735632183908,0.04,0.04,0.1,0.04,0.24,0.04,0.04,0.25,0.04,0.09,0.04,0.04
T92+I,20,8739.26734937103,8602.4297092115,-4281.15432715223,0.470625269847789,n/a,1.64026172304665,0.247557471264368,0.247557471264368,0.252442528735632,0.252442528735632,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G+I,27,8743.56873275692,8558.89261328607,-4252.33724720853,0.386190580475217,1.46608209227797,1.94604947764944,0.254166666666667,0.240948275862069,0.226149425287356,0.278735632183908,0.03,0.06,0.11,0.03,0.22,0.04,0.07,0.24,0.04,0.1,0.03,0.03
TN93+I,23,8748.57414901559,8591.23081923921,-4272.53582484452,0.463356110880432,n/a,1.65282411657765,0.254166666666667,0.240948275862069,0.226149425287356,0.278735632183908,0.04,0.04,0.12,0.05,0.2,0.05,0.05,0.21,0.05,0.11,0.04,0.04
