Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,26495.6728917029,26277.5094808667,-13111.7230980426,0.469230056737698,1.66649689886751,2.50553576346603,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.02,0.03,0.11,0.02,0.27,0.04,0.03,0.24,0.06,0.1,0.03,0.05
TN93+G+I,24,26513.152159292,26319.2230940097,-13135.5864371492,0.467156473179324,1.55076241624076,2.51808196316119,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.03,0.04,0.11,0.03,0.27,0.04,0.03,0.24,0.04,0.1,0.03,0.04
GTR+G,26,26529.0808823111,26318.9954188819,-13133.4683284507,n/a,0.305756117774258,2.68918252737823,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.02,0.03,0.11,0.02,0.28,0.03,0.03,0.25,0.06,0.09,0.03,0.05
TN93+G,23,26548.5753318656,26362.724717281,-13158.3392585401,n/a,0.299400262243486,2.73112106533154,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.03,0.03,0.11,0.03,0.29,0.04,0.03,0.25,0.04,0.09,0.03,0.03
GTR+I,26,26559.5960909177,26349.5106274885,-13148.725932754,0.539086387641397,n/a,2.16023441469555,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.02,0.03,0.12,0.02,0.24,0.04,0.03,0.21,0.06,0.11,0.04,0.06
TN93+I,23,26581.2156377532,26395.3650231686,-13174.6594114839,0.540510771262992,n/a,2.12914110280526,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.04,0.04,0.12,0.04,0.24,0.04,0.04,0.21,0.04,0.11,0.04,0.04
T92+G+I,21,26584.0374260206,26414.3442159746,-13186.1527758256,0.496526881505317,1.90656690061319,2.38788227319992,0.234155518394649,0.234155518394649,0.265844481605351,0.265844481605351,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
T92+G,20,26621.4538696911,26459.839613444,-13209.9022327649,n/a,0.294147429286461,2.47321373584596,0.234155518394649,0.234155518394649,0.265844481605351,0.265844481605351,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
K2+G+I,20,26625.8996466416,26464.2853903944,-13212.1251212401,0.496877981930281,2.00032371377264,2.32891074895373,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,26635.1929089669,26449.3422943823,-13201.6480470907,0.497458093515985,1.9166651202409,2.43858364774148,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.16,0.04,0.17,0.03,0.04
T92+I,20,26639.0225382274,26477.4082819803,-13218.6865670331,0.550624292205581,n/a,2.14722548049373,0.234155518394649,0.234155518394649,0.265844481605351,0.265844481605351,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,26663.0231728751,26509.4880380851,-13235.7281194609,n/a,0.299538257115698,2.41060249336026,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
HKY+G,22,26672.67414829,26494.9021521245,-13225.4299018563,n/a,0.292993038916657,2.52877956966275,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.03,0.04,0.2,0.03,0.18,0.04,0.03,0.16,0.04,0.17,0.03,0.04
K2+I,19,26677.3174123428,26523.7822775528,-13242.8752391948,0.549745513512363,n/a,2.11456412265918,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,26690.3253072904,26512.5533111249,-13234.2554813565,0.550889226886466,n/a,2.18537445486172,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.04,0.04,0.19,0.04,0.17,0.04,0.04,0.15,0.04,0.17,0.04,0.04
JC+G+I,19,27557.8644744834,27404.3293396933,-13683.1487702651,0.512113134670244,3.53772411283607,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,27578.264584655,27432.8087389593,-13698.3900604549,0.544758363910346,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,27608.8984348276,27463.4425891319,-13713.7069855412,n/a,0.337093847289466,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,28136.9832984748,27934.9759502373,-13942.4607716366,n/a,n/a,1.55663006309329,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.04,0.04,0.11,0.04,0.22,0.05,0.04,0.19,0.07,0.09,0.04,0.07
TN93,22,28152.2636660008,27974.4916698353,-13965.2246607117,n/a,n/a,1.75691805175633,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.04,0.05,0.11,0.04,0.23,0.05,0.04,0.21,0.05,0.09,0.04,0.05
T92,19,28338.7441482293,28185.2090134393,-14073.5886071381,n/a,n/a,1.7368739958012,0.234155518394649,0.234155518394649,0.265844481605351,0.265844481605351,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2,18,28348.0588344501,28202.6029887544,-14083.2871853525,n/a,n/a,1.73582044535063,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY,21,28397.7278521368,28228.0346420908,-14092.9979888837,n/a,n/a,1.73505750070453,0.244021739130435,0.224289297658863,0.252759197324415,0.278929765886288,0.04,0.05,0.18,0.04,0.16,0.05,0.04,0.14,0.05,0.15,0.04,0.05
JC,17,29140.8312189313,29003.4548299461,-14484.7146126971,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
