Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,5535.22373943205,5412.21231040377,-2687.02715312288,n/a,0.476887975108592,1.99476504198552,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,5543.10456243185,5413.627199988,-2686.72626374946,0.17913046633248,0.740215305045011,1.99745746164173,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,5543.99881234016,5414.52144989631,-2687.17338870361,n/a,0.475767134822205,1.99948178633883,0.245755693581781,0.245755693581781,0.254244306418219,0.254244306418219,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G,23,5550.45345097767,5401.58332366372,-2677.6768054024,n/a,0.495728623721667,2.0739158761058,0.276811594202899,0.214699792960663,0.236853002070393,0.271635610766046,0.03,0.04,0.11,0.04,0.24,0.04,0.04,0.22,0.04,0.11,0.03,0.04
T92+G+I,21,5551.81226829996,5415.86981132088,-2686.83881581019,0.187587647746011,0.758040011019944,2.00270417037639,0.245755693581781,0.245755693581781,0.254244306418219,0.254244306418219,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G+I,24,5557.60305087617,5402.27034881097,-2677.01030447833,0.233807093021542,0.95511757720348,2.07663226971908,0.276811594202899,0.214699792960663,0.236853002070393,0.271635610766046,0.03,0.04,0.11,0.04,0.24,0.04,0.04,0.22,0.04,0.11,0.03,0.04
K2+I,19,5561.0334205965,5438.02199156822,-2699.93199370511,0.437086455435415,n/a,1.86024862533525,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+I,20,5569.20969377642,5439.73233133257,-2699.77882942174,0.437701331835388,n/a,1.86702959027431,0.245755693581781,0.245755693581781,0.254244306418219,0.254244306418219,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+I,23,5571.26470045625,5422.39457314231,-2688.08243014169,0.42449265163921,n/a,1.90626510142047,0.276811594202899,0.214699792960663,0.236853002070393,0.271635610766046,0.04,0.04,0.11,0.05,0.23,0.05,0.05,0.21,0.05,0.11,0.04,0.04
GTR+G,26,5572.06815695729,5403.81282884616,-2675.76025577224,n/a,0.499575864839676,2.06125066153214,0.276811594202899,0.214699792960663,0.236853002070393,0.271635610766046,0.04,0.03,0.11,0.05,0.24,0.06,0.04,0.22,0.03,0.11,0.05,0.03
