Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11182.3533739983,11010.1851404189,-5481.03049054054,0.412609400180132,0.943291734219985,1.94812275513481,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.04,0.04,0.11,0.04,0.24,0.05,0.04,0.22,0.05,0.09,0.04,0.04
T92+G+I,21,11185.4899062498,11034.8296354716,-5496.36703122362,0.461393752579071,1.21288624711109,1.89114867711257,0.231527347781218,0.231527347781218,0.268472652218782,0.268472652218782,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G,23,11185.5339763862,11020.5346479472,-5487.21021658691,n/a,0.294575890739568,1.99972998861428,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.04,0.04,0.11,0.04,0.25,0.05,0.04,0.23,0.05,0.09,0.04,0.04
K2+G+I,20,11192.9573719163,11049.4672534004,-5504.69018890931,0.460733759853407,1.23530788519272,1.85267843304835,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,11193.2741626635,11049.7840441476,-5504.84858428292,n/a,0.285108466876793,1.92020413033474,0.231527347781218,0.231527347781218,0.268472652218782,0.268472652218782,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G,19,11200.0985622642,11063.7790114598,-5512.85020893569,n/a,0.288591298933614,1.88097224545509,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G+I,27,11206.1204723927,11012.4480197004,-5479.14576518038,0.404674445198208,0.908811978849676,1.96293568969985,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.03,0.05,0.11,0.03,0.24,0.04,0.04,0.22,0.06,0.09,0.03,0.05
GTR+G,26,11207.9830830222,11021.478287187,-5484.66649534762,n/a,0.295527279886659,2.01008684489465,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.03,0.05,0.11,0.03,0.25,0.04,0.04,0.23,0.06,0.09,0.03,0.05
HKY+G+I,23,11215.4509334074,11050.4516049685,-5502.16869509754,0.461139722657315,1.21204400033917,1.92788736224457,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.04,0.04,0.19,0.04,0.16,0.05,0.04,0.15,0.05,0.15,0.04,0.04
HKY+G,22,11223.1290806702,11065.299073208,-5510.59719358134,n/a,0.285144996278441,1.95799672368063,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.04,0.04,0.19,0.04,0.17,0.05,0.04,0.15,0.05,0.16,0.04,0.04
T92+I,20,11229.138973945,11085.648855429,-5522.78098992363,0.548967146168779,n/a,1.66533516866522,0.231527347781218,0.231527347781218,0.268472652218782,0.268472652218782,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+I,19,11235.7412238336,11099.4216730292,-5530.6715397204,0.548450264774189,n/a,1.64287935540298,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+I,23,11236.7203162295,11071.7209877906,-5512.8033865086,0.541069096626631,n/a,1.62836743879301,0.23405572755418,0.228998968008256,0.24953560371517,0.287409700722394,0.04,0.05,0.13,0.04,0.21,0.05,0.04,0.19,0.05,0.1,0.04,0.05
