Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,4408.12470187864,4286.21562261204,-2124.02411086549,n/a,0.20349295340379,2.86285579010976,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G,20,4416.43417507819,4288.11767981718,-2123.96630851401,n/a,0.203363472114252,2.86828189459596,0.246929824561404,0.246929824561404,0.253070175438597,0.253070175438597,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,4416.54986625208,4288.23337099107,-2124.02415410095,0.00001,0.203499048724579,2.86369759402861,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
K2+I,19,4419.8241981073,4297.9151188407,-2129.87385897982,0.634003858756056,n/a,2.54335663990578,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G+I,21,4424.85938379308,4290.13636176724,-2123.9663739202,0.00001,0.203370104953179,2.86954854580979,0.246929824561404,0.246929824561404,0.253070175438597,0.253070175438597,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+G,22,4426.04011775393,4284.91145878082,-2120.34420194937,n/a,0.203674027983052,2.89628151967641,0.232456140350877,0.26140350877193,0.230482456140351,0.275657894736842,0.03,0.03,0.21,0.03,0.17,0.04,0.03,0.19,0.04,0.17,0.03,0.03
T92+I,20,4428.09127939468,4299.77478413367,-2129.79486067226,0.634101684317159,n/a,2.54734153058931,0.246929824561404,0.246929824561404,0.253070175438597,0.253070175438597,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.04
TN93+G,23,4428.27722344681,4280.74381793251,-2117.25021584456,n/a,0.208885150918951,2.91203998234695,0.232456140350877,0.26140350877193,0.230482456140351,0.275657894736842,0.03,0.03,0.15,0.03,0.22,0.03,0.03,0.25,0.03,0.13,0.03,0.03
TN93+G+I,24,4434.25915523366,4280.32189417324,-2116.02864278673,0.533650046594236,1.03200229015773,3.03182209662428,0.232456140350877,0.26140350877193,0.230482456140351,0.275657894736842,0.03,0.03,0.14,0.03,0.23,0.03,0.03,0.26,0.03,0.12,0.03,0.03
HKY+G+I,23,4434.28581175473,4286.75240624042,-2120.25450999852,0.547899126881687,1.15228635035801,2.93947153297059,0.232456140350877,0.26140350877193,0.230482456140351,0.275657894736842,0.03,0.03,0.21,0.03,0.17,0.03,0.03,0.2,0.03,0.17,0.03,0.03
