Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,9704.41894818422,9537.21108895009,-4744.52925712603,0.335272826067656,0.88651841669746,2.51955803535637,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.03,0.04,0.08,0.03,0.3,0.04,0.03,0.27,0.04,0.07,0.03,0.04
TN93+G,23,9706.2300103731,9545.98327873197,-4749.92146392739,n/a,0.333080397890176,2.76423788559981,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.03,0.03,0.08,0.03,0.31,0.04,0.03,0.28,0.04,0.06,0.03,0.03
GTR+G+I,27,9717.15856005082,9529.07038935361,-4737.43903593857,0.350741066648108,1.00721411053568,2.44593977067702,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.02,0.04,0.09,0.02,0.3,0.03,0.03,0.27,0.06,0.07,0.02,0.06
GTR+G,26,9720.99498253473,9539.86640357725,-4743.84392288744,n/a,0.347101688304331,2.65330672254115,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.02,0.04,0.08,0.02,0.31,0.02,0.03,0.28,0.06,0.06,0.02,0.05
TN93+I,23,9750.79500654923,9590.54827490811,-4772.20396201546,0.475953594221285,n/a,1.87389631006992,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.04,0.04,0.1,0.04,0.25,0.05,0.04,0.22,0.05,0.08,0.04,0.04
T92+G+I,21,9751.83930482319,9605.51636285497,-4781.69946256628,0.390400443315135,1.19952065792793,2.1443313160149,0.229594423320659,0.229594423320659,0.270405576679341,0.270405576679341,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,9754.81195270135,9615.45167242303,-4787.67246221228,n/a,0.352568995205817,2.18487188859589,0.229594423320659,0.229594423320659,0.270405576679341,0.270405576679341,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,9758.99461139446,9577.86603243698,-4762.84373731731,0.47521048292808,n/a,1.88567167394459,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.02,0.04,0.1,0.02,0.25,0.04,0.04,0.23,0.07,0.08,0.04,0.06
K2+G+I,20,9768.28063723071,9628.92035695239,-4794.40680447696,0.400088485025767,1.34909912488252,2.07360021128592,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,9772.42262553482,9640.02551792218,-4800.96447433593,n/a,0.362567558887393,2.11369052304093,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,9775.39040818461,9615.14367654349,-4784.50166283315,0.388812676277864,1.18263276534432,2.17006730223511,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.04,0.04,0.19,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+G,22,9778.1223891906,9624.83729670313,-4790.35432904306,n/a,0.351921256099851,2.21055569543778,0.226996197718631,0.232192648922687,0.257794676806084,0.283016476552598,0.04,0.04,0.2,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
