Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,14186.8834508956,14032.7036597496,-6995.31140285346,0.47479175002517,2.17021061702324,1.59528885524046,0.207947598253275,0.207947598253275,0.292052401746725,0.292052401746725,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+G+I,27,14197.5556959688,13999.3529568426,-6972.61029036316,0.449393957886132,1.58256996405945,1.66658310804828,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.02,0.08,0.14,0.02,0.22,0.03,0.06,0.18,0.07,0.09,0.02,0.06
TN93+G+I,24,14203.6076621045,14027.4148147117,-6989.65489094447,0.46659585983117,1.94372653095896,1.64872338846976,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.04,0.05,0.14,0.04,0.22,0.06,0.04,0.17,0.06,0.09,0.04,0.05
T92+I,20,14215.4797150511,14068.6383121153,-7014.28240743573,0.515323170141568,n/a,1.43131225986309,0.207947598253275,0.207947598253275,0.292052401746725,0.292052401746725,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,14216.197265371,14047.3417519043,-7000.62256508222,0.470943805817783,2.0500639957755,1.59703364447323,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.12,0.04,0.05
GTR+G,26,14219.0075282033,14028.1410678884,-6988.0090789849,n/a,0.316341582403149,1.73246895937593,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.02,0.08,0.14,0.02,0.23,0.02,0.06,0.18,0.07,0.09,0.02,0.06
T92+G,20,14220.6011524374,14073.7597495016,-7016.84312612887,n/a,0.316934228740237,1.6932597680408,0.207947598253275,0.207947598253275,0.292052401746725,0.292052401746725,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G,23,14234.0131259346,14065.1576124679,-7009.53049536402,n/a,0.31335208857232,1.77040421828374,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.04,0.05,0.14,0.04,0.23,0.05,0.04,0.18,0.05,0.09,0.04,0.05
TN93+I,23,14238.0510551493,14069.1955416826,-7011.54945997138,0.513203321995928,n/a,1.44019708901104,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.04,0.06,0.15,0.04,0.2,0.06,0.04,0.16,0.06,0.09,0.04,0.06
GTR+I,26,14242.8729413569,14052.0064810419,-6999.94178556166,0.511719792466711,n/a,1.46505104829778,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.03,0.07,0.15,0.03,0.2,0.04,0.05,0.16,0.08,0.1,0.03,0.07
HKY+G,22,14247.581729696,14086.0639016757,-7020.98766974919,n/a,0.317213300855766,1.6928893627955,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.14,0.06,0.13,0.04,0.05
HKY+I,22,14248.0325359772,14086.5147079569,-7021.21307288981,0.514723941967485,n/a,1.42393579962593,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.04,0.06,0.18,0.04,0.16,0.06,0.04,0.13,0.06,0.12,0.04,0.06
K2+G+I,20,14286.5798150147,14139.7384120789,-7049.83245741754,0.474664971124337,2.45970834219006,1.46255424609452,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,14309.1991001497,14169.6964366675,-7065.81497248949,0.513827278916366,n/a,1.35133338732647,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,14318.7214688182,14179.218805336,-7070.57615682375,n/a,0.335203748453229,1.53542274054394,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,14512.0691996038,14372.5665361217,-7167.25002221659,0.482410653382372,3.47402595615111,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14523.20696348,14391.0433906028,-7177.49177665913,0.511976684388338,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,14551.7764873661,14419.612914489,-7191.7765386022,n/a,0.360316360236188,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,15150.1698685413,14966.640038835,-7458.26312165839,n/a,n/a,1.17599253404664,0.199301310043668,0.216593886462882,0.276244541484716,0.307860262008734,0.03,0.08,0.14,0.03,0.18,0.04,0.06,0.14,0.09,0.09,0.03,0.08
