Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,8914.25798569318,8746.23750969817,-4349.04499947109,0.407537723320446,0.88875288418713,3.00919552460288,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.03,0.03,0.09,0.03,0.31,0.03,0.03,0.27,0.03,0.09,0.03,0.03
TN93+G,23,8918.08122024584,8757.05592615814,-4355.4601164714,n/a,0.286800163090094,3.18208451341085,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.02,0.03,0.08,0.03,0.32,0.03,0.03,0.28,0.03,0.09,0.02,0.03
GTR+G+I,27,8924.80520726065,8735.8021542858,-4340.80811108289,0.412537530750436,0.947184451360961,3.00856584818068,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.01,0.03,0.09,0.01,0.31,0.05,0.04,0.27,0.03,0.09,0.04,0.03
GTR+G,26,8927.44365343495,8745.43429781386,-4346.63083389402,n/a,0.288030166544034,3.24248620849645,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0,0.03,0.08,0.01,0.32,0.05,0.04,0.28,0.03,0.09,0.04,0.03
K2+G+I,20,8931.5681376529,8791.5313554759,-4375.71407434687,0.449405359777203,1.06729216109019,2.67072316707115,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,19,8931.66559780882,8798.62597439098,-4380.26630414881,n/a,0.284330832379161,2.67575205278995,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G+I,21,8938.12937568624,8791.09592868979,-4374.49119363956,0.453214053238487,1.08707857770041,2.68543959016578,0.245833333333333,0.245833333333333,0.254166666666667,0.254166666666667,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G,20,8938.73316073892,8798.69637856191,-4379.29658588988,n/a,0.283274877119408,2.6915901149515,0.245833333333333,0.245833333333333,0.254166666666667,0.254166666666667,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+I,23,8949.99627798017,8788.97098389248,-4371.41764533857,0.545468468555905,n/a,2.35627340758006,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.03,0.04,0.11,0.04,0.26,0.04,0.04,0.23,0.04,0.11,0.03,0.04
GTR+I,26,8954.76716830912,8772.75781268803,-4360.2925913311,0.543090391274092,n/a,2.35888532316333,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.02,0.03,0.11,0.02,0.26,0.07,0.03,0.23,0.03,0.11,0.06,0.03
K2+I,19,8962.92895018051,8829.88932676267,-4395.89798033465,0.560285774578275,n/a,2.31626909816759,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,8968.80557508933,8828.76879291233,-4394.33279306508,0.56080588560288,n/a,2.33108499413112,0.245833333333333,0.245833333333333,0.254166666666667,0.254166666666667,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,8979.42448808452,8818.39919399682,-4386.13175039074,0.462647869366634,1.15185550648237,2.79949520106134,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.03,0.03,0.19,0.04,0.18,0.04,0.04,0.16,0.04,0.2,0.03,0.03
HKY+G,22,8980.46640823625,8826.43679054216,-4391.15621019058,n/a,0.280865434757819,2.8156420216059,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.03,0.03,0.19,0.04,0.18,0.04,0.04,0.16,0.04,0.2,0.03,0.03
HKY+I,22,9008.59270266613,8854.56308497205,-4405.21935740553,0.561561252588006,n/a,2.41821612116572,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.03,0.04,0.19,0.04,0.17,0.04,0.04,0.15,0.04,0.2,0.03,0.04
JC+G+I,19,9282.19310683297,9149.15348341513,-4555.53005866088,0.48803496270141,1.9196241342796,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9283.79076036078,9157.74878945979,-4560.83238514876,n/a,0.319377557703416,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9296.68596815122,9170.64399725024,-4567.27998904399,0.555784574431926,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,9458.3938312603,9304.36421356622,-4630.11992170261,n/a,n/a,1.96590212841807,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.04,0.04,0.1,0.05,0.25,0.04,0.05,0.22,0.04,0.1,0.04,0.04
GTR,25,9475.7162741997,9300.70111096607,-4625.27064400037,n/a,n/a,1.67650440386126,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.04,0.04,0.1,0.05,0.23,0.06,0.04,0.2,0.05,0.1,0.05,0.05
K2,18,9514.7517665467,9388.70979564572,-4676.31288824173,n/a,n/a,1.92552397600884,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92,19,9525.02784846089,9391.98822504305,-4676.94742947484,n/a,n/a,1.92600216102778,0.245833333333333,0.245833333333333,0.254166666666667,0.254166666666667,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY,21,9572.43645023001,9425.40300323356,-4691.64473091144,n/a,n/a,1.92187675696643,0.277205882352941,0.214460784313725,0.243259803921569,0.265073529411765,0.04,0.04,0.17,0.05,0.16,0.05,0.05,0.14,0.05,0.18,0.04,0.04
JC,17,9816.62998981287,9697.58616500451,-4831.75549959879,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
