Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,7583.43457184539,7450.93874709781,-3705.39422593753,n/a,0.420322620251319,1.56739775981578,0.23680926916221,0.23680926916221,0.26319073083779,0.26319073083779,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,7584.5754623901,7458.69760548447,-3710.28082420914,n/a,0.427717700258965,1.53862892419105,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,7588.282100532,7449.16902889385,-3703.50183728157,0.23172652273761,0.751947472093378,1.55215311338898,0.23680926916221,0.23680926916221,0.26319073083779,0.26319073083779,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,7589.54908330992,7457.05325856234,-3708.45148166979,0.232612532263717,0.771196031887223,1.52444592129197,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G,23,7602.32321493948,7449.97781392311,-3701.8900884868,n/a,0.428166517242441,1.60212736577035,0.240819964349376,0.232798573975045,0.225846702317291,0.300534759358289,0.04,0.04,0.12,0.05,0.2,0.06,0.05,0.2,0.06,0.1,0.04,0.04
TN93+G+I,24,7606.91765567859,7447.95717294964,-3699.87115585709,0.223553683191998,0.752161187276718,1.57717944264583,0.240819964349376,0.232798573975045,0.225846702317291,0.300534759358289,0.04,0.04,0.12,0.05,0.19,0.06,0.05,0.2,0.06,0.1,0.04,0.04
HKY+G,22,7612.24951332656,7466.51991613635,-3711.16939067959,n/a,0.423217685686661,1.58878586038757,0.240819964349376,0.232798573975045,0.225846702317291,0.300534759358289,0.05,0.04,0.18,0.05,0.14,0.06,0.05,0.14,0.06,0.15,0.05,0.04
GTR+G,26,7613.80326179519,7441.61478353391,-3694.68165291688,n/a,0.4320359847566,1.59561601870238,0.240819964349376,0.232798573975045,0.225846702317291,0.300534759358289,0.03,0.06,0.12,0.03,0.19,0.03,0.06,0.2,0.08,0.1,0.02,0.06
HKY+G+I,23,7617.28932077722,7464.94391976085,-3709.37314140567,0.227149899361739,0.745513133812258,1.57275001611054,0.240819964349376,0.232798573975045,0.225846702317291,0.300534759358289,0.05,0.04,0.18,0.05,0.14,0.06,0.05,0.14,0.06,0.15,0.05,0.04
GTR+G+I,27,7619.42929083811,7440.62789953383,-3693.17851443908,0.196667438073733,0.692636743700143,1.58280057956002,0.240819964349376,0.232798573975045,0.225846702317291,0.300534759358289,0.03,0.06,0.12,0.04,0.19,0.03,0.06,0.2,0.08,0.1,0.02,0.06
