Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,17752.1799595532,17545.8531656889,-8745.87756196518,0.459725460921525,1.5599455773713,2.03841465742664,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.01,0.04,0.15,0.01,0.25,0.06,0.03,0.2,0.07,0.09,0.04,0.06
TN93+G+I,24,17754.5114797015,17571.1005327118,-8761.51136846286,0.451795206717241,1.39537953811204,2.06238130175268,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.03,0.04,0.15,0.03,0.25,0.05,0.03,0.2,0.05,0.09,0.03,0.04
GTR+G,26,17773.5581820019,17574.8697435344,-8761.38935533073,n/a,0.309454040126454,2.13207581707306,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.01,0.04,0.14,0.01,0.26,0.05,0.03,0.21,0.07,0.09,0.03,0.06
TN93+G,23,17775.0456322443,17599.2738212343,-8776.6011268754,n/a,0.303164020464271,2.16797053515973,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.03,0.04,0.15,0.03,0.26,0.05,0.03,0.2,0.05,0.09,0.03,0.04
T92+G+I,21,17777.0530600278,17616.5603012061,-8787.2502050495,0.464187193990751,1.54380748413035,1.97122152441221,0.203980582524272,0.203980582524272,0.296019417475728,0.296019417475728,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
HKY+G+I,23,17786.5911377776,17610.8193267675,-8782.37387964204,0.456020676342498,1.43050756677725,1.98395477555024,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.03,0.04,0.22,0.03,0.18,0.05,0.03,0.14,0.05,0.13,0.03,0.04
T92+G,20,17799.4851452649,17646.6323025505,-8803.2889298092,n/a,0.307562636710991,2.03479185955529,0.203980582524272,0.203980582524272,0.296019417475728,0.296019417475728,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
GTR+I,26,17803.0094361451,17604.3209976776,-8776.11498240232,0.530014635744416,n/a,1.7698575051933,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.01,0.04,0.16,0.01,0.23,0.07,0.03,0.18,0.07,0.1,0.05,0.06
HKY+G,22,17806.3867261629,17638.2543112257,-8797.09435597587,n/a,0.3078948552659,2.04517903042434,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.03,0.04,0.22,0.03,0.18,0.05,0.03,0.14,0.05,0.13,0.03,0.04
TN93+I,23,17814.7035312797,17638.9317202697,-8796.43007639311,0.528831540809506,n/a,1.75221081676951,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.04,0.05,0.16,0.03,0.22,0.06,0.03,0.18,0.06,0.09,0.04,0.05
T92+I,20,17830.5111037553,17677.6582610409,-8818.8019090544,0.532995616554771,n/a,1.73770517236562,0.203980582524272,0.203980582524272,0.296019417475728,0.296019417475728,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+I,22,17846.1098551727,17677.9774402356,-8816.95592048079,0.531854952096052,n/a,1.7271943584705,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.04,0.05,0.21,0.03,0.17,0.06,0.03,0.14,0.06,0.13,0.04,0.05
K2+G+I,20,17933.3202244468,17780.4673817324,-8870.20646940013,0.474263217482933,2.00907102302998,1.77278109854531,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,17956.7452661679,17811.5325995023,-8886.74167240185,n/a,0.329899291999483,1.82276363188887,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+I,19,17969.3469650934,17824.1342984279,-8893.04252186461,0.531203383692477,n/a,1.63797547421192,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
JC+G+I,19,18350.2455129725,18205.0328463069,-9083.49179580413,0.487114971660196,2.95572040364577,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,18369.890552095,18232.3183213692,-9098.13699750657,0.527967010185085,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,18379.9629640834,18242.3907333576,-9103.17320350079,n/a,0.358818925396994,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,18917.8379770533,18749.7055621162,-9352.81998142108,n/a,n/a,1.41357774049871,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.04,0.05,0.15,0.04,0.2,0.07,0.04,0.16,0.07,0.09,0.04,0.05
GTR,25,18920.3073019538,18729.257479128,-9339.58659744781,n/a,n/a,1.24197660052248,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.04,0.05,0.15,0.04,0.18,0.06,0.04,0.14,0.09,0.09,0.04,0.08
T92,19,18952.0680381891,18806.8553715235,-9384.40305841244,n/a,n/a,1.40678045899735,0.203980582524272,0.203980582524272,0.296019417475728,0.296019417475728,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY,21,18955.0169292166,18794.5241703949,-9376.23213964389,n/a,n/a,1.40556780056265,0.195275080906149,0.212686084142395,0.269449838187702,0.322588996763754,0.04,0.05,0.19,0.04,0.16,0.07,0.04,0.13,0.07,0.12,0.04,0.05
K2,18,19025.4034238375,18887.8311931116,-9425.8934333778,n/a,n/a,1.39363923426836,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
