Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,21616.519089575,21431.5689603267,-10691.7479949095,0.381070951849719,1.1997609511623,1.89596928217392,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.04,0.05,0.12,0.04,0.26,0.05,0.04,0.2,0.05,0.08,0.04,0.05
GTR+G+I,27,21631.9879485261,21423.9289209161,-10684.9184806502,0.365112824999569,1.07153116871817,1.91451197680706,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.03,0.06,0.12,0.02,0.26,0.04,0.04,0.2,0.06,0.08,0.03,0.06
TN93+G,23,21640.8594194402,21463.6127442924,-10708.7728077536,n/a,0.334132553117043,2.04505825192315,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.03,0.04,0.12,0.03,0.27,0.05,0.03,0.21,0.05,0.08,0.03,0.04
T92+G+I,21,21649.1562118368,21487.317176593,-10722.6304997751,0.391517421649848,1.28451637818982,1.7755790412069,0.211353976927747,0.211353976927747,0.288646023072253,0.288646023072253,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,21650.9424687402,21450.5861632162,-10699.2503886689,n/a,0.335035320804844,2.03846801096133,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.02,0.06,0.12,0.02,0.27,0.03,0.04,0.21,0.06,0.08,0.02,0.06
T92+G,20,21675.076439477,21520.9415899477,-10740.4452615068,n/a,0.341099827728785,1.87586911388455,0.211353976927747,0.211353976927747,0.288646023072253,0.288646023072253,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,21675.1885535854,21497.9418784376,-10725.9373748262,0.388146858518628,1.25225680874756,1.7789177006603,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.14,0.05,0.13,0.04,0.05
HKY+G,22,21699.7647951387,21530.2218180072,-10743.0801435145,n/a,0.341568146294527,1.87670156321729,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.04,0.05,0.2,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+I,23,21742.5882219795,21565.3415468316,-10759.6372090233,0.468113239956816,n/a,1.29951518177965,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.05,0.06,0.13,0.04,0.2,0.06,0.04,0.15,0.06,0.09,0.05,0.06
GTR+I,26,21751.4559731288,21551.0996676048,-10749.5071408632,0.467561616863922,n/a,1.54331821080409,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.03,0.06,0.13,0.03,0.22,0.05,0.04,0.17,0.07,0.09,0.04,0.06
T92+I,20,21774.0315576707,21619.8967081415,-10789.9228206037,0.470398697009255,n/a,1.21148740365382,0.211353976927747,0.211353976927747,0.288646023072253,0.288646023072253,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2+G+I,20,21784.2115346074,21630.0766850781,-10795.012809072,0.392980060804949,1.42958931887699,1.62305266395611,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,21803.4353802119,21633.8924030805,-10794.9154360511,0.470040701487463,n/a,1.21059262158213,0.206435944140862,0.216272009714633,0.27765634486946,0.299635701275046,0.05,0.06,0.17,0.05,0.15,0.07,0.05,0.12,0.07,0.11,0.05,0.06
K2+G,19,21811.2935942102,21664.8631741779,-10813.408486785,n/a,0.364424386991503,1.69774759922543,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,21876.6016137339,21730.1711937016,-10846.0624965468,0.470177170969631,n/a,1.43053637869123,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,22199.6591336862,22053.2287136538,-11007.591256523,0.407864650447322,1.97396474295475,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
