Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G+I,23,19349.9598321444,19176.6940917186,-9565.30714993564,0.402898871747791,1.2993506933943,1.82232516091993,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.05,0.05,0.18,0.03,0.18,0.05,0.03,0.18,0.05,0.11,0.05,0.05
GTR+G+I,27,19355.9866967537,19152.6034271305,-9549.24705769482,0.382240694865774,1.08907241873751,1.85849414819183,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.03,0.08,0.19,0.02,0.17,0.03,0.05,0.17,0.05,0.12,0.03,0.05
T92+G+I,21,19357.0807099717,19198.8754748991,-9578.40435112206,0.41099341207337,1.40914688441426,1.81418168684083,0.223665223665224,0.223665223665224,0.276334776334776,0.276334776334776,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,19358.7565966232,19177.9610386151,-9564.93715103866,0.403410546132012,1.31444018900466,1.80667682978301,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.05,0.05,0.19,0.03,0.17,0.05,0.03,0.17,0.05,0.12,0.05,0.05
GTR+G,26,19379.9534625916,19184.0991399218,-9565.99882175012,n/a,0.30466294469437,2.01251400528022,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.03,0.09,0.19,0.02,0.17,0.03,0.06,0.17,0.04,0.12,0.03,0.04
HKY+G,22,19385.2917554955,19219.5561227358,-9587.74149274755,n/a,0.307938965797518,2.0126292283488,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.05,0.05,0.18,0.03,0.19,0.05,0.03,0.18,0.05,0.12,0.05,0.05
TN93+G,23,19394.2961977367,19221.0304573109,-9587.47533273179,n/a,0.309257441170128,1.99418519854981,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.05,0.05,0.19,0.03,0.18,0.05,0.03,0.17,0.05,0.12,0.05,0.05
T92+G,20,19398.3105318056,19247.635984378,-9603.78764317537,n/a,0.307157194717852,2.02430862395542,0.223665223665224,0.223665223665224,0.276334776334776,0.276334776334776,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,19427.6076309524,19276.9330835248,-9618.43619274876,0.409885631771625,1.50923610049981,1.68180515490512,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+I,20,19455.1437752547,19304.4692278271,-9632.20426489989,0.466260046003064,n/a,1.50089781552146,0.223665223665224,0.223665223665224,0.276334776334776,0.276334776334776,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.13,0.05,0.13,0.04,0.05
HKY+I,22,19459.0155647988,19293.2799320391,-9624.60339739921,0.465280535124562,n/a,1.482685786754,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.06,0.06,0.16,0.04,0.17,0.06,0.04,0.16,0.06,0.1,0.06,0.06
TN93+I,23,19466.5807380041,19293.3149975784,-9623.6176028655,0.465207912153802,n/a,1.47721697240221,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.15,0.06,0.11,0.05,0.06
K2+G,19,19469.7232664446,19326.5796965572,-9644.26239163121,n/a,0.327038149623174,1.83989085457555,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+I,26,19481.6004427415,19285.7461200718,-9616.82231182509,0.463882225972752,n/a,1.49301796469733,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.04,0.07,0.18,0.03,0.16,0.05,0.05,0.15,0.06,0.11,0.05,0.06
K2+I,19,19517.6818992467,19374.5383293593,-9668.24170803226,0.465044102361912,n/a,1.42805677420804,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,19790.7823596828,19647.6387897955,-9804.79193825034,0.42107214098533,2.11349829449098,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,19844.2978463345,19708.6855438197,-9836.31806271253,n/a,0.370384465055489,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,19851.0955553651,19715.4832528504,-9839.71691722786,0.463411020174354,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,20835.6470463185,20647.3219608748,-10298.6139947499,n/a,n/a,1.19048783818384,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.04,0.09,0.16,0.03,0.14,0.04,0.06,0.14,0.08,0.1,0.04,0.08
HKY,21,20866.6055304528,20708.4002953802,-10333.1667613626,n/a,n/a,1.18833384062267,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.06,0.06,0.15,0.04,0.15,0.06,0.04,0.15,0.06,0.09,0.06,0.06
TN93,22,20872.1429844349,20706.4073516752,-10331.1671072173,n/a,n/a,1.18967070784807,0.174098124098124,0.273232323232323,0.278210678210678,0.274458874458874,0.06,0.06,0.16,0.04,0.14,0.06,0.04,0.14,0.06,0.1,0.06,0.06
T92,19,20886.9800068099,20743.8364369225,-10352.8907618139,n/a,n/a,1.18780626874382,0.223665223665224,0.223665223665224,0.276334776334776,0.276334776334776,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2,18,20890.4013452336,20754.7890427188,-10359.3698121621,n/a,n/a,1.17907550224406,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,21175.5615654566,21047.4808200839,-10506.71830341,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
