Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,22420.4430255979,22261.2723422533,-11109.6042826672,0.252066399557191,1.55720147676653,1.47561039607388,0.21026878015162,0.21026878015162,0.28973121984838,0.28973121984838,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+G+I,27,22425.6201325224,22220.9945176526,-11083.4450560919,0.241736998638429,1.49423559034439,1.46835651217412,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.02,0.08,0.17,0.02,0.18,0.04,0.06,0.13,0.07,0.13,0.03,0.07
HKY+G+I,23,22435.7395739475,22261.4161385069,-11107.6699634962,0.251971352369897,1.55377653598155,1.47271021735945,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.04,0.06,0.18,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.06
T92+G,20,22437.5895431419,22285.9956512398,-11122.9688381121,n/a,0.560581674026507,1.53996170959451,0.21026878015162,0.21026878015162,0.28973121984838,0.28973121984838,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+G,26,22438.5179505592,22241.4674648078,-11094.6852617832,n/a,0.575866899750252,1.51407812945661,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.02,0.09,0.18,0.02,0.18,0.04,0.06,0.13,0.06,0.13,0.03,0.06
TN93+G+I,24,22444.3674325255,22262.4680365461,-11107.1925961122,0.254788559738985,1.58106872320908,1.47768756720954,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.04,0.06,0.17,0.04,0.18,0.06,0.04,0.13,0.06,0.12,0.04,0.06
HKY+G,22,22452.7587618645,22286.0115639879,-11120.9708541276,n/a,0.559792959116615,1.53771077688299,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
TN93+G,23,22462.2466481043,22287.9232126637,-11120.9235005745,n/a,0.559231117061091,1.53910638342774,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+I,20,22515.842263881,22364.248371979,-11162.0951984817,0.330235229348249,n/a,1.29772626013962,0.21026878015162,0.21026878015162,0.28973121984838,0.28973121984838,0.05,0.06,0.17,0.05,0.17,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+I,26,22520.4693722766,22323.4188865252,-11135.6609726419,0.328829631891418,n/a,1.31702144772603,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.02,0.08,0.16,0.02,0.18,0.05,0.06,0.13,0.07,0.12,0.03,0.07
HKY+I,22,22531.1094725435,22364.3622746669,-11160.1462094671,0.330276292145919,n/a,1.29415702474576,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.04,0.06,0.17,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.04,0.06
TN93+I,23,22537.8865449803,22363.5631095397,-11158.7434490126,0.330758077150155,n/a,1.30430691544542,0.214955203308063,0.205582356995176,0.286354238456237,0.293108201240524,0.04,0.06,0.16,0.05,0.17,0.06,0.05,0.13,0.06,0.12,0.04,0.06
