Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8762.44568573029,8621.31944205354,-4289.5845746377,0.377865918435079,1.91168053103663,1.39703114778479,0.226985413290113,0.226985413290113,0.273014586709887,0.273014586709887,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
T92+G,20,8773.6250654442,8639.21259068468,-4299.53799155311,n/a,0.431374235826654,1.47048600619909,0.226985413290113,0.226985413290113,0.273014586709887,0.273014586709887,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,8779.8554811992,8645.44300643968,-4302.65319943061,0.378796584822398,2.06407192382327,1.3375220415967,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+G+I,23,8780.18227989704,8625.63046423536,-4289.72541760418,0.375951839952847,1.87941052480945,1.39551922151895,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.05,0.05,0.17,0.04,0.15,0.06,0.04,0.14,0.06,0.13,0.05,0.05
TN93+G+I,24,8782.40573877847,8621.14212068891,-4286.47341998644,0.377112663194022,1.91455309210928,1.41476796269221,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.05,0.05,0.14,0.04,0.18,0.06,0.04,0.17,0.06,0.1,0.05,0.05
T92+I,20,8784.91149889159,8650.49902413207,-4305.1812082768,0.436652525250027,n/a,1.26051519478819,0.226985413290113,0.226985413290113,0.273014586709887,0.273014586709887,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
HKY+G,22,8790.79663050324,8642.95727308583,-4299.39631996572,n/a,0.432010346242606,1.46807090594302,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.05,0.05,0.17,0.04,0.16,0.06,0.04,0.14,0.06,0.13,0.05,0.05
K2+G,19,8791.55159863493,8663.85354764961,-4312.86498520692,n/a,0.448283047245046,1.40048575150917,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G,23,8793.36720076005,8638.81538509837,-4296.31787803568,n/a,0.428285574678134,1.49949489416141,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.05,0.05,0.14,0.04,0.19,0.06,0.04,0.17,0.06,0.1,0.05,0.05
K2+I,19,8799.34799786861,8671.64994688329,-4316.76318482376,0.435301424497073,n/a,1.22492963678392,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
GTR+G+I,27,8799.99604374251,8618.60095647096,-4282.17739129311,0.370451242375649,1.81586817597363,1.42533250439767,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.03,0.07,0.14,0.03,0.18,0.05,0.06,0.17,0.06,0.1,0.05,0.06
HKY+I,22,8803.40659241603,8655.56723499863,-4305.70130092212,0.436243232758303,n/a,1.25670087343309,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.13,0.06,0.12,0.05,0.06
TN93+I,23,8805.17163161949,8650.61981595781,-4302.2200934654,0.435548279063279,n/a,1.26622617880539,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.05,0.06,0.13,0.05,0.17,0.06,0.05,0.15,0.06,0.1,0.05,0.06
GTR+G,26,8808.99025254872,8634.30499833368,-4291.03822275467,n/a,0.431005297777255,1.49934580424536,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.03,0.07,0.14,0.03,0.19,0.05,0.06,0.17,0.06,0.1,0.04,0.06
GTR+I,26,8823.6624230614,8648.97716884637,-4298.37430801101,0.434595087011489,n/a,1.27831619034426,0.214910858995138,0.239059967585089,0.261426256077796,0.284602917341977,0.03,0.07,0.14,0.03,0.17,0.06,0.06,0.16,0.07,0.1,0.05,0.06
JC+G+I,19,8895.47240256481,8767.77435157949,-4364.82538717186,0.389416926319567,2.75164090324202,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8906.81614790924,8785.83317523572,-4374.86098690253,0.433774691692009,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8911.29687749951,8790.31390482598,-4377.10135169766,n/a,0.484130724300502,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
