Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3934.78190117344,3812.25252752855,-1887.04524031012,n/a,0.248823556832808,2.26997433521247,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G+I,20,3941.99429140043,3813.02457033457,-1886.42271383011,0.339816118801144,0.529671606128067,2.30619905940202,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,3942.57036663879,3820.04099299391,-1890.9394730428,0.631948164467801,n/a,2.14693232390969,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,3943.25956979326,3814.2898487274,-1887.05535302653,n/a,0.248998902303607,2.26664417113959,0.239384288747346,0.239384288747346,0.260615711252654,0.260615711252654,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+G,23,3946.93050642374,3798.64490851302,-1876.20465656125,n/a,0.266523921048999,2.36193129844055,0.282802547770701,0.195966029723992,0.240976645435244,0.280254777070064,0.03,0.03,0.1,0.04,0.28,0.04,0.04,0.23,0.04,0.1,0.03,0.03
T92+G+I,21,3951.11867077424,3815.70946282313,-1886.75618192351,0.313304197561816,0.48989625895161,2.30063245706459,0.239384288747346,0.239384288747346,0.260615711252654,0.260615711252654,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,3951.85970509563,3822.88998402977,-1891.35542067771,0.631519034528033,n/a,2.14274109205847,0.239384288747346,0.239384288747346,0.260615711252654,0.260615711252654,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
TN93+G+I,24,3954.52207514302,3799.79957526096,-1875.77171932739,0.333152884267477,0.5584286543167,2.41224129747763,0.282802547770701,0.195966029723992,0.240976645435244,0.280254777070064,0.03,0.03,0.1,0.04,0.29,0.04,0.04,0.23,0.04,0.1,0.03,0.03
TN93+I,23,3958.24348772242,3809.9578898117,-1881.86114721059,0.611433679990575,n/a,2.13969308442923,0.282802547770701,0.195966029723992,0.240976645435244,0.280254777070064,0.03,0.04,0.11,0.04,0.26,0.04,0.04,0.21,0.04,0.11,0.03,0.04
GTR+G,26,3965.80853383874,3798.21481879197,-1872.95750548823,n/a,0.27266491162635,2.02239070247326,0.282802547770701,0.195966029723992,0.240976645435244,0.280254777070064,0.02,0.05,0.11,0.02,0.26,0.06,0.06,0.21,0.04,0.11,0.04,0.03
GTR+G+I,27,3966.72653458247,3792.69850744818,-1869.18778426659,0.34604068307706,0.572766198959439,2.44622675826122,0.282802547770701,0.195966029723992,0.240976645435244,0.280254777070064,0.01,0.05,0.1,0.02,0.29,0.07,0.06,0.23,0.01,0.1,0.05,0.01
