Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,12443.0552721465,12259.6911240012,-6105.80658830783,0.554847990017053,0.742861073714683,2.13136765900782,0.219974059662776,0.227302204928664,0.273346303501946,0.279377431906615,0.04,0.04,0.1,0.03,0.27,0.04,0.03,0.23,0.04,0.08,0.04,0.04
TN93+G,23,12447.0330468024,12271.3060788556,-6112.61718595935,n/a,0.171451585901108,1.98245437979688,0.219974059662776,0.227302204928664,0.273346303501946,0.279377431906615,0.04,0.05,0.11,0.04,0.25,0.05,0.04,0.21,0.05,0.09,0.04,0.05
GTR+G+I,27,12453.7426687605,12247.4685441366,-6096.68515564417,0.589883647395601,0.987471430934813,2.02634561590494,0.219974059662776,0.227302204928664,0.273346303501946,0.279377431906615,0.05,0.03,0.11,0.05,0.26,0.07,0.02,0.22,0.03,0.08,0.05,0.03
GTR+G,26,12455.7725370788,12257.1348105441,-6102.52180012686,n/a,0.170307144122419,1.92226540390949,0.219974059662776,0.227302204928664,0.273346303501946,0.279377431906615,0.05,0.03,0.11,0.05,0.25,0.07,0.02,0.21,0.03,0.09,0.06,0.03
K2+G,19,12460.6346502078,12315.4590085619,-6138.70482895629,n/a,0.161803290381318,1.92682144655775,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,12461.231423495,12308.4175595493,-6134.18150527631,n/a,0.159949787026361,1.94786032809447,0.22363813229572,0.22363813229572,0.27636186770428,0.27636186770428,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,12462.6628736235,12309.8490096778,-6134.89723034055,0.629611139307606,1.32510797633112,1.98225617094478,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G+I,21,12463.2343938223,12302.7825680261,-6130.36128011643,0.64095210610484,1.5210663421786,1.9978121681754,0.22363813229572,0.22363813229572,0.27636186770428,0.27636186770428,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G,22,12476.7529376936,12308.6634105467,-6132.29884172849,n/a,0.160124662557011,1.94760829952526,0.219974059662776,0.227302204928664,0.273346303501946,0.279377431906615,0.04,0.05,0.19,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,12478.6798128413,12302.9528448945,-6128.44056897879,0.695730106501474,n/a,1.8039892925396,0.219974059662776,0.227302204928664,0.273346303501946,0.279377431906615,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.19,0.05,0.1,0.04,0.05
