Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8316.3007151292,8174.63302997078,-4066.24327465565,0.364671960846091,1.61978340433895,1.48133017418628,0.233570300157978,0.233570300157978,0.266429699842022,0.266429699842022,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,8316.85753528462,8181.92956811072,-4070.89821249093,0.370126693792685,1.73248542060657,1.46592285785272,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,8320.86602891717,8185.93806174327,-4072.9024593072,n/a,0.423284975546131,1.54905920463211,0.233570300157978,0.233570300157978,0.266429699842022,0.266429699842022,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,8322.37183442669,8194.18422337916,-4078.03188981953,n/a,0.427376113600931,1.53375924535034,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G+I,24,8331.7175718903,8169.83456466576,-4060.82211976349,0.361366866838919,1.6646424322584,1.48780709527818,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.04,0.13,0.05,0.19,0.06,0.05,0.18,0.06,0.1,0.04,0.04
K2+I,19,8334.23737372603,8206.04976267849,-4083.9646594692,0.440326387238393,n/a,1.32805804754968,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+I,20,8335.92558988773,8200.99762271383,-4080.43223979249,0.440085056038144,n/a,1.32926655251278,0.233570300157978,0.233570300157978,0.266429699842022,0.266429699842022,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93+G,23,8336.98706934773,8181.84186386016,-4067.83339624978,n/a,0.431642132965072,1.55838192934525,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.04,0.13,0.05,0.2,0.06,0.05,0.19,0.06,0.1,0.04,0.04
GTR+G+I,27,8345.42665140684,8163.33407633182,-4054.54707624906,0.350601991906302,1.61343975355838,1.49304035676581,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.06,0.13,0.05,0.19,0.03,0.06,0.18,0.08,0.1,0.02,0.06
HKY+G+I,23,8345.71337316573,8190.56816767816,-4072.19654815877,0.361485416211685,1.59985407413944,1.47897803499563,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.05,0.18,0.05,0.13,0.06,0.05,0.13,0.06,0.15,0.04,0.05
GTR+G,26,8349.09078939603,8173.73409707336,-4060.75567300122,n/a,0.44642138743225,1.54855977291471,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.06,0.13,0.05,0.19,0.03,0.07,0.18,0.07,0.11,0.02,0.05
HKY+G,22,8349.76533574038,8201.35857104282,-4078.59905720367,n/a,0.426643516501089,1.55083824557183,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.04,0.18,0.05,0.14,0.06,0.05,0.13,0.06,0.15,0.04,0.04
TN93+I,23,8351.42026347936,8196.27505799179,-4075.04999331559,0.435215149072761,n/a,1.32679822428251,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.05,0.05,0.13,0.05,0.17,0.07,0.05,0.17,0.07,0.1,0.05,0.05
GTR+I,26,8365.55575184731,8190.19905952463,-4068.98815422686,0.431582762679465,n/a,1.3455881489554,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.06,0.13,0.05,0.17,0.04,0.06,0.17,0.08,0.11,0.03,0.06
HKY+I,22,8365.91084986066,8217.5040851631,-4086.67181426381,0.438945325457016,n/a,1.31486722253964,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.05,0.05,0.17,0.05,0.13,0.07,0.05,0.12,0.07,0.14,0.05,0.05
JC+G+I,19,8441.50970507257,8313.32209402504,-4137.60082514247,0.385352860180327,2.44219393818948,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,8450.38827694968,8328.94165986702,-4146.41663883859,0.437838588669693,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,8451.2961286478,8329.84951156513,-4146.87056468765,n/a,0.472690410719448,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,8716.06076738517,8594.6141503025,-4279.25288405634,n/a,n/a,1.14733359078441,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92,19,8717.87189093831,8589.68427989078,-4275.78191807534,n/a,n/a,1.14752614356493,0.233570300157978,0.233570300157978,0.266429699842022,0.266429699842022,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93,22,8725.06699333276,8576.6602286352,-4266.24988599986,n/a,n/a,1.14861150008093,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.05,0.05,0.13,0.06,0.16,0.07,0.06,0.15,0.07,0.1,0.05,0.05
GTR,25,8735.4654023759,8566.84523277156,-4258.31950724872,n/a,n/a,1.08286425303328,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.04,0.07,0.13,0.05,0.15,0.07,0.07,0.14,0.08,0.1,0.05,0.06
HKY,21,8741.74081703525,8600.07313187682,-4278.96332560867,n/a,n/a,1.13711856250776,0.250394944707741,0.216745655608215,0.226382306477093,0.306477093206951,0.05,0.05,0.16,0.06,0.12,0.07,0.06,0.11,0.07,0.13,0.05,0.05
JC,17,8817.17594381987,8702.47095823742,-4334.18700003126,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
