Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,15591.8998825443,15448.3476714619,-7704.13053229762,n/a,0.558642541107721,1.40013889656637,0.194598765432099,0.194598765432099,0.305401234567901,0.305401234567901,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G+I,21,15597.5304679114,15446.8049864417,-7702.35485453244,0.136921206254675,0.863093018071114,1.38007543496737,0.194598765432099,0.194598765432099,0.305401234567901,0.305401234567901,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G,23,15624.7696615416,15459.6988822863,-7706.79251045006,n/a,0.568882706767285,1.41094487210246,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.04,0.06,0.16,0.04,0.21,0.07,0.04,0.14,0.07,0.09,0.04,0.06
TN93+G+I,24,15628.5223994235,15456.2795930264,-7704.07790894231,0.156028592652861,0.958744308481394,1.39148707623271,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.04,0.06,0.15,0.04,0.21,0.07,0.04,0.14,0.07,0.09,0.04,0.06
HKY+G,22,15630.1475377968,15472.2492002267,-7714.07241902643,n/a,0.568462611702172,1.38724965412857,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.04,0.06,0.19,0.04,0.17,0.07,0.04,0.11,0.07,0.12,0.04,0.06
GTR+G+I,27,15634.4114574864,15440.6550582077,-7693.24952662757,0.137110858367143,0.952318869245694,1.20193647988676,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.03,0.08,0.16,0.03,0.18,0.06,0.06,0.12,0.08,0.1,0.03,0.07
HKY+G+I,23,15636.1481663508,15471.0773870955,-7712.48176285466,0.130060435911947,0.856059048697438,1.36752551845703,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.04,0.06,0.19,0.04,0.17,0.07,0.04,0.11,0.07,0.12,0.04,0.06
GTR+G,26,15637.7989472302,15451.213330693,-7699.53424194818,n/a,0.612323049338715,1.16795281384053,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.03,0.09,0.17,0.03,0.17,0.06,0.06,0.12,0.08,0.1,0.04,0.07
T92+I,20,15724.7940875454,15581.2418764629,-7770.57763479813,0.298170785998997,n/a,1.16286837838352,0.194598765432099,0.194598765432099,0.305401234567901,0.305401234567901,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
GTR+I,26,15744.9835051296,15558.3978885924,-7753.12652089787,0.293459077383609,n/a,1.18832525340639,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.03,0.08,0.15,0.03,0.19,0.05,0.06,0.13,0.09,0.09,0.03,0.08
TN93+I,23,15748.3946197057,15583.3238404503,-7768.6049895321,0.295676753609291,n/a,1.17893135751321,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.04,0.06,0.14,0.04,0.19,0.07,0.04,0.13,0.07,0.09,0.04,0.06
HKY+I,22,15763.6950725011,15605.7967349309,-7780.84618637854,0.296644717554167,n/a,1.14767639287491,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.04,0.06,0.18,0.04,0.15,0.07,0.04,0.11,0.07,0.11,0.04,0.06
K2+G,19,15776.6644391388,15640.2859126026,-7801.10378104358,n/a,0.611892347527477,1.27249847743288,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G+I,20,15779.7836408217,15636.2314297393,-7798.07241143629,0.163408124237911,1.0773888541762,1.2503196178562,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+I,19,15877.5170058199,15741.1384792837,-7851.53006438412,0.298148937139294,n/a,1.10710192180009,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G,18,15947.8262356635,15818.6218077043,-7891.27564975465,n/a,0.640966019293967,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,15950.0922135389,15813.7136870028,-7887.81766824366,0.168554034611841,1.18213914511885,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,16034.2776877333,15905.0732597742,-7934.50137578958,0.296229921369585,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,16206.9799633016,16027.5655444344,-7988.71572043261,n/a,n/a,1.0185598377038,0.195679012345679,0.193518518518519,0.282407407407407,0.328395061728395,0.03,0.1,0.15,0.03,0.17,0.04,0.07,0.12,0.1,0.09,0.02,0.08
T92,19,16242.3192938339,16105.9407672978,-8033.93120839115,n/a,n/a,1.01900277454326,0.194598765432099,0.194598765432099,0.305401234567901,0.305401234567901,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.1,0.07,0.1,0.05,0.07
